slot_id,raw_time_label,start_minute,end_minute,start_time,end_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,net_load_forecast_kw,net_load_forecast_kwh,source_row,grid_kwh,charge_kwh,discharge_kwh,curtailment_kwh,energy_start_kwh,energy_end_kwh,charge_mode,cost_yuan
23,03:50:00,220,230,03:40:00,03:50:00,0.436,3546.3976,0.0,591.0662666666666,0.0,3546.3976,591.0662666666666,24,591.0662666666666,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,257.70489226666666
24,04:00:00,230,240,03:50:00,04:00:00,0.4378,3560.207,0.0,593.3678333333334,0.0,3560.207,593.3678333333334,25,593.3678333333334,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,259.77643743333334
25,04:10:00,240,250,04:00:00,04:10:00,0.4401,3561.9581,0.0,593.6596833333333,0.0,3561.9581,593.6596833333333,26,593.6596833333333,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,261.269626635
26,04:20:00,250,260,04:10:00,04:20:00,0.4389,3556.7183,0.0,592.7863833333333,0.0,3556.7183,592.7863833333333,27,592.7863833333333,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,260.173943645
27,04:30:00,260,270,04:20:00,04:30:00,0.4364,3560.0272,0.0,593.3378666666666,0.0,3560.0272,593.3378666666666,28,593.3378666666666,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,258.93264501333334
28,04:40:00,270,280,04:30:00,04:40:00,0.4393,3580.654,0.5994,596.7756666666667,0.0999,3580.0546,596.6757666666666,29,596.6757666666666,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,262.11966429666666
29,04:50:00,280,290,04:40:00,04:50:00,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,3586.6815,597.78025,30,597.78025,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,264.33842655
30,05:00:00,290,300,04:50:00,05:00:00,0.4395,3571.2635,0.2885,595.2105833333334,0.04808333333333333,3570.975,595.1625,31,595.1625,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,261.57391875
31,05:10:00,300,310,05:00:00,05:10:00,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,3543.639,590.6065,32,590.6065,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,255.90979645000002
32,05:20:00,310,320,05:10:00,05:20:00,0.4439,3591.3809,54.4698,598.5634833333334,9.0783,3536.9111000000003,589.4851833333333,33,589.4851833333333,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,261.6724728816667
33,05:30:00,320,330,05:20:00,05:30:00,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666668,3470.7327,578.4554499999999,34,578.4554499999999,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,248.79368904499995
34,05:40:00,330,340,05:30:00,05:40:00,0.3713,3486.119,184.1603,581.0198333333334,30.693383333333333,3301.9587,550.32645,35,1383.6597833333333,833.3333333333333,0.0,0.0,10009.430584957905,10800.0,1.0,513.7528775516666
35,05:50:00,340,350,05:40:00,05:50:00,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,3546.8412,591.1401999999999,36,0.0,0.0,591.1401999999999,0.0,10800.0,10176.883517170843,0.0,0.0
36,06:00:00,350,360,05:50:00,06:00:00,0.9099,4398.0727,388.5494,733.0121166666667,64.75823333333334,4009.5233,668.2538833333333,37,0.0,0.0,668.2538833333333,0.0,10176.883517170843,9472.482074975587,0.0,0.0
37,06:10:00,360,370,06:00:00,06:10:00,0.9368,4454.0123,521.2803,742.3353833333334,86.88005,3932.7320000000004,655.4553333333334,38,0.0,0.0,655.4553333333334,0.0,9472.482074975587,8781.571489029515,0.0,0.0
38,06:20:00,370,380,06:10:00,06:20:00,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,3699.0242000000003,616.5040333333334,39,0.0,0.0,616.5040333333334,0.0,8781.571489029515,8131.719178358281,0.0,0.0
39,06:30:00,380,390,06:20:00,06:30:00,0.8759,4392.953,844.2261,732.1588333333334,140.70435,3548.7269000000006,591.4544833333334,40,0.0,0.0,591.4544833333334,0.0,8131.719178358281,7508.271411807804,0.0,0.0
40,06:40:00,390,400,06:30:00,06:40:00,0.8601,4384.5956,1039.6744,730.7659333333332,173.2790666666667,3344.9211999999998,557.4868666666665,41,0.0,0.0,557.4868666666665,0.0,7508.271411807804,6920.628657042048,0.0,0.0
41,06:50:00,400,410,06:40:00,06:50:00,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,3175.4382,529.2397,42,0.0,0.0,529.2397,0.0,6920.628657042048,6362.761030313976,0.0,0.0
42,07:00:00,410,420,06:50:00,07:00:00,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,3014.8243,502.4707166666667,43,0.0,0.0,502.4707166666667,0.0,6362.761030313976,5833.110389579378,0.0,0.0
43,07:10:00,420,430,07:00:00,07:10:00,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,2732.6614000000004,455.4435666666667,44,0.0,0.0,455.4435666666667,0.0,5833.110389579378,5353.030717466908,0.0,0.0
44,07:20:00,430,440,07:10:00,07:20:00,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,2460.4002,410.0667,45,0.0,0.0,410.0667,0.0,5353.030717466908,4920.782462603918,0.0,0.0
45,07:30:00,440,450,07:20:00,07:30:00,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685000000005,2141.9806999999996,356.9967833333332,46,0.0,0.0,356.9967833333332,0.0,4920.782462603918,4544.474811708261,0.0,0.0
46,07:40:00,450,460,07:30:00,07:40:00,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,1700.1814,283.36356666666666,47,0.0,0.0,283.36356666666666,0.0,4544.474811708261,4245.7833861830495,0.0,0.0
47,07:50:00,460,470,07:40:00,07:50:00,0.86,4910.4599,2986.3552,818.4099833333333,497.72586666666666,1924.1046999999999,320.6841166666667,48,0.0,0.0,320.6841166666667,0.0,4245.7833861830495,3907.7526468144392,0.0,0.0
48,08:00:00,470,480,07:50:00,08:00:00,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666667,2510.5286999999994,418.4214499999998,49,0.0,0.0,418.4214499999998,0.0,3907.7526468144392,3466.697712191019,0.0,0.0
49,08:10:00,480,490,08:00:00,08:10:00,1.1683,5884.826,3593.3613,980.8043333333334,598.89355,2291.4647,381.91078333333337,50,0.0,0.0,381.91078333333337,0.0,3466.697712191019,3064.1283994202167,0.0,0.0
50,08:20:00,490,500,08:10:00,08:20:00,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333334,1857.3380999999995,309.55634999999984,51,0.0,0.0,309.55634999999984,0.0,3064.1283994202167,2737.8273560307957,0.0,0.0
51,08:30:00,500,510,08:20:00,08:30:00,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,1587.7164000000002,264.61940000000004,52,0.0,0.0,264.61940000000004,0.0,2737.8273560307957,2458.894017008409,0.0,0.0
52,08:40:00,510,520,08:30:00,08:40:00,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,1282.4448000000002,213.74080000000004,53,0.0,0.0,213.74080000000004,0.0,2458.894017008409,2233.591431372903,0.0,0.0
53,08:50:00,520,530,08:40:00,08:50:00,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,1071.3535000000002,178.55891666666673,54,0.0,0.0,178.55891666666673,0.0,2233.591431372903,2045.3738069732806,0.0,0.0
54,09:00:00,530,540,08:50:00,09:00:00,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,932.3527000000004,155.39211666666677,55,0.0,0.0,155.39211666666677,0.0,2045.3738069732806,1881.576133939521,0.0,0.0
55,09:10:00,540,550,09:00:00,09:10:00,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,673.5570000000007,112.25950000000012,56,0.0,0.0,112.25950000000012,0.0,1881.576133939521,1763.2442309422968,0.0,0.0
56,09:20:00,550,560,09:10:00,09:20:00,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,386.3811999999998,64.3968666666666,57,0.0,0.0,64.3968666666666,0.0,1763.2442309422968,1695.3639733273496,0.0,0.0
57,09:30:00,560,570,09:20:00,09:30:00,0.97,5923.7828,5788.4093,987.2971333333334,964.7348833333334,135.3734999999997,22.56224999999995,58,0.0,0.0,22.56224999999995,0.0,1695.3639733273496,1671.5812736146383,0.0,0.0
58,09:40:00,570,580,09:30:00,09:40:00,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333334,-104.54439999999977,-17.424066666666704,59,0.0,17.424066666666704,0.0,0.0,1671.5812736146383,1688.1111946454237,0.020908880000000046,0.0
59,09:50:00,580,590,09:40:00,09:50:00,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666667,-317.02660000000014,-52.83776666666677,60,0.0,52.83776666666677,0.0,0.0,1688.1111946454237,1738.2375013883807,0.06340532000000013,0.0
60,10:00:00,590,600,09:50:00,10:00:00,0.9977,5902.2196,6409.5941,983.7032666666668,1068.2656833333333,-507.3744999999999,-84.56241666666654,61,0.0,84.56241666666654,0.0,0.0,1738.2375013883807,1818.4604537228356,0.10147489999999985,0.0
61,10:10,600,610,10:00:00,10:10:00,0.9919,5897.4793,6599.3808,982.9132166666667,1099.8968,-701.9014999999999,-116.98358333333329,62,0.0,116.98358333333329,0.0,0.0,1818.4604537228356,1929.4408253772694,0.14038029999999996,0.0
62,10:20,610,620,10:10:00,10:20:00,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,-879.9636,-146.66060000000004,63,0.0,146.66060000000004,0.0,0.0,1929.4408253772694,2068.5752870793367,0.17599272000000007,0.0
63,10:30,620,630,10:20:00,10:30:00,0.9549,5873.4708,6914.5923,978.9118,1152.4320500000001,-1041.1215000000002,-173.52025000000015,64,0.0,173.52025000000015,0.0,0.0,2068.5752870793367,2233.1910501278867,0.2082243000000002,0.0
64,10:40,630,640,10:30:00,10:40:00,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,-1206.1744999999992,-201.02908333333323,65,0.0,201.02908333333323,0.0,0.0,2233.1910501278867,2423.903983908625,0.2412348999999999,0.0
65,10:50,640,650,10:40:00,10:50:00,0.799,5844.9948,7197.4315,974.1658000000001,1199.5719166666665,-1352.4366999999993,-225.40611666666643,66,0.0,225.40611666666643,0.0,0.0,2423.903983908625,2637.743002068717,0.27048733999999974,0.0
66,11:00,650,660,10:50:00,11:00:00,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,-1464.0555000000004,-244.00925000000007,67,0.0,244.00925000000007,0.0,0.0,2637.743002068717,2869.2305021135494,0.2928111000000001,0.0
67,11:10,660,670,11:00:00,11:10:00,0.4662,5838.7103,7387.6848,973.1183833333333,1231.2808,-1548.9745000000003,-258.1624166666667,68,415.1176703703717,673.2800870370384,0.0,0.0,2869.2305021135494,3507.960075595584,0.8079361044444461,193.52785792666728
68,11:20,670,680,11:10:00,11:20:00,0.5007,5823.4378,7459.227,970.5729666666666,1243.2045,-1635.7892000000002,-272.63153333333344,69,0.0,272.63153333333344,0.0,0.0,3507.960075595584,3766.601057790819,0.32715784000000014,0.0
69,11:30,680,690,11:20:00,11:30:00,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,-1705.9259000000002,-284.3209833333333,70,0.0,284.3209833333333,0.0,0.0,3766.601057790819,4036.3316259644507,0.34118518,0.0
70,11:40,690,700,11:30:00,11:40:00,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,-1735.8088000000007,-289.3014666666668,71,0.0,289.3014666666668,0.0,0.0,4036.3316259644507,4310.787095492635,0.34716176000000015,0.0
71,11:50,700,710,11:40:00,11:50:00,0.4662,5712.901,7592.1539,952.1501666666667,1265.3589833333333,-1879.2529000000004,-313.2088166666666,72,520.1245166666666,833.3333333333333,0.0,0.0,4310.787095492635,5101.35651053473,1.0,242.48204966999998
72,12:00,710,720,11:50:00,12:00:00,0.4432,5519.4607,7601.0433,919.9101166666666,1266.8405500000001,-2081.5826000000006,-346.93043333333355,73,486.4028999999997,833.3333333333333,0.0,0.0,5101.35651053473,5891.925925576825,1.0,215.57376527999986
73,12:10,720,730,12:00:00,12:10:00,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,-2117.5253000000002,-352.92088333333334,74,480.4124499999999,833.3333333333333,0.0,0.0,5891.925925576825,6682.49534061892,1.0,211.90993169499995
74,12:20,730,740,12:10:00,12:20:00,0.4551,5514.4524,7602.6524,919.0754000000001,1267.1087333333332,-2088.2,-348.0333333333332,75,485.30000000000007,833.3333333333333,0.0,0.0,6682.49534061892,7473.064755661015,1.0,220.86003000000002
75,12:30,740,750,12:20:00,12:30:00,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312000000001,-2068.3582000000006,-344.7263666666669,76,488.6069666666664,833.3333333333333,0.0,0.0,7473.064755661015,8263.63417070311,1.0,218.0652892233332
76,12:40,750,760,12:30:00,12:40:00,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,-2010.3756000000003,-335.0626000000001,77,498.27073333333317,833.3333333333333,0.0,0.0,8263.63417070311,9054.203585745205,1.0,204.93875261999995
77,12:50,760,770,12:40:00,12:50:00,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2362,-1827.3105999999998,-304.5517666666667,78,0.0,304.5517666666667,0.0,0.0,9054.203585745205,9343.126760173649,0.36546212000000006,0.0
78,13:00,770,780,12:50:00,13:00:00,0.8279,5725.7548,7312.7979,954.2924666666667,1218.79965,-1587.0430999999999,-264.5071833333333,79,0.0,264.5071833333333,0.0,0.0,9343.126760173649,9594.060307216367,0.31740862,0.0
79,13:10,780,790,13:00:00,13:10:00,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,-1455.0452999999998,-242.50754999999992,80,0.0,242.50754999999992,0.0,0.0,9594.060307216367,9824.123169552517,0.29100905999999993,0.0
80,13:20,790,800,13:10:00,13:20:00,0.8416,5714.6836,7053.1371,952.4472666666667,1175.52285,-1338.4534999999996,-223.07558333333338,81,0.0,223.07558333333338,0.0,0.0,9824.123169552517,10035.751249663726,0.26769070000000006,0.0
81,13:30,800,810,13:20:00,13:30:00,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7344,-1192.5559000000003,-198.7593166666668,82,0.0,198.7593166666668,0.0,0.0,10035.751249663726,10224.310893717326,0.23851118000000018,0.0
82,13:40,810,820,13:30:00,13:40:00,0.8623,5708.2486,6772.4075,951.3747666666667,1128.7345833333334,-1064.1589000000004,-177.3598166666667,83,0.0,177.3598166666667,0.0,0.0,10224.310893717326,10392.569189534293,0.21283178000000005,0.0
83,13:50,820,830,13:40:00,13:50:00,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666667,-910.4417999999996,-151.74030000000005,84,0.0,151.74030000000005,0.0,0.0,10392.569189534293,10536.522677785468,0.18208836000000006,0.0
84,14:00,830,840,13:50:00,14:00:00,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666667,-720.2101999999995,-120.03503333333333,85,0.0,120.03503333333333,0.0,0.0,10536.522677785468,10650.397909089737,0.14404204,0.0
85,14:10,840,850,14:00:00,14:10:00,1.0002,5687.1291,6214.0158,947.85485,1035.6693,-526.8867,-87.81444999999997,86,0.0,87.81444999999997,0.0,0.0,10650.397909089737,10733.70601113223,0.10537733999999997,0.0
86,14:20,850,860,14:10:00,14:20:00,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,-321.7491999999993,-53.62486666666655,87,0.0,53.62486666666655,0.0,0.0,10733.70601113223,10784.579026499083,0.06434983999999987,0.0
87,14:30,860,870,14:20:00,14:30:00,1.0271,5669.4508,5766.9816,944.9084666666666,961.1636,-97.53080000000045,-16.255133333333333,88,0.0,16.255133333333333,0.0,0.0,10784.579026499083,10800.0,0.01950616,0.0
88,14:40,870,880,14:30:00,14:40:00,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,142.6882000000005,23.781366666666713,89,0.0,0.0,23.781366666666713,0.0,10800.0,10774.932238487243,0.0,0.0
89,14:50,880,890,14:40:00,14:50:00,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666667,403.9201000000003,67.32001666666667,90,0.0,0.0,67.32001666666667,0.0,10774.932238487243,10703.970710224856,0.0,0.0
90,15:00,890,900,14:50:00,15:00:00,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,672.5392000000002,112.0898666666667,91,112.0898666666667,0.0,0.0,0.0,10703.970710224856,10703.970710224856,0.0,75.03295674666668
91,15:10,900,910,15:00:00,15:10:00,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,925.5711000000001,154.26184999999998,92,255.48560925925807,101.2237592592581,0.0,0.0,10703.970710224856,10800.0,0.12146851111110973,168.62050211111034
92,15:20,910,920,15:10:00,15:20:00,0.7217,5656.3651,4471.224,942.7275166666667,745.2040000000001,1185.1410999999998,197.52351666666664,93,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,0.0,142.55272197833332
93,15:30,920,930,15:20:00,15:30:00,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,1468.8841999999995,244.8140333333332,94,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,0.0,178.91009555999992
94,15:40,930,940,15:30:00,15:40:00,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,1773.2077000000004,295.5346166666667,95,295.5346166666667,0.0,-0.0,0.0,10800.0,10800.0,0.0,222.65578019666668
95,15:50,940,950,15:40:00,15:50:00,0.7823,5669.2596,3594.5946,944.8766,599.0991,2074.6650000000004,345.77750000000003,96,345.77750000000003,0.0,-0.0,0.0,10800.0,10800.0,0.0,270.50173825
96,16:00,950,960,15:50:00,16:00:00,0.8055,5673.4767,3303.8878,945.5794500000001,550.6479666666667,2369.5889,394.9314833333334,97,394.9314833333334,0.0,0.0,0.0,10800.0,10800.0,0.0,318.11730982500006
97,16:10,960,970,16:00:00,16:10:00,0.8271,5671.0146,2998.4247,945.1691000000001,499.73745,2672.5899000000004,445.43165000000005,98,445.43165000000005,0.0,-0.0,0.0,10800.0,10800.0,0.0,368.416517715
98,16:20,970,980,16:10:00,16:20:00,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,2974.1794999999997,495.69658333333325,99,495.69658333333325,0.0,-0.0,0.0,10800.0,10800.0,0.0,422.2839193416666
99,16:30,980,990,16:20:00,16:30:00,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,3282.7143,547.11905,100,547.11905,0.0,-0.0,0.0,10800.0,10800.0,0.0,480.972356855
100,16:40,990,1000,16:30:00,16:40:00,0.9024,5689.0372,2089.1246,948.1728666666667,348.18743333333333,3599.9125999999997,599.9854333333333,101,599.9854333333333,0.0,-0.0,0.0,10800.0,10800.0,0.0,541.42685504
101,16:50,1000,1010,16:40:00,16:50:00,0.9163,5603.6614,1791.0829,933.9435666666667,298.5138166666667,3812.5784999999996,635.42975,102,635.42975,0.0,-0.0,0.0,10800.0,10800.0,0.0,582.244279925
102,17:00,1010,1020,16:50:00,17:00:00,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,3964.9841000000006,660.8306833333334,103,660.8306833333334,0.0,-0.0,0.0,10800.0,10800.0,0.0,612.19354504
103,17:10,1020,1030,17:00:00,17:10:00,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,4212.2216,702.0369333333333,104,702.0369333333333,0.0,-0.0,0.0,10800.0,10800.0,0.0,664.26734632
104,17:20,1030,1040,17:10:00,17:20:00,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,4428.3947,738.0657833333333,105,738.0657833333333,0.0,-0.0,0.0,10800.0,10800.0,0.0,719.0236861233333
105,17:30,1040,1050,17:20:00,17:30:00,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,4655.6683,775.9447166666666,106,775.9447166666666,0.0,-0.0,0.0,10800.0,10800.0,0.0,765.2366795766666
106,17:40,1050,1060,17:30:00,17:40:00,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333334,4956.4995,826.08325,107,826.08325,0.0,0.0,0.0,10800.0,10800.0,0.0,806.257252
107,17:50,1060,1070,17:40:00,17:50:00,1.0742,5091.2126,516.6758,848.5354333333333,86.11263333333333,4574.5368,762.4228,108,762.4228,0.0,-0.0,0.0,10800.0,10800.0,0.0,818.9945717600001
108,18:00,1070,1080,17:50:00,18:00:00,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,3821.8957,636.9826166666667,109,636.9826166666667,0.0,-0.0,0.0,10800.0,10800.0,0.0,784.3166959016667
109,18:10,1080,1090,18:00:00,18:10:00,1.2561,4122.7611,275.7933,687.12685,45.96555,3846.9678,641.1613,110,64.5343887150683,0.0,576.6269112849317,0.0,10800.0,10192.181866730589,0.0,81.0616456649973
110,18:20,1090,1100,18:10:00,18:20:00,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,4072.9832,678.8305333333333,111,678.8305333333333,0.0,0.0,0.0,10192.181866730589,10192.181866730589,0.0,844.9403648399999
111,18:30,1100,1110,18:20:00,18:30:00,1.2545,4225.9524,108.3414,704.3254000000001,18.0569,4117.611,686.2685,112,686.2685,0.0,0.0,0.0,10192.181866730589,10192.181866730589,0.0,860.92383325
112,18:40,1110,1120,18:30:00,18:40:00,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,4179.0262999999995,696.5043833333333,113,696.5043833333333,0.0,0.0,0.0,10192.181866730589,10192.181866730589,0.0,872.1627888099999
113,18:50,1120,1130,18:40:00,18:50:00,1.2881,4246.4625,18.6569,707.74375,3.1094833333333334,4227.8056,704.6342666666667,114,0.0,0.0,704.6342666666667,0.0,10192.181866730589,9449.432133374212,0.0,0.0
114,19:00,1130,1140,18:50:00,19:00:00,1.3466,4239.1795,0.2753,706.5299166666667,0.04588333333333333,4238.9042,706.4840333333334,115,0.0,0.0,706.4840333333334,0.0,9449.432133374212,8704.732574748994,0.0,0.0
115,19:10,1140,1150,19:00:00,19:10:00,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,4244.4388,707.4064666666666,116,0.0,0.0,707.4064666666666,0.0,8704.732574748994,7959.060686016112,0.0,0.0
116,19:20,1150,1160,19:10:00,19:20:00,1.3445,4251.9187,0.6007,708.6531166666667,0.10011666666666667,4251.318,708.5530000000001,117,0.0,0.0,708.5530000000001,0.0,7959.060686016112,7212.18024503435,0.0,0.0
