date,load_actual_kwh,pv_actual_kwh,net_load_actual_kwh
2025-04-07,117015.14203333334,63772.42275,53242.71928333333
2025-04-08,117713.29026666666,63360.09665,54353.193616666664
2025-04-09,117677.52253333334,58543.21151666666,59134.31101666667
2025-04-10,117668.70068333333,63208.062783333335,54460.6379
2025-04-11,72091.99675,66775.34658333333,5316.650166666666
2025-04-12,71957.17576666667,62932.01521666667,9025.16055
2025-04-13,117283.0622,63006.70371666666,54276.35848333333
2025-04-14,117901.37268333333,65373.34088333334,52528.031800000004
2025-04-15,117056.90516666666,66917.47633333334,50139.42883333333
2025-04-16,117924.88506666667,62145.29311666667,55779.59195
2025-04-17,117487.04263333333,64618.70028333333,52868.34235
2025-04-18,71490.16935,65136.05216666667,6354.117183333334
2025-04-19,71905.41535,65120.7361,6784.67925
2025-04-20,117197.81635,65240.07146666667,51957.74488333333
2025-04-21,118481.63788333333,69964.7275,48516.910383333336
2025-04-22,117811.00101666666,65658.0717,52152.92931666667
2025-04-23,118030.51476666666,66630.59805,51399.91671666667
2025-04-24,117497.77966666667,70407.67296666667,47090.1067
2025-04-25,71763.3212,69762.96355,2000.3576500000013
2025-04-26,72100.92436666667,72030.73073333333,70.19363333333274
2025-04-27,117032.52253333334,68459.05135,48573.471183333335
2025-04-28,117537.3008,60915.333483333336,56621.96731666667
2025-04-29,117252.75871666666,69819.545,47433.213716666665
2025-04-30,117682.88071666667,69426.02628333334,48256.854433333334
2025-05-01,120364.58391666667,69353.20511666666,51011.3788
2025-05-02,74761.02673333333,60470.70665,14290.320083333334
2025-05-03,74894.84928333333,66027.67763333334,8867.17165
2025-05-04,120670.08423333333,68935.4169,51734.66733333333
2025-05-05,120612.16386666667,65536.15706666667,55076.0068
2025-05-06,121017.19009999999,68147.10773333334,52870.08236666667
2025-05-07,121160.21501666667,66092.36906666667,55067.84595
2025-05-08,120445.47738333333,64618.96498333333,55826.5124
2025-05-09,74253.82545,65754.4396,8499.38585
2025-05-10,74647.98705,62526.94176666666,12121.045283333335
2025-05-11,120743.09041666667,65259.011333333336,55484.07908333333
2025-05-12,120448.60361666666,68517.40838333333,51931.19523333333
2025-05-13,120269.6316,67140.41883333333,53129.212766666664
2025-05-14,120592.00526666666,67577.85648333334,53014.14878333333
2025-05-15,119598.30981666666,66833.25153333333,52765.05828333333
2025-05-16,74681.34475,71965.83821666667,2715.5065333333328
2025-05-17,75274.53043333333,64825.73135,10448.799083333333
2025-05-18,120687.037,67010.8689,53676.1681
2025-05-19,120072.38798333333,72557.17143333334,47515.21655
2025-05-20,120437.57771666667,65910.1829,54527.39481666667
2025-05-21,120283.05128333333,68920.436,51362.61528333333
2025-05-22,119729.68001666667,68913.0492,50816.630816666664
2025-05-23,74983.38438333334,68562.4355,6420.948883333333
2025-05-24,74693.81781666666,70939.31643333334,3754.5013833333323
2025-05-25,120319.8776,71774.86741666666,48545.01018333333
2025-05-26,119407.96936666667,64828.13641666667,54579.832949999996
2025-05-27,120046.82734999999,70656.46005,49390.3673
2025-05-28,119921.84721666666,67648.02311666666,52273.8241
2025-05-29,120439.31426666667,66329.19076666667,54110.1235
2025-05-30,74612.22448333334,68015.99121666666,6596.233266666666
2025-05-31,74778.33258333334,66389.15103333333,8389.18155
2025-06-01,128248.56003333333,57023.733733333334,71224.8263
2025-06-02,128080.53698333334,59439.72953333333,68640.80745
2025-06-03,128076.84056666667,59884.47373333333,68192.36683333333
2025-06-04,128539.84358333334,58894.58276666667,69645.26081666666
2025-06-05,128455.92066666667,57306.60265,71149.31801666667
2025-06-06,82747.415,51892.4196,30854.9954
2025-06-07,83156.75975,52030.24658333333,31126.513166666664
2025-06-08,128266.94665,63082.02338333333,65184.923266666665
2025-06-09,128169.18798333334,57236.47525,70932.71273333333
2025-06-10,127414.49178333333,55796.04755,71618.44423333333
2025-06-11,128236.67731666667,52152.231,76084.44631666667
2025-06-12,127721.81298333334,55269.42155,72452.39143333334
2025-06-13,81889.5904,53544.2767,28345.3137
2025-06-14,82253.15711666667,56059.814366666666,26193.34275
2025-06-15,127368.88451666667,56741.91018333333,70626.97433333333
2025-06-16,127618.63201666667,54924.5792,72694.05281666666
2025-06-17,127311.7546,52674.743383333334,74637.01121666667
2025-06-18,126909.07891666667,55980.68801666667,70928.3909
2025-06-19,127349.0669,59089.5627,68259.5042
2025-06-20,81137.07971666666,58736.49886666667,22400.580850000002
2025-06-21,81408.0648,62073.3244,19334.7404
2025-06-22,126539.46191666667,59082.12081666667,67457.3411
2025-06-23,126690.87308333334,59629.58708333333,67061.28600000001
2025-06-24,127112.84501666667,50844.05276666667,76268.79225
2025-06-25,126310.40843333333,55872.98706666667,70437.42136666666
2025-06-26,126697.44536666667,59150.06153333333,67547.38383333333
2025-06-27,79563.255,59791.60913333333,19771.645866666666
2025-06-28,80661.5728,58884.64668333333,21776.926116666666
2025-06-29,126384.80871666667,57117.04018333333,69267.76853333334
2025-06-30,125947.32058333333,56069.6366,69877.68398333334
2025-07-01,141546.85106666666,62680.30703333333,78866.54403333334
2025-07-02,141198.65821666666,68293.89185,72904.76636666666
2025-07-03,141565.53863333334,61805.1197,79760.41893333333
2025-07-04,95795.06575,66914.19828333333,28880.867466666667
2025-07-05,95872.8349,67082.75493333333,28790.079966666668
2025-07-06,141244.57465,61450.5931,79793.98155
2025-07-07,141495.39415,68085.91138333334,73409.48276666667
2025-07-08,141285.227,65713.83998333334,75571.38701666666
2025-07-09,140590.70496666667,66531.97995,74058.72501666666
2025-07-10,140463.54225,67609.91886666667,72853.62338333334
2025-07-11,94741.08840000001,62222.31125,32518.77715
2025-07-12,95318.3711,64234.127766666665,31084.243333333336
2025-07-13,139893.36648333335,70625.64608333334,69267.7204
2025-07-14,141062.42346666666,69254.74425,71807.67921666667
2025-07-15,139545.16266666667,66796.11208333333,72749.05058333333
2025-07-16,140365.26538333335,68230.702,72134.56338333333
2025-07-17,139569.15928333334,66848.74321666667,72720.41606666667
2025-07-18,93698.0732,62423.8251,31274.2481
2025-07-19,94564.5224,67381.70335,27182.81905
2025-07-20,138750.53876666666,66660.56055,72089.97821666667
2025-07-21,138442.8198,64453.07045,73989.74935
2025-07-22,139514.85881666667,65719.7142,73795.14461666667
2025-07-23,139450.03365,65233.48653333334,74216.54711666667
2025-07-24,138902.21751666666,65285.74551666667,73616.472
2025-07-25,92354.83968333334,65849.52011666667,26505.319566666665
2025-07-26,93187.68993333333,64718.598366666665,28469.09156666667
2025-07-27,138110.19628333332,64425.00648333333,73685.18980000001
2025-07-28,138228.99843333333,60274.1212,77954.87723333333
2025-07-29,138314.74511666666,62245.49916666667,76069.24595
2025-07-30,138424.36443333334,64321.11038333333,74103.25405
2025-07-31,137423.31371666666,62728.31745,74694.99626666667
2025-08-01,92719.4241,71468.06443333333,21251.359666666667
2025-08-02,91562.24421666667,70635.21928333334,20927.024933333334
2025-08-03,138062.48615,75223.00616666666,62839.47998333333
2025-08-04,138312.10695,72896.45186666667,65415.65508333333
2025-08-05,136458.49728333333,71306.18755,65152.309733333335
2025-08-06,136716.0878,68601.68853333333,68114.39926666666
2025-08-07,136850.75446666667,73462.76921666667,63387.98525
2025-08-08,90703.21611666666,74928.04486666666,15775.171250000001
2025-08-09,90303.83175,71381.90275,18921.929
2025-08-10,136535.44471666668,71230.82566666667,65304.61905
2025-08-11,136422.26351666666,71861.01018333333,64561.253333333334
2025-08-12,136637.5967,68877.05305,67760.54365
2025-08-13,136547.99718333333,70427.01773333333,66120.97945
2025-08-14,135936.05536666667,70009.76438333333,65926.29098333334
2025-08-15,89968.05776666666,72808.33088333333,17159.726883333333
2025-08-16,90183.53035,73254.24998333333,16929.280366666666
2025-08-17,135369.1165,72203.72288333334,63165.39361666667
2025-08-18,135710.17471666666,71316.0591,64394.11561666666
2025-08-19,135364.48288333334,71046.82283333334,64317.66005
2025-08-20,135048.05366666667,64397.3626,70650.69106666667
2025-08-21,134971.7989,69127.38041666667,65844.41848333333
2025-08-22,90531.7304,69301.161,21230.5694
2025-08-23,89697.14623333333,67167.14008333333,22530.00615
2025-08-24,135068.0714,71334.48191666667,63733.58948333334
2025-08-25,134511.61375,63738.52673333333,70773.08701666667
2025-08-26,134368.96393333335,68840.14555,65528.81838333333
2025-08-27,133788.3821,65874.23323333333,67914.14886666667
2025-08-28,134543.81656666668,63776.021583333335,70767.79498333334
2025-08-29,88328.33255,65773.1122,22555.22035
2025-08-30,89025.08758333333,70512.36775,18512.719833333333
2025-08-31,133365.35983333332,66718.73675,66646.62308333334
2025-09-01,121263.61926666666,67689.48473333333,53574.13453333333
2025-09-02,121532.82415,67475.0683,54057.75585
2025-09-03,121433.71643333333,65885.99918333333,55547.71725
2025-09-04,121061.17303333334,67135.60748333334,53925.56555
2025-09-05,75132.98045,68308.71878333333,6824.261666666665
2025-09-06,75826.37416666666,68105.29046666667,7721.083699999999
2025-09-07,120781.00903333334,65820.02541666667,54960.983616666665
2025-09-08,121400.59243333334,62005.022899999996,59395.569533333335
2025-09-09,121082.23558333333,67979.40131666667,53102.834266666665
2025-09-10,121274.78848333334,59958.789833333336,61315.99865
2025-09-11,120746.77835000001,67250.69256666666,53496.085783333336
2025-09-12,75687.22711666666,64135.570916666664,11551.6562
2025-09-13,75063.58311666666,67056.48163333333,8007.101483333334
2025-09-14,121237.69566666667,61138.37091666667,60099.32475
2025-09-15,120760.02988333334,65692.99925,55067.030633333336
2025-09-16,121843.35746666667,62351.58748333334,59491.76998333333
2025-09-17,120924.795,60964.6766,59960.1184
2025-09-18,120804.11636666667,61848.06525,58956.05111666666
2025-09-19,75287.12646666667,59185.77415,16101.352316666667
2025-09-20,75330.72763333333,59685.2939,15645.433733333335
2025-09-21,120862.28298333334,62574.7955,58287.48748333333
2025-09-22,121218.04173333333,60604.02185,60614.019883333334
2025-09-23,121182.28133333333,59065.66575,62116.61558333333
2025-09-24,121014.19341666666,59950.968316666665,61063.2251
2025-09-25,120546.34715,60210.89825,60335.4489
2025-09-26,74194.35371666666,56500.11021666667,17694.2435
2025-09-27,75945.77175,58144.4695,17801.30225
2025-09-28,120389.61958333333,56901.99041666667,63487.629166666666
2025-09-29,121111.4148,58351.5232,62759.8916
2025-09-30,120916.45506666666,55494.2803,65422.17476666666
2025-10-01,117218.45471666666,67556.93318333333,49661.52153333333
2025-10-02,117231.70978333334,65500.926666666666,51730.783116666666
2025-10-03,71524.19113333333,63707.03743333333,7817.1537
2025-10-04,72397.41483333333,59301.4324,13095.982433333334
2025-10-05,117604.4209,62868.459833333334,54735.96106666666
2025-10-06,117896.13613333333,60163.02688333333,57733.10925
2025-10-07,117357.17863333333,59585.615633333335,57771.563
2025-10-08,117391.06235,60912.56668333333,56478.49566666667
2025-10-09,117432.98973333334,61673.008050000004,55759.98168333333
2025-10-10,72371.53011666666,63027.9192,9343.610916666667
2025-10-11,71790.96475,57684.65116666666,14106.313583333333
2025-10-12,117709.38418333333,59194.4282,58514.95598333333
2025-10-13,117677.75383333334,60650.35853333333,57027.395300000004
2025-10-14,118032.22918333333,57258.3999,60773.82928333333
2025-10-15,117342.48076666667,55422.457116666665,61920.02365
2025-10-16,117733.27633333333,54766.80338333333,62966.47295
2025-10-17,71943.17253333333,55938.973216666665,16004.199316666665
2025-10-18,71656.70145,55580.10818333334,16076.593266666667
2025-10-19,117991.24738333334,54105.52485,63885.72253333333
2025-10-20,117903.31865,53462.536283333335,64440.782366666666
2025-10-21,117800.84898333333,51338.26763333333,66462.58135000001
2025-10-22,117671.98653333333,52117.08983333333,65554.8967
2025-10-23,117212.01551666667,53832.51848333333,63379.49703333333
2025-10-24,72135.51853333334,53715.46781666666,18420.05071666667
2025-10-25,72042.787,52644.35426666667,19398.432733333335
2025-10-26,117422.34435,52878.032333333336,64544.31201666667
2025-10-27,117790.56431666667,54237.98265,63552.581666666665
2025-10-28,117514.1448,51541.7231,65972.4217
2025-10-29,117721.61451666667,48409.357716666666,69312.2568
2025-10-30,116916.07056666666,52128.252916666665,64787.81765
2025-10-31,71748.98903333333,47844.69696666667,23904.292066666665
2025-11-01,71974.20948333334,49430.17105,22544.038433333335
2025-11-02,117843.23631666666,49046.85238333333,68796.38393333333
2025-11-03,117808.91503333334,48303.98475,69504.93028333333
2025-11-04,117396.61073333333,49816.5387,67580.07203333333
2025-11-05,117764.40761666666,48086.38755,69678.02006666666
2025-11-06,117713.09413333333,46343.50958333333,71369.58455
2025-11-07,72212.37866666667,48893.91688333333,23318.461783333332
2025-11-08,72034.86681666666,48243.65971666667,23791.2071
2025-11-09,117877.67016666666,46530.85298333333,71346.81718333333
2025-11-10,118420.10276666666,44561.65966666667,73858.4431
2025-11-11,117957.86745,46398.84778333333,71559.01966666666
2025-11-12,117416.71383333333,46460.726083333335,70955.98775
2025-11-13,117780.10726666667,45384.23595,72395.87131666667
2025-11-14,71737.8931,44139.4378,27598.4553
2025-11-15,72466.97681666666,44255.0899,28211.886916666666
2025-11-16,118360.27023333333,43925.72585,74434.54438333333
2025-11-17,117269.71065,44573.95631666667,72695.75433333333
2025-11-18,117783.6865,42893.134666666665,74890.55183333333
2025-11-19,118179.70135,42811.38975,75368.3116
2025-11-20,117846.45723333333,43053.3812,74793.07603333333
2025-11-21,71999.1771,43134.793033333335,28864.384066666666
2025-11-22,72549.91013333334,42330.080649999996,30219.829483333335
2025-11-23,117782.6922,42550.595916666665,75232.09628333333
2025-11-24,117975.68781666667,43813.74411666667,74161.9437
2025-11-25,117682.39221666666,41513.73175,76168.66046666667
2025-11-26,117686.43673333334,40928.76985,76757.66688333334
2025-11-27,117198.14165,41417.248916666664,75780.89273333333
2025-11-28,72239.02128333334,41317.78273333333,30921.238550000002
2025-11-29,72156.19988333333,37226.74978333333,34929.4501
2025-11-30,118008.83443333334,37764.006316666666,80244.82811666667
2025-12-01,125291.39163333333,38992.4639,86298.92773333333
2025-12-02,125400.6236,36762.81365,88637.80995
2025-12-03,124622.93113333333,37460.18256666667,87162.74856666666
2025-12-04,125336.25095,38565.0422,86771.20875
2025-12-05,78868.07108333333,37556.4434,41311.62768333333
2025-12-06,79470.82115,35806.19033333333,43664.630816666664
2025-12-07,125067.46291666667,37414.78166666667,87652.68125
2025-12-08,124410.35393333333,36563.14281666667,87847.21111666667
2025-12-09,124694.68108333333,37306.22681666667,87388.45426666667
2025-12-10,124378.76451666666,35991.14605,88387.61846666667
2025-12-11,123787.79896666667,37826.544266666664,85961.2547
2025-12-12,78661.70368333333,34947.2902,43714.41348333333
2025-12-13,78840.15755,35041.62416666667,43798.533383333335
2025-12-14,124522.58585,35743.864050000004,88778.7218
2025-12-15,124305.22548333333,34835.66751666667,89469.55796666666
2025-12-16,124646.94338333333,35228.85205,89418.09133333333
2025-12-17,124466.55465,36274.70758333334,88191.84706666667
2025-12-18,124315.35926666667,36949.092300000004,87366.26696666666
2025-12-19,78593.32543333333,35684.934133333336,42908.3913
2025-12-20,78668.52011666667,35812.16786666667,42856.352249999996
2025-12-21,124376.44096666666,35338.6591,89037.78186666667
2025-12-22,124718.45381666666,35781.02673333333,88937.42708333333
2025-12-23,123956.65456666666,36698.562033333335,87258.09253333333
2025-12-24,123954.37128333333,36099.81196666667,87854.55931666667
2025-12-25,123789.8579,35977.40936666667,87812.44853333333
2025-12-26,78270.30765,35262.685216666665,43007.62243333333
2025-12-27,78409.18393333333,35070.374866666665,43338.80906666667
2025-12-28,123511.26975,36702.015,86809.25475
2025-12-29,123677.30638333333,36153.54011666667,87523.76626666667
2025-12-30,123526.50905,37302.10645,86224.4026
2025-12-31,123791.70508333333,35145.28215,88646.42293333334
