hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,policy
21,1254832.219939482,100681.86799915288,1355514.087938635,22889.16677527777,B1
22,909583.9060504796,13781.537679852912,923365.4437303325,6593.3015063333305,B1
23,790222.4533114302,15384.125727386034,805606.5790388163,7244.356707446243,B1
0,529004.1268157124,0.0,529004.1268157124,0.0,P
1,526345.3091273718,0.0,526345.3091273718,0.0,P
2,517717.9261722906,0.0,517717.9261722906,0.0,P
3,487771.91851674486,0.0,487771.91851674486,0.0,P
4,452832.4920379615,0.0,452832.4920379615,0.0,P
5,448126.3558285021,4704.490097315594,452830.84592581773,1418.4554434850131,P
6,272967.4597426617,20206.465148895393,293173.9248915571,4676.379648472552,P
7,360840.6260599364,8039.841219977512,368880.46727991395,1961.1017959470878,P
8,4265.85989583211,6921.505462643949,11187.365358476058,1285.9802103786064,P
9,24488.68768997393,57901.34118894539,82390.02887891931,11845.225984219162,P
10,87488.61805840481,38839.3693212047,126327.98737960952,8149.444641103369,P
11,438133.25106679474,0.0,438133.25106679474,0.0,P
12,355580.9894524869,0.0,355580.9894524869,0.0,P
13,49454.55618262391,0.0,49454.55618262391,0.0,P
14,105850.94813566645,0.0,105850.94813566645,0.0,P
15,647950.7443619588,0.0,647950.7443619588,0.0,P
16,1050185.9364940985,0.0,1050185.9364940985,0.0,P
17,1552421.6216477058,0.0,1552421.6216477058,0.0,P
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,P
19,81236.36882444087,96147.85265598838,177384.22148042926,14262.376888688492,P
20,641705.1567311849,375775.63147946884,1017480.7882106538,55453.05071142727,P
21,1341106.6799393103,23560.57528095104,1364667.2552202614,5180.816157973542,P
22,1165269.7693704532,0.0,1165269.7693704532,0.0,P
23,1211782.1962815947,0.0,1211782.1962815947,0.0,P
0,994306.9996059402,25041.86273421933,1019348.8623401595,11728.563625405452,E
1,669530.360478488,52539.564474584084,722069.9249530721,24372.219690979822,E
2,562184.828462897,69444.15511187536,631628.9835747724,31985.34636976485,E
3,505443.6195805013,95183.63059983603,600627.2501803373,43580.24128871335,E
4,495868.6431648945,170918.04098127817,666786.6841461727,77720.93225665741,E
5,530160.2585151579,1214512.2550194273,1744672.513534585,319116.2417357977,E
6,196465.38170108778,3871847.819152261,4068313.2008533487,881080.7797255262,E
7,265542.92773940094,1935487.5594519593,2201030.48719136,423462.2435475513,E
8,2615.9500609122624,2984209.7572842296,2986825.707345142,546911.143843409,E
9,17148.909992113975,891376.0985541019,908525.008546216,180629.45395094587,E
10,57795.76759787451,216732.7563599574,274528.5239578319,44975.09095688492,E
11,303764.5960805994,928.9965981916674,304693.5926787911,388.87505000000033,E
12,250488.26972679314,10216.87384587463,260705.14357266776,2494.114649091991,E
13,27299.859692425416,151047.38155733567,178347.24124976108,32846.69295435958,E
14,85286.53948264723,741905.7616755804,827192.3011582276,148285.26262085617,E
15,588313.8120199629,75813.54364907503,664127.3556690379,20045.75608589817,E
16,960133.1573981853,256347.7245716049,1216480.8819697902,57174.71804465005,E
17,1351157.3689299433,523412.07211329124,1874569.4410432347,102803.9942801192,E
18,1020595.1203272324,354871.74837407336,1375466.868701306,56253.157456652974,E
19,54938.00928851428,56462.44096510287,111400.45025361715,8374.414003331196,E
20,568807.7000612046,287404.4018380981,856212.1018993027,44929.0652091075,E
21,1197002.8701630435,153496.34223076396,1350499.2123938075,33998.45870294315,E
22,712555.5049866491,21380.878618548646,733936.3836051979,10211.793415983218,E
23,571089.5557723335,36473.866336261155,607563.4221085947,17162.880253594514,E
0,529004.1268157124,21316.440214615617,550320.5670303281,9992.95523257375,PE
1,526345.3091273718,21403.604344149542,547748.9134715213,9936.249091886404,PE
2,517707.9603687306,95056.12918888318,612764.0895576137,43624.387536991795,PE
3,487761.9458512591,262716.9016648659,750478.8475161251,120206.77506408954,PE
4,452832.4920379615,467212.45937912207,920044.9514170836,212528.84023454468,PE
5,448042.7650447517,1003915.7412743502,1451958.506319102,258331.81074237547,PE
6,272967.4597426617,3416005.3387932777,3688972.7985359393,776939.2267461735,PE
7,360840.6260599364,1484571.6326450396,1845412.2587049762,319679.35210905364,PE
8,4265.85989583211,2467497.804304354,2471763.6642001863,458076.87527131056,PE
9,24488.68768997393,862887.161954559,887375.8496445329,174725.1185685571,PE
10,87488.61805840481,194079.2218360653,281567.8398944701,40001.54118143927,PE
11,438133.25106679474,0.0,438133.25106679474,0.0,PE
12,355580.9894524869,1144.380502449906,356725.36995493685,276.4537993598034,PE
13,49454.55618262391,106209.38913651896,155663.9453191429,22603.136188224813,PE
14,105850.94813566645,430359.5292204066,536210.4773560731,87183.84911388684,PE
15,647950.7443619588,21136.84564457696,669087.5900065358,5596.464388622003,PE
16,1050185.9364940985,22661.735379190657,1072847.6718732892,5098.439768994563,PE
17,1552421.6216477058,20988.529005394856,1573410.1506531008,4026.938371675496,PE
18,1215136.9675261679,29207.184388289425,1244344.1519144573,4592.601606458318,PE
19,81236.36882444087,28927.331907108983,110163.70073154985,4290.757896621117,PE
20,641705.1567311849,123056.22062586543,764761.3773570504,18735.90618525372,PE
21,1341106.6799393103,22553.67755869768,1363660.357498008,4962.594312124885,PE
22,1165392.775218607,0.0,1165392.775218607,0.0,PE
23,1211782.1962815947,0.0,1211782.1962815947,0.0,PE
0,533840.6493549509,0.0,533840.6493549509,0.0,P_tau07
1,516989.2865102695,0.0,516989.2865102695,0.0,P_tau07
2,506734.2340254343,0.0,506734.2340254343,0.0,P_tau07
3,476674.78031974164,0.0,476674.78031974164,0.0,P_tau07
4,441591.56315711996,1313.350059361579,442904.9132164815,597.2479757401986,P_tau07
5,439359.50073805515,8633.112598408328,447992.6133364635,2437.192365471946,P_tau07
6,242462.93841598477,35837.39252084165,278300.3309368264,8260.151220303263,P_tau07
7,325025.6570641008,19645.172181950777,344670.82924605155,4886.187141343094,P_tau07
8,2870.338349530216,33418.99151901216,36289.32986854237,6291.826169173566,P_tau07
9,18847.106423117115,120955.81722972824,139802.92365284535,24733.47076384916,P_tau07
10,76771.50273460484,53670.32781572712,130441.83055033197,11263.752512915702,P_tau07
11,387135.5247389096,819.1710992750006,387954.6958381846,340.6748833333336,P_tau07
12,323179.1099941924,0.0,323179.1099941924,0.0,P_tau07
13,41958.098940537326,0.0,41958.098940537326,0.0,P_tau07
14,93466.14559434075,0.0,93466.14559434075,0.0,P_tau07
15,602119.1886101315,0.0,602119.1886101315,0.0,P_tau07
16,1021185.7960535085,3348.783649784574,1024534.579703293,739.4550104168529,P_tau07
17,1513983.5704020672,2477.6387236078813,1516461.209125675,489.96507898318384,P_tau07
18,1162602.3020933191,12650.877084358017,1175253.179177677,1886.183169262983,P_tau07
19,69369.12001997548,194536.92659484866,263906.04661482415,28863.011492253092,P_tau07
20,614721.9181674847,667111.7154335481,1281833.633601033,98328.2840287521,P_tau07
21,1317460.1991613102,40350.51218206824,1357810.7113433783,8866.24410143514,P_tau07
22,1136883.85129723,0.0,1136883.85129723,0.0,P_tau07
23,1177794.3639449505,0.0,1177794.3639449505,0.0,P_tau07
0,537052.7518340178,0.0,537052.7518340178,0.0,P_tau09
1,541381.4329005503,0.0,541381.4329005503,0.0,P_tau09
2,535511.3580341463,0.0,535511.3580341463,0.0,P_tau09
3,507288.2877001611,0.0,507288.2877001611,0.0,P_tau09
4,471262.71888798184,0.0,471262.71888798184,0.0,P_tau09
5,466283.37168804527,820.789574891363,467104.16126293666,180.41313878258336,P_tau09
6,320015.6114691244,5310.540734832147,325326.1522039565,1223.8390224471527,P_tau09
7,417366.1767494762,3973.291275236602,421339.4680247128,972.7783356099591,P_tau09
8,7395.463376172415,1260.0223284267986,8655.485704599214,219.0593534640301,P_tau09
9,32541.05447915277,19807.988543155992,52349.04302230876,4053.2132677805794,P_tau09
10,106772.10445170908,21688.216073126066,128460.32052483514,4471.782608848148,P_tau09
11,510609.6733019552,0.0,510609.6733019552,0.0,P_tau09
12,388461.53425769455,0.0,388461.53425769455,0.0,P_tau09
13,66116.94758354465,0.0,66116.94758354465,0.0,P_tau09
14,124563.32606731587,0.0,124563.32606731587,0.0,P_tau09
15,715411.1509066726,0.0,715411.1509066726,0.0,P_tau09
16,1097131.5724036277,0.0,1097131.5724036277,0.0,P_tau09
17,1602450.711773975,0.0,1602450.711773975,0.0,P_tau09
18,1293496.7273310923,2038.4299582019407,1295535.1572892943,302.7521102334681,P_tau09
19,99874.92851117898,49029.78206091939,148904.71057209835,7273.432046637492,P_tau09
20,678835.0886403861,134202.08435124875,813037.1729916348,19820.152225373356,P_tau09
21,1371636.7779905642,8096.352896947078,1379733.1308875112,1784.2465641381561,P_tau09
22,1187022.2771573393,0.0,1187022.2771573393,0.0,P_tau09
23,1238440.4001087905,0.0,1238440.4001087905,0.0,P_tau09
0,527067.8519139324,0.0,527067.8519139324,0.0,P_w14
1,525438.1374792893,0.0,525438.1374792893,0.0,P_w14
2,516575.1581156869,0.0,516575.1581156869,0.0,P_w14
3,486728.6582307316,0.0,486728.6582307316,0.0,P_w14
4,451073.1850158899,0.0,451073.1850158899,0.0,P_w14
5,443327.4593515836,3141.3181248242845,446468.77747640794,758.8993408726881,P_w14
6,269481.47073170653,14045.094973930525,283526.56570563704,3250.7311218068107,P_w14
7,362140.5946544478,8210.474854995524,370351.0695094433,2031.9500743343363,P_w14
8,4247.980201295855,7530.064646286825,11778.04484758268,1385.1013762961763,P_w14
9,23215.779486208456,55226.974310381534,78442.75379659,11321.392419386386,P_w14
10,85937.91342514692,39762.08400009639,125699.9974252433,8384.660775920162,P_w14
11,440832.0813592544,0.0,440832.0813592544,0.0,P_w14
12,350227.30860972276,0.0,350227.30860972276,0.0,P_w14
13,48790.177264795704,0.0,48790.177264795704,0.0,P_w14
14,107384.08517612111,0.0,107384.08517612111,0.0,P_w14
15,640842.0375346668,0.0,640842.0375346668,0.0,P_w14
16,1050087.0283110973,0.0,1050087.0283110973,0.0,P_w14
17,1548982.1978393113,285.8771729033925,1549268.0750122147,46.737688647347866,P_w14
18,1211224.2188875289,10811.734904645124,1222035.953792174,1613.396674697019,P_w14
19,81448.49403142673,102079.7273959418,183528.22142736852,15142.97222730476,P_w14
20,637307.6244165006,359450.45933798887,996758.0837544894,52959.8252552765,P_w14
21,1339408.116038154,20468.06425140012,1359876.1802895542,4492.590094649915,P_w14
22,1165515.0958652294,0.0,1165515.0958652294,0.0,P_w14
23,1209754.209126003,0.0,1209754.209126003,0.0,P_w14
0,528792.9532111418,0.0,528792.9532111418,0.0,P_w56
1,525744.9872905702,0.0,525744.9872905702,0.0,P_w56
2,515972.48111053475,0.0,515972.48111053475,0.0,P_w56
3,485967.5409804271,0.0,485967.5409804271,0.0,P_w56
4,450704.4522139413,0.0,450704.4522139413,0.0,P_w56
5,449083.8212814955,4552.148875555012,453635.9701570505,1370.840535849722,P_w56
6,271786.6535300754,20825.67586574452,292612.32939581986,4795.702966364261,P_w56
7,359581.9767578299,8159.647714484378,367741.62447231426,1977.021532067692,P_w56
8,3739.6665466914956,11861.06747782202,15600.734024513516,2222.1133104318183,P_w56
9,24165.926794743602,60083.16500554242,84249.09180028603,12308.350655551243,P_w56
10,85876.75135169255,40423.616196063005,126300.36754775557,8482.575897123927,P_w56
11,432333.409069677,576.2043137494888,432909.61338342645,236.4420281100338,P_w56
12,354355.1127281431,0.0,354355.1127281431,0.0,P_w56
13,49569.4482076485,0.0,49569.4482076485,0.0,P_w56
14,109593.75615516737,0.0,109593.75615516737,0.0,P_w56
15,641222.8277705306,0.0,641222.8277705306,0.0,P_w56
16,1049925.1437394393,0.0,1049925.1437394393,0.0,P_w56
17,1555848.2384539614,705.6679592626458,1556553.906413224,134.14998904123996,P_w56
18,1217814.1298251457,9066.028026060238,1226880.157851206,1348.9953026986473,P_w56
19,81012.42633933054,93251.47255897388,174263.89889830444,13832.851959267955,P_w56
20,637903.937587903,380360.93066512153,1018264.8682530245,56151.94026428708,P_w56
21,1339533.542689404,24655.428776582663,1364188.9714659867,5433.2329623964415,P_w56
22,1163919.434794472,0.0,1163919.434794472,0.0,P_w56
23,1209463.775266292,0.0,1209463.775266292,0.0,P_w56
0,930981.4823890316,0.0,930981.4823890316,0.0,B0_terminal
1,541594.6513077643,0.0,541594.6513077643,0.0,B0_terminal
2,504806.52911440533,0.0,504806.52911440533,0.0,B0_terminal
3,509163.22362364427,0.0,509163.22362364427,0.0,B0_terminal
4,476929.5525613112,4389.3688142368255,481318.92137554806,1994.878203453685,B0_terminal
5,462622.19195812533,31153.089360906004,493775.2813190314,9138.87695258867,B0_terminal
6,196465.38170108778,196274.90469405957,392740.2863951473,45240.77445195676,B0_terminal
7,265542.92773940094,141959.1800954002,407502.10783480114,33911.93085997618,B0_terminal
8,2615.9500609122624,252709.6493825069,255325.59944341917,47351.35128219721,B0_terminal
9,17148.909992113975,265290.46599875955,282439.3759908735,54010.76029231995,B0_terminal
10,57795.76759787451,90572.19426149134,148367.96185936584,19067.19268798725,B0_terminal
11,303764.5960805994,925.3308411316674,304689.9269217311,387.2208275000003,B0_terminal
12,250727.7330381797,0.0,250727.7330381797,0.0,B0_terminal
13,27299.859692425416,0.0,27299.859692425416,0.0,B0_terminal
14,85286.53948264723,580.6832684576459,85867.22275110487,149.62096698431532,B0_terminal
15,588313.8120199628,4321.420689719034,592635.232709682,1155.9516731148196,B0_terminal
16,960133.1573981853,4829.154947877106,964962.3123460624,1089.6606875946136,B0_terminal
17,1351157.3689299433,4765.451147335021,1355922.8200772784,904.2996913848203,B0_terminal
18,1020595.1203272324,42439.33762940048,1063034.4579566328,6387.020806599187,B0_terminal
19,54938.00928851428,538834.3284010839,593772.3376895982,79941.78699039287,B0_terminal
20,568807.7000612046,2504438.222510887,3073245.9225720917,370354.9891870439,B0_terminal
21,1268266.5134115666,174023.7105985037,1442290.2240100703,37084.15966878777,B0_terminal
22,929137.4052944465,0.0,929137.4052944465,0.0,B0_terminal
23,634035.8179107517,0.0,634035.8179107517,0.0,B0_terminal
0,920516.5228022562,0.0,920516.5228022562,0.0,B1_terminal
1,532721.164802047,0.0,532721.164802047,0.0,B1_terminal
2,507572.2404392982,0.0,507572.2404392982,0.0,B1_terminal
3,510759.8106997966,0.0,510759.8106997966,0.0,B1_terminal
4,478012.3061843801,7633.148684057496,485645.45486843755,3468.2027333333317,B1_terminal
5,482223.01239146735,11729.333646066001,493952.34603753337,3669.1229559999992,B1_terminal
6,213891.3910905861,31239.779374934802,245131.1704655209,7147.895653333327,B1_terminal
7,280145.010363778,68174.65544939136,348319.6658131693,15475.266773290004,B1_terminal
8,1744.895521758336,199978.48785698836,201723.3833787467,37346.69239301231,B1_terminal
9,10700.797176544984,238025.48526707242,248726.2824436174,48512.46168499999,B1_terminal
10,55278.85742021023,96491.42901862915,151770.28643883936,20256.93677766668,B1_terminal
11,326930.19045540283,819.1710992750006,327749.36155467783,340.6748833333336,B1_terminal
12,269585.3210568584,0.0,269585.3210568584,0.0,B1_terminal
13,31382.0992379,0.0,31382.0992379,0.0,B1_terminal
14,78193.32559010577,0.0,78193.32559010577,0.0,B1_terminal
15,542396.6262893459,5429.603069722692,547826.2293590687,1427.0165223333408,B1_terminal
16,971371.7236331592,11840.178824527422,983211.9024576866,2650.3869198333346,B1_terminal
17,1451627.150090335,12866.060154125005,1464493.21024446,2476.327166666668,B1_terminal
18,1086703.3990071567,39117.5768709833,1125820.97587814,5919.154783333327,B1_terminal
19,52858.977174045045,415761.9432087318,468620.9203827769,61679.838121477354,B1_terminal
20,575748.9501213983,1849970.687710898,2425719.6378322965,273325.435503089,B1_terminal
21,1283299.0462399335,96623.5570689725,1379922.6033089058,20990.560389000002,B1_terminal
22,934357.4033168467,0.0,934357.4033168467,0.0,B1_terminal
23,653084.7368206283,0.0,653084.7368206283,0.0,B1_terminal
0,892214.2726696826,0.0,892214.2726696826,0.0,P_terminal
1,533404.2299538426,0.0,533404.2299538426,0.0,P_terminal
2,532915.9857862176,0.0,532915.9857862176,0.0,P_terminal
3,532245.738992035,0.0,532245.738992035,0.0,P_terminal
4,503059.9799288028,0.0,503059.9799288028,0.0,P_terminal
5,527038.9442564173,4704.490097315586,531743.4343537329,1418.4554434850102,P_terminal
6,272967.4597426617,20133.220873948565,293100.6806166102,4659.05661593394,P_terminal
7,360840.6260599364,8089.059847373631,368929.68590731005,1973.5915238078746,P_terminal
8,4265.85989583211,6790.275202909094,11056.135098741204,1260.109230153478,P_terminal
9,24488.68768997393,57188.349053049125,81677.03674302305,11702.799668375379,P_terminal
10,87488.61805840481,38507.60227388568,125996.22033229048,8080.896575381335,P_terminal
11,438133.25106679474,0.0,438133.25106679474,0.0,P_terminal
12,356452.22048565204,0.0,356452.22048565204,0.0,P_terminal
13,49454.55618262391,0.0,49454.55618262391,0.0,P_terminal
14,105850.94813566645,0.0,105850.94813566645,0.0,P_terminal
15,647950.7443619588,0.0,647950.7443619588,0.0,P_terminal
16,1050185.9364940985,0.0,1050185.9364940985,0.0,P_terminal
17,1552421.6216477058,0.0,1552421.6216477058,0.0,P_terminal
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,P_terminal
19,81236.36882444087,96424.73486750135,177661.1036919422,14303.44168721274,P_terminal
20,641705.1567311849,375346.8576830419,1017052.0144142269,55390.22176086956,P_terminal
21,1341106.6799393103,23560.57528095104,1364667.2552202614,5180.816157973543,P_terminal
22,962805.9874404711,0.0,962805.9874404711,0.0,P_terminal
23,681764.578861544,0.0,681764.578861544,0.0,P_terminal
0,1033792.917415886,56.614990653938904,1033849.5324065399,26.654892021628484,B0_efficiency
1,665775.7410368795,1724.9876785217818,667500.7287154013,799.8470981447358,B0_efficiency
2,570054.0721683765,2950.4775790943827,573004.5497474709,1360.0043406821649,B0_efficiency
3,507572.2525723188,3251.414669849063,510823.66724216787,1489.374544296851,B0_efficiency
4,501490.5247031981,5379.198352993304,506869.7230561914,2448.2495974735575,B0_efficiency
5,513342.6805308516,17093.51297915801,530436.1935100097,5937.497422944676,B0_efficiency
6,146503.60183811365,192330.12049892498,338833.7223370386,44391.16992868378,B0_efficiency
7,278030.0159052811,145332.0390386996,423362.0549439807,34694.25948794863,B0_efficiency
8,2615.9500609122624,275987.29310559586,278603.2431665081,51637.93039583964,B0_efficiency
9,10929.764620577447,279955.0165439857,290884.78116456314,57010.07184135993,B0_efficiency
10,50941.0455933263,97625.40475561171,148566.45034893803,20527.54940996944,B0_efficiency
11,288444.97259984375,924.9235347916676,289369.8961346354,387.03702500000037,B0_efficiency
12,228317.46880371674,0.0,228317.46880371674,0.0,B0_efficiency
13,3403.913753055807,0.0,3403.913753055807,0.0,B0_efficiency
14,78989.25802354162,288.92041818276454,79278.17844172439,86.32220441672081,B0_efficiency
15,586792.6902208324,4321.420689719034,591114.1109105514,1155.9516731148196,B0_efficiency
16,960133.1573981853,4829.154947877106,964962.3123460624,1089.6606875946136,B0_efficiency
17,1333050.0254814902,5878.687390058032,1338928.7128715483,1119.9466306799018,B0_efficiency
18,906589.7218156203,47327.55065149087,953917.2724671112,7138.653524395888,B0_efficiency
19,54938.00928851428,540163.0311801609,595101.0404686753,80139.40097149312,B0_efficiency
20,523232.20829816913,2478966.6931639393,3002198.9014621084,365983.9450696265,B0_efficiency
21,1165172.5478684984,226375.80178937432,1391548.3496578727,49362.81205265806,B0_efficiency
22,628568.829844024,28341.570428214014,656910.4002722381,13312.373474801489,B0_efficiency
23,514009.17925778456,52521.23184684288,566530.4111046274,24712.64880618945,B0_efficiency
0,769906.7932033724,1049.9677077333326,770956.7609111058,492.0501266666663,B1_efficiency
1,534196.6957620252,3021.1685908833333,537217.8643529085,1402.9343999999999,B1_efficiency
2,519120.9746404553,3556.066273391665,522677.0409138469,1639.114841666666,B1_efficiency
3,491293.53373108234,2715.0063999083336,494008.5401309907,1243.4556000000002,B1_efficiency
4,452405.6338881164,2665.289536072501,455070.9234241889,1214.066271666667,B1_efficiency
5,468293.44697952596,5080.251697089168,473373.69867661514,1487.4478883333338,B1_efficiency
6,155704.37768079553,33241.67856214827,188946.0562429438,7591.474739999986,B1_efficiency
7,297245.7941556609,68473.62400570865,365719.41816136957,15513.263893882387,B1_efficiency
8,1744.895521758336,214699.01920465866,216443.914726417,40075.574626884896,B1_efficiency
9,5132.49074218091,239250.8423301962,244383.3330723771,48790.014736925375,B1_efficiency
10,47779.509738453206,102185.17362943102,149964.68336788422,21438.81749053821,B1_efficiency
11,309737.6591835934,819.1710992750006,310556.8302828684,340.6748833333336,B1_efficiency
12,249772.57946821718,0.0,249772.57946821718,0.0,B1_efficiency
13,1944.359673033322,0.0,1944.359673033322,0.0,B1_efficiency
14,71667.66106709067,364.17025132499947,72031.83131841567,108.80497499999984,B1_efficiency
15,548975.7239486411,7908.48882697917,556884.2127756203,2120.8503683333342,B1_efficiency
16,971371.0794971667,13530.544646824997,984901.6241439916,3050.853283333333,B1_efficiency
17,1439291.045769387,12866.060154125005,1452157.1059235118,2476.327166666668,B1_efficiency
18,975545.7160631287,42127.606769488906,1017673.3228326177,6386.51444461826,B1_efficiency
19,52858.977174045045,391158.74571208074,444017.7228861258,58029.697464575074,B1_efficiency
20,524447.0053327435,1836678.0826347265,2361125.08796747,271088.0478303743,B1_efficiency
21,1239605.1926492334,129595.87587214561,1369201.068521379,28584.702269897716,B1_efficiency
22,914238.6914071301,13125.930154909065,927364.6215620391,6157.282713823735,B1_efficiency
23,780603.432717776,13596.019556666677,794199.4522744427,6402.307241666672,B1_efficiency
0,528580.214136382,0.0,528580.214136382,0.0,P_efficiency
1,525217.1875022933,0.0,525217.1875022933,0.0,P_efficiency
2,503987.31052779476,0.0,503987.31052779476,0.0,P_efficiency
3,466114.7887990235,0.0,466114.7887990235,0.0,P_efficiency
4,435763.9138259982,1282.6771465211632,437046.59097251936,583.3751069747459,P_efficiency
5,431827.90689849784,4246.956746970276,436074.86364546814,1248.7256235977716,P_efficiency
6,194597.00173600562,20210.539506188066,214807.5412421937,4678.622153513382,P_efficiency
7,376174.7272113148,8010.95528521862,384185.6824965334,1954.2873809124196,P_efficiency
8,4265.85989583211,8951.088080046264,13216.947975878373,1676.181198179707,P_efficiency
9,18140.454578391902,60431.5708272537,78572.0254056456,12382.787563754742,P_efficiency
10,78016.52878367699,43712.06264281382,121728.5914264908,9174.594253973433,P_efficiency
11,423603.5457041714,96.08973734727296,423699.6354415187,39.813920549937,P_efficiency
12,338411.6183695391,0.0,338411.6183695391,0.0,P_efficiency
13,12708.514958866814,0.0,12708.514958866814,0.0,P_efficiency
14,97253.6001087073,0.0,97253.6001087073,0.0,P_efficiency
15,652979.7135458206,0.0,652979.7135458206,0.0,P_efficiency
16,1050185.9364940985,0.0,1050185.9364940985,0.0,P_efficiency
17,1530999.5548609085,0.0,1530999.5548609085,0.0,P_efficiency
18,1113663.038360428,8617.043544081625,1122280.0819045096,1279.8789277762933,P_efficiency
19,81236.36882444087,92090.11142015696,173326.48024459783,13660.884862413028,P_efficiency
20,575743.2972147322,377450.1862429251,953193.4834576573,55696.8129468215,P_efficiency
21,1333382.8505908293,27249.391378696044,1360632.2419695253,5926.114055601218,P_efficiency
22,1093919.7089845694,0.0,1093919.7089845694,0.0,P_efficiency
23,1204717.0261899547,0.0,1204717.0261899547,0.0,P_efficiency
0,1094574.7058108984,56.61499065393866,1094631.3208015524,26.65489202162837,B0_power
1,657709.2202088921,2129.0796488718333,659838.299857764,988.0692159472143,B0_power
2,577412.7758938724,2948.5286251221532,580361.3045189945,1359.1890015477695,B0_power
3,509368.814815434,3230.270790324287,512599.0856057583,1479.6539904345043,B0_power
4,507843.65822367487,4490.081232506912,512333.7394561818,2043.55995249851,B0_power
5,559372.8062093403,34765.29215662892,594138.0983659693,9126.85103534844,B0_power
6,185747.56743655077,233968.82576672573,419716.3932032765,53638.04100445811,B0_power
7,266685.6662152842,144164.5031454551,410850.1693607393,34280.687625628394,B0_power
8,9504.216512641215,239402.01043648136,248906.22694912256,44749.80414603602,B0_power
9,12812.540612598692,262420.1305989174,275232.67121151614,53445.22267960155,B0_power
10,47948.37684343877,96568.23782411276,144516.61466755153,20397.18138435157,B0_power
11,321808.5938586888,925.3308411316674,322733.92469982046,387.2208275000003,B0_power
12,254440.83653190098,0.0,254440.83653190098,0.0,B0_power
13,21339.087278793493,0.0,21339.087278793493,0.0,B0_power
14,83273.20371393947,359.8327955426787,83633.03650948215,102.51122446832403,B0_power
