month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,surplus_kwh,unused_grid_kwh,policy
2025-08,1145159.3573086697,372687.63892705715,1517846.9962357269,59509.38965557652,211641.5126398102,25842.11347548456,B0_terminal
2025-09,952026.465569747,613223.5481657854,1565250.0137355325,102040.61108449628,177704.64329973015,32199.54557851493,B0_terminal
2025-10,977118.1008503357,466204.8010674822,1443322.901917818,79071.73483695248,141095.23267759875,16356.321455500132,B0_terminal
2025-11,1139462.966253258,388983.7033648447,1528446.6696181027,64214.22187287256,42265.444471188755,9718.985025715492,B0_terminal
2025-12,1526334.0193572599,414346.43177423434,1940680.4511314943,70778.46210913322,40479.9538432392,38099.48348966571,B0_terminal
2025-02,1147017.4758428046,83892.97137430949,1230910.447217114,14034.124459333334,89008.97922891148,55348.129395578144,B1_terminal
2025-03,1042282.9464407499,201954.42865298488,1244237.3750937348,32211.475440345555,156013.91143456788,43775.95205740738,B1_terminal
2025-04,860569.6000786189,206329.86438865098,1066899.4644672698,32209.435444178995,192227.81335317905,26391.889099794254,B1_terminal
2025-05,846180.1353103969,313768.31002926675,1159948.4453396637,48962.78064949999,205201.9062738683,17807.08830802469,B1_terminal
2025-06,1128987.5871571356,548632.0643144856,1677619.6514716211,88217.10325074074,97847.6144345679,47082.67742674897,B1_terminal
2025-07,1279474.4751968835,567748.8108923166,1847223.2860892003,96609.52603025983,108073.95848251026,29755.979436419722,B1_terminal
2025-08,1173503.4780762875,207330.83648273107,1380834.3145590187,31210.904781999994,213126.78823546204,25966.912330318002,B1_terminal
2025-09,1039907.717308617,214369.57005853334,1254277.2873671502,34592.883510927946,224387.9098633745,60528.48972613167,B1_terminal
2025-10,1038805.20708619,175855.62217179794,1214660.829257988,29046.51179716665,165813.794377572,31969.405236625473,B1_terminal
2025-11,1172582.01232556,186218.45477761346,1358800.4671031735,30865.94486382099,52608.516421193395,19069.254637860053,B1_terminal
2025-12,1521794.3231019948,379600.1641616852,1901394.48726368,66725.28303242796,26043.001486625464,25964.565519958796,B1_terminal
2025-02,1202902.5767664232,2399.049927748167,1205301.6266941712,522.0206828403311,153090.80623568388,110808.01957816849,P_terminal
2025-03,1105431.9965358593,33898.53624276278,1139330.5327786221,5249.146437312008,220367.59456735183,92224.42295531055,P_terminal
2025-04,927111.7402729404,32950.68658096506,960062.4268539054,5181.0502103933995,275079.8337894463,70116.74617047574,P_terminal
2025-05,954729.8709508121,44959.57191567591,999689.442866488,7155.147298619806,311864.4730400592,87690.14445403036,P_terminal
2025-06,1309974.6382756338,207569.69220473617,1517544.33048037,32515.115462226764,282222.91910977144,208611.7092612822,P_terminal
2025-07,1459261.743363413,120755.42689264646,1580017.1702560594,20166.992217854833,285220.88228249364,178977.86246246143,P_terminal
2025-08,1242548.4975940324,49675.3256918138,1292223.8232858463,7612.391131544587,308885.832349682,85382.33913954196,P_terminal
2025-09,1095077.737065229,66409.14258405057,1161486.8796492796,10939.11262113152,290452.0335803231,103501.21356424832,P_terminal
2025-10,1130402.246291728,11885.023694228996,1142287.269985957,2148.52607393349,276305.79229276645,108153.47770492917,P_terminal
2025-11,1274808.5171041507,984.9159063306178,1275793.4330104813,205.69996543704372,159424.34218900587,106758.68847810225,P_terminal
2025-12,1692885.8565112045,69006.00107727786,1761891.8575884823,13723.443329479851,220221.49893286562,208407.4660248018,P_terminal
2025-02,1092800.8385357442,151535.5773588007,1244336.415894545,25937.29613098342,88178.47364109731,51184.28891164656,B0_efficiency
2025-03,978129.7482184226,282267.58892424556,1260397.3371426682,50108.46625819166,143113.42791043973,30708.35938131262,B0_efficiency
2025-04,803336.1426519866,297234.68420845433,1100570.826860441,52424.108581709464,181430.84461647828,15915.39515886775,B0_efficiency
2025-05,804230.3921262032,325661.76428253716,1129892.1564087404,58217.02868153211,198081.9716863864,13221.467014244328,B0_efficiency
2025-06,1078832.0184138431,607597.4724342983,1686429.4908481415,106406.28036716682,90639.77703345713,37396.29482925598,B0_efficiency
2025-07,1265544.325557526,428540.9451292491,1694085.270686775,76163.1895444569,132477.40054367966,45713.583166255696,B0_efficiency
2025-08,1106601.9114087701,386557.08155619685,1493158.992964967,63111.12320240799,215907.15698279397,24079.975929816803,B0_efficiency
2025-09,920766.0466075669,624407.5189800014,1545173.5655875683,105307.23566208238,189911.19112309645,41009.32060967987,B0_efficiency
2025-10,936599.7587953927,486051.74493088224,1422651.503726275,84289.83993494773,145326.72088560692,15276.422487987718,B0_efficiency
2025-11,1096086.928354192,399894.5885605062,1495981.5169146983,68737.79943955377,47371.002913090706,10435.67267080863,B0_efficiency
2025-12,1469762.4384293503,421876.09986856725,1891638.5382979177,74108.99327630337,38567.0132269354,36087.754430166024,B0_efficiency
2025-02,1105832.7932075467,84954.83367570693,1190787.6268832537,14531.46840091992,92509.23512952607,54132.605928988305,B1_efficiency
2025-03,1001434.8387379971,209299.1147132889,1210733.953451286,33222.303732048385,159797.2325032193,42067.163369097834,B1_efficiency
2025-04,827512.649377983,206634.24560932856,1034146.8949873116,32239.620081267534,196887.91780751842,25454.93289138993,B1_efficiency
2025-05,811572.7158790422,317421.5566959738,1128994.272575016,49941.45334338168,209046.41124313037,15433.356927353605,B1_efficiency
2025-06,1085284.590305558,571632.8386923323,1656917.4289978903,96279.93776258889,100107.22516122472,45127.5133810573,B1_efficiency
2025-07,1236563.5465064168,588525.4411283955,1825088.9876348122,105502.90873214693,110599.65824129897,27674.001073090956,B1_efficiency
2025-08,1139486.3846063165,208816.6806403501,1348303.0652466665,31490.562674988643,218519.2370564703,24787.749322427957,B1_efficiency
2025-09,1015869.0134151779,208049.44835411245,1223918.4617692903,33708.48111237331,251361.5358038173,85343.9180319056,B1_efficiency
2025-10,1005166.4574402705,177215.83764290807,1182382.2950831784,29443.235674736512,183238.40459081985,43081.36533800607,B1_efficiency
2025-11,1129247.3997877098,183388.34427830655,1312635.7440660163,31098.846032569854,58339.544315932,19742.18449132013,B1_efficiency
2025-12,1464912.880730594,381770.4421850648,1846683.3229156588,68175.45971116493,27074.07762204832,26995.64165538165,B1_efficiency
2025-02,1165972.4559451558,4090.9891326998377,1170063.4450778556,897.6412891678185,163620.6452716465,118142.59986494345,P_efficiency
2025-03,1072191.0408467995,35404.15617468907,1107595.1970214886,5462.535345364695,240166.74158290782,108058.29721777831,P_efficiency
2025-04,900056.164998123,35956.456332485985,936012.6213306088,5621.8678985592405,293394.02551522624,86669.89585895465,P_efficiency
2025-05,936079.2180156531,43892.54035069364,979971.7583663467,7154.775340684704,350410.6004708633,122298.46083988689,P_efficiency
2025-06,1284341.1060898658,213732.3309219688,1498073.4370118347,33746.9533193327,325732.4823116462,256425.59545398082,P_efficiency
2025-07,1437873.996112705,118895.24742246458,1556769.2435351696,20211.43209517362,335094.4790359838,228904.0927030396,P_efficiency
2025-08,1214334.6541480145,49588.9040444062,1263923.5581924208,7639.327276241642,328820.9625027282,102424.50616943715,P_efficiency
2025-09,1072743.864141686,67409.41332281267,1140153.2774644985,11084.704016413692,326908.9710497035,139172.0488593635,P_efficiency
2025-10,1105142.3860803375,11668.034925835731,1116810.4210061731,2120.610535112407,313654.4507714837,143281.06827855404,P_efficiency
2025-11,1239907.1642142856,3201.5195329587227,1243108.6837472443,657.1750936477218,185069.96952907706,132742.96434544944,P_efficiency
2025-12,1642848.6175096524,68509.0803972037,1711357.697906856,13705.055784369937,235446.3841109661,222611.15828118625,P_efficiency
2025-02,1132830.4831513334,157513.0779696673,1290343.5611210007,27060.284721834898,88497.18925467168,53461.81950976289,B0_power
2025-03,1016983.753260684,277415.28353839694,1294399.036799081,50065.81008153853,139906.64255116475,31629.46027234427,B0_power
2025-04,836049.4184227791,287783.9774999272,1123833.3959227065,51042.650998320896,177413.1673398436,16673.274447950513,B0_power
2025-05,835139.2403311251,324473.17210551,1159612.412436635,57663.266286309445,191951.76043380052,12684.70021243873,B0_power
2025-06,1116036.7785931192,596483.8825889544,1712520.6611820734,104733.82571919804,86993.23323105407,38122.66688051653,B0_power
2025-07,1303893.9044165574,424576.10623108223,1728470.0106476396,75655.29701912195,128620.79831381573,45723.74457611008,B0_power
2025-08,1141222.1897601834,378519.42515210004,1519741.6149122836,62432.92400965648,210367.55769775814,24641.545387494254,B0_power
2025-09,955724.1775972411,614357.8780276835,1570082.0556249246,103522.47854766445,184988.76122229587,41694.53703490702,B0_power
2025-10,975005.3588385733,474211.58509448566,1449216.943933059,83349.94410473984,140955.67395936986,15605.56623900256,B0_power
2025-11,1136951.6519626498,395228.30583096866,1532179.9577936186,68029.78086294755,43076.66323256966,10441.185053763069,B0_power
2025-12,1522232.6027254562,417547.35111421824,1939779.9538396744,72592.25836151416,39303.483711766516,36788.15467125565,B0_power
2025-02,1145657.8149003433,85807.24725465197,1231465.0621549953,14640.038856999983,90661.98169896862,54993.00803970935,B1_power
2025-03,1041195.7609155873,204613.99119610593,1245809.7521116931,32675.483717733227,156931.82193168724,42530.60389876542,B1_power
2025-04,860123.7870778003,206217.30469413073,1066341.091771931,32217.31204767899,192218.67071069963,25448.880860905374,B1_power
2025-05,842850.803956553,316951.36530497187,1159802.1692615247,49760.963660833295,203567.94225471484,16388.126026319762,B1_power
2025-06,1123214.1552622595,558571.7857711087,1681785.9410333682,94621.00271032916,95959.54344588479,44971.074667901245,B1_power
2025-07,1274222.467102249,578322.8662777112,1852545.3333799602,104111.84172488119,105835.69553144844,27153.755496263242,B1_power
2025-08,1174852.2679200696,206932.85038527992,1381785.1183053497,31234.932659166647,212601.1886533633,25343.330793692487,B1_power
2025-09,1054380.2593017211,214509.90408951585,1268890.163391237,34645.96537113795,248728.15271686955,86916.53859332425,B1_power
2025-10,1046393.423102159,175500.21820803315,1221893.6413101922,29304.28377734565,179536.64525189507,44224.53340683333,B1_power
2025-11,1170637.0887522213,186233.41540725346,1356870.5041594747,31501.280100499956,54122.33925493826,19574.56625267488,B1_power
2025-12,1516206.0592966871,381608.3662243655,1897814.4255210527,67256.9136881259,26747.44848621396,26669.01251954729,B1_power
2025-02,1208087.8263089366,4883.973354903941,1212971.7996638406,1069.3931322018411,164807.9469682371,120673.91362041884,P_power
2025-03,1114465.543015519,37315.306860661745,1151780.8498761808,6025.1594867339445,239319.32014362692,109630.33136999705,P_power
2025-04,937401.4335606974,33496.774437259424,970898.2079979568,5278.984944959644,292572.9023461133,88989.16417171495,P_power
2025-05,973454.0987743255,45869.39354032111,1019323.4923146466,7307.061089998414,349565.59245288954,127071.53169311784,P_power
2025-06,1329204.9686598326,211663.33077505964,1540868.2994348924,33767.178418042284,331719.8470533077,262361.1336225048,P_power
2025-07,1481727.4484773192,121640.16798690904,1603367.6164642281,20574.043350231655,338337.06982203195,233228.27253503274,P_power
2025-08,1254150.0661949927,49942.227750778446,1304092.2939457714,7774.252361817207,326974.1122386813,105353.56057021682,P_power
2025-09,1113539.5989788088,71302.38043381712,1184841.979412626,11907.901086362323,328432.3949897989,143788.81378760832,P_power
2025-10,1148794.7416039582,15049.000286458171,1163843.7418904162,2845.981948879682,314368.7255268617,146666.1175060369,P_power
2025-11,1285082.4145284207,4614.637111421916,1289697.0516398426,923.8036470488321,187416.32211350976,135276.1606462867,P_power
2025-12,1698003.4464470693,70158.82485025539,1768162.2712973247,13866.366954600233,241820.67860549153,228795.2853259904,P_power
