slot_id,coverage,quantile_loss_kwh,point_pinball_same_tau_kwh,point_net_mae_kwh,policy,tau,lead_minutes
35,0.2125748502994012,36.563437371371,36.563437371371,49.86575634356852,B0,0.8,350
36,0.17964071856287425,41.109529476024896,41.109529476024896,55.16924182709795,B0,0.8,360
37,0.17664670658682635,39.85540458684882,39.85540458684882,52.192771865997955,B0,0.8,370
38,0.17964071856287425,39.82699852983798,39.82699852983798,52.92908851585117,B0,0.8,380
39,0.20359281437125748,40.794388817886585,40.794388817886585,56.127125315300034,B0,0.8,390
40,0.23652694610778444,37.44778546916268,37.44778546916268,52.15358666269947,B0,0.8,400
41,0.27245508982035926,35.200340508993044,35.200340508993044,51.30447005246115,B0,0.8,410
42,0.3083832335329341,32.71159157085819,32.71159157085819,51.14198587177965,B0,0.8,420
43,0.4161676646706587,26.859319657472728,26.859319657472728,46.29519621132016,B0,0.8,430
44,0.4940119760479042,22.17435757132223,22.17435757132223,43.45593053729243,B0,0.8,440
45,0.5419161676646707,20.283345120950464,20.283345120950464,45.467288263118114,B0,0.8,450
46,0.6137724550898204,18.589045250568276,18.589045250568276,48.028131747259245,B0,0.8,460
47,0.6616766467065869,17.65316768515833,17.65316768515833,48.510411490911615,B0,0.8,470
48,0.6526946107784432,19.30990410685142,19.30990410685142,51.876321229869085,B0,0.8,480
49,0.7065868263473054,19.513467042372174,19.513467042372174,55.41019641065326,B0,0.8,490
50,0.7035928143712575,20.012930888838458,20.012930888838458,59.541758125200516,B0,0.8,500
51,0.7035928143712575,21.738103130363225,21.738103130363225,64.60942524861804,B0,0.8,510
52,0.718562874251497,21.939081102424815,21.939081102424815,66.55937142028307,B0,0.8,520
53,0.7095808383233533,22.849885703403405,22.849885703403405,68.37847711368646,B0,0.8,530
54,0.6826347305389222,25.796669246877375,25.796669246877375,72.97554825342876,B0,0.8,540
55,0.6706586826347305,25.39141268485674,25.39141268485674,71.61463605302139,B0,0.8,550
56,0.688622754491018,25.232153276202208,25.232153276202208,70.6552414015255,B0,0.8,560
57,0.6676646706586826,26.72274422644689,26.72274422644689,71.9846471346439,B0,0.8,570
58,0.6407185628742516,27.644586961400073,27.644586961400073,70.9683554568468,B0,0.8,580
59,0.6047904191616766,30.79219486039852,30.79219486039852,73.27610677381071,B0,0.8,590
60,0.5718562874251497,33.67059565739777,33.67059565739777,74.86867254157082,B0,0.8,600
61,0.5449101796407185,35.20120280908485,35.20120280908485,74.62829794026199,B0,0.8,610
62,0.5089820359281437,36.91806770595245,36.91806770595245,73.92168123736296,B0,0.8,620
63,0.4550898203592814,38.96075787776791,38.96075787776791,73.6770486142577,B0,0.8,630
64,0.45209580838323354,42.39231945457072,42.39231945457072,78.47670009075654,B0,0.8,640
65,0.4550898203592814,45.18980431475701,45.18980431475701,81.89667542779138,B0,0.8,650
66,0.44610778443113774,46.727622872738635,46.727622872738635,81.66050191050797,B0,0.8,660
67,0.4101796407185629,48.935261381009184,48.935261381009184,82.95600419064777,B0,0.8,670
68,0.36227544910179643,51.483019197985286,51.483019197985286,85.49525053632983,B0,0.8,680
69,0.3532934131736527,53.838961886448175,53.838961886448175,88.40905561047916,B0,0.8,690
70,0.344311377245509,54.769560821086706,54.769560821086706,89.35866444135165,B0,0.8,700
71,0.38023952095808383,55.45458242013649,55.45458242013649,90.25977053973838,B0,0.8,710
72,0.39221556886227543,54.859701216067,54.859701216067,89.75064107934446,B0,0.8,720
73,0.38622754491017963,52.75816621475151,52.75816621475151,88.42346102928305,B0,0.8,730
74,0.40718562874251496,50.945954535578416,50.945954535578416,87.18280633858392,B0,0.8,740
75,0.40119760479041916,50.834591494997106,50.834591494997106,87.2812093148955,B0,0.8,750
76,0.41317365269461076,52.159917363348995,52.159917363348995,89.25630112065532,B0,0.8,760
77,0.4221556886227545,50.58684572117672,50.58684572117672,87.61180546208125,B0,0.8,770
78,0.4221556886227545,47.66444914574847,47.66444914574847,85.02324119922237,B0,0.8,780
79,0.4311377245508982,44.83743208380233,44.83743208380233,81.02006051452224,B0,0.8,790
80,0.4281437125748503,42.427601803810845,42.427601803810845,77.52800452146033,B0,0.8,800
81,0.45808383233532934,39.65381430088375,39.65381430088375,75.22033231565693,B0,0.8,810
82,0.5,35.973767145372484,35.973767145372484,73.74920530316032,B0,0.8,820
83,0.5389221556886228,33.75072460959432,33.75072460959432,73.79755889978395,B0,0.8,830
84,0.5838323353293413,31.524952401374968,31.524952401374968,71.92688088926327,B0,0.8,840
85,0.6287425149700598,28.60497064428561,28.60497064428561,69.77311429077776,B0,0.8,850
86,0.6497005988023952,27.430976155399446,27.430976155399446,70.60546647507918,B0,0.8,860
87,0.6586826347305389,28.126998969402216,28.126998969402216,73.83290510650423,B0,0.8,870
88,0.6826347305389222,27.390382187289276,27.390382187289276,73.83170301982652,B0,0.8,880
89,0.6916167664670658,25.78768077924445,25.78768077924445,72.05788412680926,B0,0.8,890
90,0.7155688622754491,24.290484866450335,24.290484866450335,70.27442820286224,B0,0.8,900
91,0.7095808383233533,23.368357100456898,23.368357100456898,69.12697949560915,B0,0.8,910
92,0.7155688622754491,22.666543007999945,22.666543007999945,68.35950002144703,B0,0.8,920
93,0.7335329341317365,22.277257149964882,22.277257149964882,67.32177027884579,B0,0.8,930
94,0.7574850299401198,19.963988727075098,19.963988727075098,60.18193831341756,B0,0.8,940
95,0.718562874251497,18.43282030357387,18.43282030357387,54.67016916460499,B0,0.8,950
96,0.6916167664670658,19.12752818478383,19.12752818478383,53.780350339392484,B0,0.8,960
97,0.6167664670658682,18.840852971598455,18.840852971598455,48.86869043057701,B0,0.8,970
98,0.5748502994011976,20.77350320145801,20.77350320145801,47.31533988809718,B0,0.8,980
99,0.47305389221556887,24.573230366818056,24.573230366818056,49.39135402337062,B0,0.8,990
100,0.39520958083832336,28.556825189425297,28.556825189425297,51.693869790561116,B0,0.8,1000
101,0.344311377245509,34.052598009415036,34.052598009415036,56.21551476627066,B0,0.8,1010
102,0.31736526946107785,39.22088937676102,39.22088937676102,59.878627191529176,B0,0.8,1020
103,0.25449101796407186,43.222340033745546,43.222340033745546,62.772574809383734,B0,0.8,1030
104,0.23053892215568864,45.61915010711178,45.61915010711178,63.78386986933095,B0,0.8,1040
105,0.17664670658682635,48.26971911301624,48.26971911301624,66.08244730054297,B0,0.8,1050
106,0.1497005988023952,48.93823466276898,48.93823466276898,65.40285568312724,B0,0.8,1060
107,0.17365269461077845,44.8370040427648,44.8370040427648,59.4489761150882,B0,0.8,1070
108,0.2275449101796407,39.72073246805829,39.72073246805829,53.77338582800321,B0,0.8,1080
109,0.20658682634730538,37.19385495195229,37.19385495195229,50.05673378233622,B0,0.8,1090
110,0.2125748502994012,35.96132005102116,35.96132005102116,48.42165847331168,B0,0.8,1100
111,0.2694610778443114,34.89036754032453,34.89036754032453,48.516555378531464,B0,0.8,1110
112,0.25748502994011974,30.920679755892543,30.920679755892543,43.56766024147622,B0,0.8,1120
113,0.31137724550898205,26.783121610254437,26.783121610254437,39.088034321134586,B0,0.8,1130
114,0.3532934131736527,22.82271580246373,22.82271580246373,35.5947536059015,B0,0.8,1140
115,0.4161676646706587,17.80055176199367,17.80055176199367,30.275912367299863,B0,0.8,1150
116,0.47305389221556887,15.796976991883199,15.796976991883199,29.5997528417568,B0,0.8,1160
117,0.47904191616766467,16.061138658205774,16.061138658205774,31.997495653006574,B0,0.8,1170
118,0.5149700598802395,13.600005259328356,13.600005259328356,27.799777498791833,B0,0.8,1180
119,0.5089820359281437,13.525904957765261,13.525904957765261,27.45883390757367,B0,0.8,1190
120,0.5119760479041916,15.319843385396979,15.319843385396979,30.643354474435633,B0,0.8,1200
121,0.4940119760479042,14.964022252081413,14.964022252081413,29.71716887275943,B0,0.8,1210
122,0.5149700598802395,14.807913941462681,14.807913941462681,29.235787053861753,B0,0.8,1220
123,0.49101796407185627,17.28886578763061,17.28886578763061,33.98037546942811,B0,0.8,1230
124,0.5,14.920099352437477,14.920099352437477,29.01358249050588,B0,0.8,1240
125,0.4550898203592814,14.798992788995319,14.798992788995319,28.545941058958988,B0,0.8,1250
126,0.47305389221556887,16.980959999682984,16.980959999682984,32.55475205208342,B0,0.8,1260
127,0.46107784431137727,16.670600255916288,16.670600255916288,31.356781687107794,B0,0.8,1270
128,0.44610778443113774,17.34643423379308,17.34643423379308,32.36149382454751,B0,0.8,1280
129,0.437125748502994,17.262793434602596,17.262793434602596,31.864897909074507,B0,0.8,1290
130,0.4251497005988024,15.909828559196848,15.909828559196848,28.601797975435026,B0,0.8,1300
131,0.4940119760479042,15.269695621781567,15.269695621781567,29.08103523493948,B0,0.8,1310
132,0.5239520958083832,16.529310920690005,16.529310920690005,34.3922713986215,B0,0.8,1320
133,0.5059880239520959,15.529106525370086,15.529106525370086,32.0951720193636,B0,0.8,1330
134,0.49700598802395207,15.661657918984341,15.661657918984341,30.88292627115291,B0,0.8,1340
135,0.47904191616766467,18.59234899227062,18.59234899227062,35.001698712392034,B0,0.8,1350
136,0.41916167664670656,18.31138318602158,18.31138318602158,32.129889731429905,B0,0.8,1360
137,0.38922155688622756,20.009125672765283,20.009125672765283,33.26607634620086,B0,0.8,1370
138,0.3562874251497006,22.22496071872628,22.22496071872628,35.78444513092509,B0,0.8,1380
139,0.3323353293413174,21.460944795977063,21.460944795977063,32.61934294828752,B0,0.8,1390
140,0.2964071856287425,23.922219531824577,23.922219531824577,36.05626136966436,B0,0.8,1400
141,0.2964071856287425,25.918337545739266,25.918337545739266,38.74134287147614,B0,0.8,1410
142,0.2754491017964072,25.99237119340778,25.99237119340778,37.917579794670914,B0,0.8,1420
143,0.3263473053892216,26.6830652858093,26.6830652858093,38.657005175490056,B0,0.8,1430
144,0.2874251497005988,29.61508487752284,29.61508487752284,44.09426702743772,B0,0.8,1440
1,0.4940119760479042,14.609387624750498,14.609387624750498,29.291187974051894,B1,0.8,10
2,0.5239520958083832,14.258838023952093,14.258838023952093,28.539957335329337,B1,0.8,20
3,0.5209580838323353,16.365838323353298,16.365838323353298,32.83016467065869,B1,0.8,30
4,0.5179640718562875,13.567569361277446,13.567569361277446,27.162855039920164,B1,0.8,40
5,0.49101796407185627,14.459348343313374,14.459348343313374,29.146915968063876,B1,0.8,50
6,0.5029940119760479,16.468533932135724,16.468533932135724,33.44683133732534,B1,0.8,60
7,0.5119760479041916,15.788525538922155,15.788525538922155,31.812371257485026,B1,0.8,70
8,0.5149700598802395,15.231510678642714,15.231510678642714,30.550908183632732,B1,0.8,80
9,0.5179640718562875,15.113607784431139,15.113607784431139,30.46995508982036,B1,0.8,90
10,0.5209580838323353,14.056924810379241,14.056924810379241,28.313253992015962,B1,0.8,100
11,0.5359281437125748,14.12971531936128,14.12971531936128,28.387294710578846,B1,0.8,110
12,0.5059880239520959,15.349820359281438,15.349820359281438,30.80137724550898,B1,0.8,120
13,0.5089820359281437,15.332050888223552,15.332050888223552,30.679582135728545,B1,0.8,130
14,0.5119760479041916,14.816115528942118,14.816115528942118,29.750883483033935,B1,0.8,140
15,0.5359281437125748,13.474899201596807,13.474899201596807,27.21579840319361,B1,0.8,150
16,0.5149700598802395,13.171771267465068,13.171771267465068,26.41902609780439,B1,0.8,160
17,0.5029940119760479,13.61694887225549,13.61694887225549,27.361764271457087,B1,0.8,170
18,0.5479041916167665,15.524379241516966,15.524379241516966,31.470623752495012,B1,0.8,180
19,0.5059880239520959,14.200982135728543,14.200982135728543,28.747720858283436,B1,0.8,190
20,0.5059880239520959,13.702299421157685,13.702299421157685,27.552545309381234,B1,0.8,200
21,0.5209580838323353,13.752959081836325,13.752959081836325,27.56832834331337,B1,0.8,210
22,0.4940119760479042,13.68227097804391,13.68227097804391,27.435807584830336,B1,0.8,220
23,0.5419161676646707,12.891150139720558,12.891150139720558,25.887214620758485,B1,0.8,230
24,0.5119760479041916,14.540904191616768,14.540904191616768,29.198517964071858,B1,0.8,240
25,0.5329341317365269,13.60056130738523,13.60056130738523,27.329385728542913,B1,0.8,250
26,0.5179640718562875,13.476230339321356,13.476230339321356,27.239717115768464,B1,0.8,260
27,0.5239520958083832,14.72637225548902,14.72637225548902,29.90841816367265,B1,0.8,270
28,0.5209580838323353,13.164844670658685,13.164844670658685,26.634226197604793,B1,0.8,280
29,0.5149700598802395,12.976087744510979,12.976087744510979,25.959878093812375,B1,0.8,290
30,0.5089820359281437,14.7422005988024,14.7422005988024,29.33628742514971,B1,0.8,300
31,0.5089820359281437,14.576204331337326,14.576204331337326,29.16781896207585,B1,0.8,310
32,0.5419161676646707,13.286837834331335,13.286837834331335,26.884673752495004,B1,0.8,320
33,0.5,12.8153500499002,12.8153500499002,26.150915668662677,B1,0.8,330
34,0.5239520958083832,13.087335788423157,13.087335788423157,26.708557385229543,B1,0.8,340
35,0.5329341317365269,12.996423293413173,12.996423293413173,26.431148952095807,B1,0.8,350
36,0.5179640718562875,15.893010728542915,15.893010728542915,32.120895708582836,B1,0.8,360
37,0.5269461077844312,13.493343323353292,13.493343323353292,27.262756586826338,B1,0.8,370
38,0.5239520958083832,13.66954525948104,13.66954525948104,27.592597554890222,B1,0.8,380
39,0.5269461077844312,16.475768712574848,16.475768712574848,33.20708832335329,B1,0.8,390
40,0.5239520958083832,16.896057804391216,16.896057804391216,34.053851896207576,B1,0.8,400
41,0.5,17.586548083832334,17.586548083832334,35.37490269461078,B1,0.8,410
42,0.49101796407185627,18.913673902195605,18.913673902195605,37.92543912175648,B1,0.8,420
43,0.5149700598802395,19.342947205588825,19.342947205588825,38.82240159680639,B1,0.8,430
44,0.5,21.18367137724551,21.18367137724551,42.541695958083835,B1,0.8,440
45,0.5269461077844312,24.31649001996008,24.31649001996008,48.733617764471056,B1,0.8,450
46,0.5059880239520959,24.88083315369261,24.88083315369261,49.72698028942115,B1,0.8,460
47,0.49101796407185627,25.225838113772454,25.225838113772454,50.481689221556884,B1,0.8,470
48,0.5059880239520959,26.79328443113772,26.79328443113772,53.79330464071856,B1,0.8,480
49,0.5149700598802395,25.861746716566856,25.861746716566856,51.8774106786427,B1,0.8,490
50,0.4940119760479042,27.674628682634737,27.674628682634737,55.4587390718563,B1,0.8,500
51,0.5119760479041916,31.588634231536926,31.588634231536926,63.367385229540915,B1,0.8,510
52,0.4880239520958084,32.47644323353294,32.47644323353294,65.2043890718563,B1,0.8,520
53,0.4820359281437126,34.48784910179641,34.48784910179641,69.17173098802395,B1,0.8,530
54,0.5029940119760479,38.57789171656687,38.57789171656687,77.29364271457086,B1,0.8,540
55,0.49700598802395207,39.03002377245508,39.03002377245508,78.32378742514969,B1,0.8,550
56,0.5,37.951559990019966,37.951559990019966,76.18336521956088,B1,0.8,560
57,0.4880239520958084,39.26937250499002,39.26937250499002,78.71588198602794,B1,0.8,570
58,0.4820359281437126,42.30420972055889,42.30420972055889,84.82555833333333,B1,0.8,580
59,0.5029940119760479,44.53856781437126,44.53856781437126,89.22781137724552,B1,0.8,590
60,0.4880239520958084,45.8617113273453,45.8617113273453,91.71642714570858,B1,0.8,600
61,0.47904191616766467,47.0056950499002,47.0056950499002,94.06237704590818,B1,0.8,610
62,0.5089820359281437,47.023361866267464,47.023361866267464,94.2562115768463,B1,0.8,620
63,0.5359281437125748,48.708361776447106,48.708361776447106,97.68364645708583,B1,0.8,630
64,0.5,49.27122493013972,49.27122493013972,98.65428527944113,B1,0.8,640
65,0.5119760479041916,50.65007158682636,50.65007158682636,101.20248547904193,B1,0.8,650
66,0.5,51.54181012974051,51.54181012974051,103.00954466067863,B1,0.8,660
67,0.49700598802395207,52.89356350299402,52.89356350299402,106.09119431137727,B1,0.8,670
68,0.5089820359281437,53.77289036926148,53.77289036926148,107.83535304391218,B1,0.8,680
69,0.5179640718562875,54.85811102794411,54.85811102794411,109.63938373253494,B1,0.8,690
70,0.5059880239520959,53.17590110778443,53.17590110778443,106.33054865269462,B1,0.8,700
71,0.5059880239520959,52.26455409181637,52.26455409181637,104.68271731536927,B1,0.8,710
72,0.5059880239520959,53.97385179640719,53.97385179640719,108.12470808383233,B1,0.8,720
73,0.5119760479041916,54.626913552894216,54.626913552894216,109.35099261477045,B1,0.8,730
74,0.5,53.949058263473056,53.949058263473056,107.88734850299402,B1,0.8,740
75,0.49700598802395207,52.51697380239522,52.51697380239522,104.95921781437127,B1,0.8,750
76,0.5179640718562875,54.41716522954092,54.41716522954092,108.7855099800399,B1,0.8,760
77,0.5419161676646707,53.99080419161677,53.99080419161677,108.01770778443114,B1,0.8,770
78,0.5119760479041916,51.73445434131737,51.73445434131737,103.65418787425149,B1,0.8,780
79,0.5179640718562875,49.98869583832335,49.98869583832335,100.33975823353292,B1,0.8,790
80,0.5089820359281437,48.9794019760479,48.9794019760479,98.13273637724551,B1,0.8,800
81,0.5059880239520959,47.105749500998,47.105749500998,94.03629615768463,B1,0.8,810
82,0.5329341317365269,44.2322374750499,44.2322374750499,88.3987242015968,B1,0.8,820
83,0.4880239520958084,42.082912115768465,42.082912115768465,84.21618363273454,B1,0.8,830
84,0.47904191616766467,40.305711077844315,40.305711077844315,80.58988398203593,B1,0.8,840
85,0.5179640718562875,37.71654042914172,37.71654042914172,75.40759151696606,B1,0.8,850
86,0.5,38.25114951097804,38.25114951097804,76.47314605788422,B1,0.8,860
87,0.5,39.92826272455091,39.92826272455091,79.77038922155691,B1,0.8,870
88,0.5149700598802395,39.190416467065866,39.190416467065866,78.24411616766466,B1,0.8,880
89,0.49101796407185627,38.00285016966067,38.00285016966067,75.92534006986027,B1,0.8,890
90,0.5,37.265497005988024,37.265497005988024,74.51252994011975,B1,0.8,900
91,0.5,34.135299730538925,34.135299730538925,68.1529125748503,B1,0.8,910
92,0.4940119760479042,32.13558149700599,32.13558149700599,64.2826122754491,B1,0.8,920
93,0.5119760479041916,31.73574575848303,31.73574575848303,63.75872879241516,B1,0.8,930
94,0.49700598802395207,29.578569451097803,29.578569451097803,59.361312375249504,B1,0.8,940
95,0.47904191616766467,29.168857185628738,29.168857185628738,58.33886661676646,B1,0.8,950
96,0.47904191616766467,28.762347554890223,28.762347554890223,57.394054391217566,B1,0.8,960
97,0.49700598802395207,26.75593597804391,26.75593597804391,53.30139740518962,B1,0.8,970
98,0.4880239520958084,24.58011101796407,24.58011101796407,49.01308428143712,B1,0.8,980
99,0.49700598802395207,24.16978542914172,24.16978542914172,48.29616142714571,B1,0.8,990
100,0.5,22.51866392215569,22.51866392215569,44.93481931137725,B1,0.8,1000
101,0.49700598802395207,21.730453992015974,21.730453992015974,43.40908672654692,B1,0.8,1010
102,0.5299401197604791,20.559338073852295,20.559338073852295,41.179493512974055,B1,0.8,1020
103,0.5239520958083832,18.65448276447105,18.65448276447105,37.25541621756486,B1,0.8,1030
104,0.5179640718562875,17.856073852295406,17.856073852295406,35.74799755489021,B1,0.8,1040
105,0.5269461077844312,18.77057185628742,18.77057185628742,37.862230538922155,B1,0.8,1050
106,0.5179640718562875,17.623514640718557,17.623514640718557,35.48205014970059,B1,0.8,1060
107,0.5239520958083832,16.640633812375253,16.640633812375253,33.36959750499002,B1,0.8,1070
108,0.5269461077844312,16.71144236526946,16.71144236526946,33.477342814371255,B1,0.8,1080
109,0.5179640718562875,15.23679889221557,15.23679889221557,30.470736377245508,B1,0.8,1090
110,0.47604790419161674,15.347264860279441,15.347264860279441,30.65912145708583,B1,0.8,1100
111,0.4880239520958084,17.65871457085828,17.65871457085828,35.26123752495009,B1,0.8,1110
112,0.49101796407185627,15.664922275449106,15.664922275449106,31.21316511976049,B1,0.8,1120
113,0.5209580838323353,15.982649950099795,15.982649950099795,31.969513522954085,B1,0.8,1130
114,0.5089820359281437,16.609852794411175,16.609852794411175,33.44657684630738,B1,0.8,1140
115,0.49700598802395207,15.318421387225545,15.318421387225545,30.848970558882232,B1,0.8,1150
116,0.5119760479041916,15.57239273453094,15.57239273453094,31.207753642714575,B1,0.8,1160
117,0.4940119760479042,16.931824351297408,16.931824351297408,33.8674750499002,B1,0.8,1170
118,0.5239520958083832,14.585639101796408,14.585639101796408,29.316827095808385,B1,0.8,1180
119,0.5389221556886228,14.369084750499,14.369084750499,28.87609635728543,B1,0.8,1190
120,0.5119760479041916,16.629836327345306,16.629836327345306,33.24563373253492,B1,0.8,1200
121,0.5,15.504208552894212,15.504208552894212,31.036057584830335,B1,0.8,1210
122,0.5299401197604791,15.186354570858283,15.186354570858283,30.43593258483034,B1,0.8,1220
123,0.5,17.731446107784432,17.731446107784432,35.500898203592826,B1,0.8,1230
124,0.4880239520958084,15.538937155688622,15.538937155688622,31.189627245508984,B1,0.8,1240
125,0.49101796407185627,15.378849261477045,15.378849261477045,30.925996007984036,B1,0.8,1250
126,0.5179640718562875,17.255922155688623,17.255922155688623,34.63947604790419,B1,0.8,1260
127,0.5119760479041916,16.310774001996005,16.310774001996005,32.644415818363264,B1,0.8,1270
128,0.49101796407185627,17.04931273453094,17.04931273453094,34.009125049900206,B1,0.8,1280
129,0.5149700598802395,16.857977045908186,16.857977045908186,33.65810379241517,B1,0.8,1290
130,0.5029940119760479,14.79534966067864,14.79534966067864,29.832262225548902,B1,0.8,1300
131,0.5299401197604791,15.253298323353293,15.253298323353293,30.97688233532934,B1,0.8,1310
132,0.5149700598802395,16.611805389221555,16.611805389221555,33.65185628742515,B1,0.8,1320
133,0.5179640718562875,15.766750958083831,15.766750958083831,31.746149401197602,B1,0.8,1330
134,0.5359281437125748,15.379561956087825,15.379561956087825,30.838236277445112,B1,0.8,1340
135,0.5179640718562875,18.163543912175648,18.163543912175648,36.39694111776447,B1,0.8,1350
136,0.49101796407185627,15.689859071856288,15.689859071856288,31.414971257485032,B1,0.8,1360
137,0.4880239520958084,15.571441477045907,15.571441477045907,31.19749271457086,B1,0.8,1370
138,0.5119760479041916,16.772739520958083,16.772739520958083,33.70805389221557,B1,0.8,1380
139,0.5359281437125748,14.269513083832337,14.269513083832337,28.819997155688625,B1,0.8,1390
140,0.5479041916167665,15.17805775449102,15.17805775449102,30.66065164670659,B1,0.8,1400
141,0.4880239520958084,16.56839121756487,16.56839121756487,33.389620758483034,B1,0.8,1410
142,0.5149700598802395,15.71431511976048,15.71431511976048,31.667814071856288,B1,0.8,1420
143,0.5029940119760479,15.816777085828347,15.816777085828347,31.861849800399206,B1,0.8,1430
144,0.5179640718562875,15.760333333333332,15.760333333333332,31.627594810379243,B1,0.8,1440
1,0.8053892215568862,11.053862203057351,15.19127188248689,29.230653475560995,P,0.8,10
2,0.7844311377245509,11.225417323459629,15.144126097947424,28.716248701971832,P,0.8,20
3,0.7724550898203593,12.018137836985172,16.58654045037505,31.661074596694142,P,0.8,30
4,0.8203592814371258,10.397074991464024,14.533152937207863,27.52683978194663,P,0.8,40
5,0.8053892215568862,11.273323389779245,15.219505850437798,29.1749796011901,P,0.8,50
6,0.7754491017964071,12.382802488012544,16.93997685393681,32.902603966763834,P,0.8,60
7,0.8023952095808383,11.506154448174703,16.42963580324577,31.52192390790886,P,0.8,70
8,0.781437125748503,11.06397480229714,16.17127034228886,30.77671836158438,P,0.8,80
9,0.8023952095808383,10.912680115023866,15.960763449763599,30.430259652142432,P,0.8,90
10,0.8023952095808383,10.949388848466814,15.133700699354295,28.574174740500833,P,0.8,100
11,0.8083832335329342,10.844882030688634,15.394215953924956,28.93363632360449,P,0.8,110
12,0.7784431137724551,11.861230794435732,16.35254295616777,30.847922844384154,P,0.8,120
13,0.7844311377245509,11.060204034437156,16.453904366097714,30.988239068677554,P,0.8,130
14,0.7964071856287425,11.15728579935485,16.074609187304638,30.35507825442778,P,0.8,140
15,0.8023952095808383,10.871768472356766,14.86274924033528,28.1531158898062,P,0.8,150
16,0.8143712574850299,10.277185750239571,14.047475820229225,26.52988235867045,P,0.8,160
17,0.8083832335329342,10.629035534864359,14.510583354750727,27.721500740600074,P,0.8,170
18,0.7844311377245509,11.743947475436102,15.763219855712316,30.69661913090391,P,0.8,180
19,0.7784431137724551,11.25431702102169,14.844441635792224,28.97753404383237,P,0.8,190
20,0.781437125748503,10.473621029692291,14.428162867588103,28.170450596511053,P,0.8,200
21,0.8053892215568862,10.303281403248283,13.943466654595934,27.32504452570773,P,0.8,210
22,0.781437125748503,10.702084433339126,13.983922527439201,27.534606617355465,P,0.8,220
23,0.8173652694610778,10.625546402417427,13.339337704598506,26.43942659680129,P,0.8,230
24,0.7874251497005988,11.170134254063624,14.429775034133257,28.853758599623134,P,0.8,240
25,0.8173652694610778,10.965933950269878,13.671135958143111,27.545809461920253,P,0.8,250
26,0.8383233532934131,10.771161194011976,13.463739890913939,27.462972700941283,P,0.8,260
27,0.8263473053892215,11.638894207755685,14.627210450166244,29.8352275466459,P,0.8,270
28,0.8173652694610778,11.018012398914653,14.465126657025241,27.913894891879863,P,0.8,280
