policy,date,start,success,status,message,nit,nfev,initial_score_yuan,incumbent_score_yuan,final_score_yuan,selected_index
D56,2025-03-22,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,219,16380.820158395743,15673.286626765948,15673.286626765948,1
D56,2025-03-22,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,297,25076.449474675293,15675.529541576629,15675.529541576629,1
D56,2025-03-23,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145,242,41248.27806484434,40416.220202526485,40416.220202526485,1
D56,2025-03-23,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94,137,49324.85325413788,40459.93994271839,40459.93994271839,1
D56,2025-03-24,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,161,40950.16793761145,40104.554113772385,40104.554113772385,1
D56,2025-03-24,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,168,260,49594.01068104919,40141.67362468604,40141.67362468604,1
D56,2025-03-25,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,40555.49382016015,39690.30559039974,39690.30559039974,1
D56,2025-03-25,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,253,49568.772708229684,39729.04670159459,39729.04670159459,1
D56,2025-03-26,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,268,40509.20971528823,39592.300791897986,39592.300791897986,1
D56,2025-03-26,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,270,49652.98695401774,39630.94149696584,39630.94149696584,1
D56,2025-03-27,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,142,247,40600.45332472103,39698.70324643659,39698.70324643659,1
D56,2025-03-27,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,257,49739.0413126841,39739.49363272468,39739.49363272468,1
D56,2025-03-28,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,127,199,15495.949884321497,14786.016479302683,14786.016479302683,1
D56,2025-03-28,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100,181,23623.72667056446,14790.663215484949,14790.663215484949,1
D56,2025-03-29,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,282,15274.634149665295,14604.86472219517,14604.86472219517,1
D56,2025-03-29,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,134,204,23409.356453282348,14609.485433608314,14609.485433608314,1
D56,2025-03-30,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,287,39364.983758572576,38595.384320037876,38595.384320037876,1
D56,2025-03-30,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,240,49035.41272750113,38635.92679799222,38635.92679799222,1
D56,2025-03-31,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,279,38747.06456447661,38024.039942946445,38024.039942946445,1
D56,2025-03-31,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,242,47376.300162642525,38060.14364550256,38060.14364550256,1
D56,2025-04-01,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61,96,39053.654008471734,38426.792554989006,38426.792554989006,1
D56,2025-04-01,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,236,48218.99928864571,38455.780793792226,38455.780793792226,1
D56,2025-04-02,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,268,38774.19477166807,38141.65605022107,38141.65605022107,1
D56,2025-04-02,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,129,188,47971.149725024145,38185.47589201277,38185.47589201277,1
D56,2025-04-03,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,275,39601.80697399833,38923.46629616549,38923.46629616549,1
D56,2025-04-03,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,250,48816.817763751154,38956.039366522746,38956.039366522746,1
D56,2025-04-04,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,149,267,14708.207539371908,13967.712304826073,13967.712304826073,1
D56,2025-04-04,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,130,230,23011.53786854485,13972.488201662434,13972.488201662434,1
D56,2025-04-05,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,259,15305.730268570014,14508.622690365266,14508.622690365266,1
D56,2025-04-05,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,259,23884.03934038604,14512.673221521067,14512.673221521067,1
D56,2025-04-06,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,240,39684.518845424136,38977.248686676045,38977.248686676045,1
D56,2025-04-06,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,225,49119.55375968606,39001.978135565376,39001.978135565376,1
D56,2025-04-07,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56,99,38932.443638335084,38223.910701654866,38223.910701654866,1
D56,2025-04-07,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,229,47636.0662446093,38249.00704075718,38249.00704075718,1
D56,2025-04-08,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,166,253,39299.13018189912,38613.24336414624,38613.24336414624,1
D56,2025-04-08,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,224,48826.78239787586,38644.2611159549,38644.2611159549,1
D56,2025-04-09,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,108,186,39011.39820857468,38291.9797483932,38291.9797483932,1
D56,2025-04-09,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,236,48932.2682510158,38324.29234085802,38324.29234085802,1
D56,2025-04-10,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,235,38857.05357557337,38150.95069853303,38150.95069853303,1
D56,2025-04-10,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,229,48666.00538035575,38177.86282148233,38177.86282148233,1
D56,2025-04-11,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,226,14694.90319229201,13999.261761792448,13999.261761792448,1
D56,2025-04-11,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,143,257,22645.06335251667,14001.445716593977,14001.445716593977,1
D56,2025-04-12,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,249,15160.965726073815,14445.307279544924,14445.307279544924,1
D56,2025-04-12,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,255,23779.091087250956,14449.066989564753,14449.066989564753,1
D56,2025-04-13,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,247,37663.54436304325,36926.339425684666,36926.339425684666,1
D56,2025-04-13,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,46337.86862102523,36956.76980073546,36956.76980073546,1
D56,2025-04-14,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,256,37283.62984692642,36542.34797331345,36542.34797331345,1
D56,2025-04-14,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,265,46241.45210882967,36577.35809221718,36577.35809221718,1
D56,2025-04-15,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,240,38010.696958676264,37285.44895995127,37285.44895995127,1
D56,2025-04-15,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145,209,47249.4166313438,37322.61213774973,37322.61213774973,1
D56,2025-04-16,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,233,37412.23493442148,36638.542425509324,36638.542425509324,1
D56,2025-04-16,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,240,45705.05666999038,36669.16426494058,36669.16426494058,1
D56,2025-04-17,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,236,37098.90217567922,36379.053804151416,36379.053804151416,1
D56,2025-04-17,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,230,46187.76793464736,36417.9811332459,36417.9811332459,1
D56,2025-04-18,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,154,247,14127.862392535992,13507.837391666988,13507.837391666988,1
D56,2025-04-18,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128,237,21974.0558730156,13510.436595549972,13510.436595549972,1
D56,2025-04-19,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,260,13719.211326732811,13119.479066607157,13119.479066607157,4
D56,2025-04-19,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,294,21074.805727522198,13119.444262025647,13119.444262025647,4
D56,2025-04-20,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,250,36448.09887834962,35685.96417269558,35685.96417269558,1
D56,2025-04-20,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,45177.067247626146,35710.584610413935,35710.584610413935,1
D56,2025-04-21,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,239,36692.2052679246,35954.20205228874,35954.20205228874,1
D56,2025-04-21,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,45092.3610370376,35981.35324143254,35981.35324143254,1
D56,2025-04-22,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,251,36140.0945210136,35336.11327046567,35336.11327046567,1
D56,2025-04-22,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,45238.732197341145,35356.511028829096,35356.511028829096,1
D56,2025-04-23,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,227,36533.322085717795,35727.2772112507,35727.2772112507,1
D56,2025-04-23,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,45480.00754214497,35749.48726041075,35749.48726041075,1
D56,2025-04-24,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,255,35872.36110142269,35078.25165122649,35078.25165122649,1
D56,2025-04-24,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,44233.26199376346,35101.38825793274,35101.38825793274,1
D56,2025-04-25,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128,209,12956.046455417456,12388.55112217999,12388.55112217999,1
D56,2025-04-25,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,152,257,20941.2875566401,12388.680208754437,12388.680208754437,1
D56,2025-04-26,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,263,13153.631138833152,12589.911301401242,12589.911330782239,1
D56,2025-04-26,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133,209,21553.13786543932,12591.206839281082,12591.206839281082,1
D56,2025-04-27,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,274,33895.94376592999,33103.47863841938,33103.47863841938,1
D56,2025-04-27,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,285,43545.30693599475,33128.580426341534,33128.580426341534,1
D56,2025-04-28,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,34629.26874421745,33986.94387974939,33986.94387974939,1
D56,2025-04-28,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,240,44019.821256255964,34012.894757243965,34012.894757243965,1
D56,2025-04-29,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,235,35082.71467333718,34454.54973107418,34454.54973107418,1
