slot_id,raw_time_label,start_minute,end_minute,start_time,end_time,price_yuan_per_kwh,source_row
35,05:50:00,340,350,05:40:00,05:50:00,0.5708,36
36,06:00:00,350,360,05:50:00,06:00:00,0.9099,37
37,06:10:00,360,370,06:00:00,06:10:00,0.9368,38
38,06:20:00,370,380,06:10:00,06:20:00,0.8758,39
39,06:30:00,380,390,06:20:00,06:30:00,0.8759,40
40,06:40:00,390,400,06:30:00,06:40:00,0.8601,41
41,06:50:00,400,410,06:40:00,06:50:00,0.8442,42
42,07:00:00,410,420,06:50:00,07:00:00,0.8334,43
43,07:10:00,420,430,07:00:00,07:10:00,0.8092,44
44,07:20:00,430,440,07:10:00,07:20:00,0.7972,45
45,07:30:00,440,450,07:20:00,07:30:00,0.7644,46
46,07:40:00,450,460,07:30:00,07:40:00,0.6899,47
47,07:50:00,460,470,07:40:00,07:50:00,0.86,48
48,08:00:00,470,480,07:50:00,08:00:00,1.1617,49
49,08:10:00,480,490,08:00:00,08:10:00,1.1683,50
50,08:20:00,490,500,08:10:00,08:20:00,1.0956,51
51,08:30:00,500,510,08:20:00,08:30:00,1.0849,52
52,08:40:00,510,520,08:30:00,08:40:00,1.061,53
53,08:50:00,520,530,08:40:00,08:50:00,1.043,54
54,09:00:00,530,540,08:50:00,09:00:00,1.036,55
55,09:10:00,540,550,09:00:00,09:10:00,1.0147,56
56,09:20:00,550,560,09:10:00,09:20:00,0.9922,57
57,09:30:00,560,570,09:20:00,09:30:00,0.97,58
58,09:40:00,570,580,09:30:00,09:40:00,0.9422,59
59,09:50:00,580,590,09:40:00,09:50:00,0.9569,60
60,10:00:00,590,600,09:50:00,10:00:00,0.9977,61
61,10:10,600,610,10:00:00,10:10:00,0.9919,62
62,10:20,610,620,10:10:00,10:20:00,0.9588,63
63,10:30,620,630,10:20:00,10:30:00,0.9549,64
64,10:40,630,640,10:30:00,10:40:00,0.9839,65
65,10:50,640,650,10:40:00,10:50:00,0.799,66
66,11:00,650,660,10:50:00,11:00:00,0.5025,67
67,11:10,660,670,11:00:00,11:10:00,0.4662,68
68,11:20,670,680,11:10:00,11:20:00,0.5007,69
69,11:30,680,690,11:20:00,11:30:00,0.4827,70
70,11:40,690,700,11:30:00,11:40:00,0.4785,71
71,11:50,700,710,11:40:00,11:50:00,0.4662,72
72,12:00,710,720,11:50:00,12:00:00,0.4432,73
73,12:10,720,730,12:00:00,12:10:00,0.4411,74
74,12:20,730,740,12:10:00,12:20:00,0.4551,75
75,12:30,740,750,12:20:00,12:30:00,0.4463,76
76,12:40,750,760,12:30:00,12:40:00,0.4113,77
77,12:50,760,770,12:40:00,12:50:00,0.5682,78
78,13:00,770,780,12:50:00,13:00:00,0.8279,79
79,13:10,780,790,13:00:00,13:10:00,0.8636,80
80,13:20,790,800,13:10:00,13:20:00,0.8416,81
81,13:30,800,810,13:20:00,13:30:00,0.8618,82
82,13:40,810,820,13:30:00,13:40:00,0.8623,83
83,13:50,820,830,13:40:00,13:50:00,0.9026,84
84,14:00,830,840,13:50:00,14:00:00,0.9754,85
85,14:10,840,850,14:00:00,14:10:00,1.0002,86
86,14:20,850,860,14:10:00,14:20:00,0.9978,87
87,14:30,860,870,14:20:00,14:30:00,1.0271,88
88,14:40,870,880,14:30:00,14:40:00,1.0906,89
89,14:50,880,890,14:40:00,14:50:00,0.9376,90
90,15:00,890,900,14:50:00,15:00:00,0.6694,91
91,15:10,900,910,15:00:00,15:10:00,0.66,92
92,15:20,910,920,15:10:00,15:20:00,0.7217,93
93,15:30,920,930,15:20:00,15:30:00,0.7308,94
94,15:40,930,940,15:30:00,15:40:00,0.7534,95
95,15:50,940,950,15:40:00,15:50:00,0.7823,96
96,16:00,950,960,15:50:00,16:00:00,0.8055,97
97,16:10,960,970,16:00:00,16:10:00,0.8271,98
98,16:20,970,980,16:10:00,16:20:00,0.8519,99
99,16:30,980,990,16:20:00,16:30:00,0.8791,100
100,16:40,990,1000,16:30:00,16:40:00,0.9024,101
101,16:50,1000,1010,16:40:00,16:50:00,0.9163,102
102,17:00,1010,1020,16:50:00,17:00:00,0.9264,103
103,17:10,1020,1030,17:00:00,17:10:00,0.9462,104
104,17:20,1030,1040,17:10:00,17:20:00,0.9742,105
105,17:30,1040,1050,17:20:00,17:30:00,0.9862,106
106,17:40,1050,1060,17:30:00,17:40:00,0.976,107
107,17:50,1060,1070,17:40:00,17:50:00,1.0742,108
108,18:00,1070,1080,17:50:00,18:00:00,1.2313,109
109,18:10,1080,1090,18:00:00,18:10:00,1.2561,110
110,18:20,1090,1100,18:10:00,18:20:00,1.2447,111
111,18:30,1100,1110,18:20:00,18:30:00,1.2545,112
112,18:40,1110,1120,18:30:00,18:40:00,1.2522,113
113,18:50,1120,1130,18:40:00,18:50:00,1.2881,114
114,19:00,1130,1140,18:50:00,19:00:00,1.3466,115
115,19:10,1140,1150,19:00:00,19:10:00,1.3523,116
116,19:20,1150,1160,19:10:00,19:20:00,1.3445,117
117,19:30,1160,1170,19:20:00,19:30:00,1.3483,118
118,19:40,1170,1180,19:30:00,19:40:00,1.349,119
119,19:50,1180,1190,19:40:00,19:50:00,1.3473,120
120,20:00,1190,1200,19:50:00,20:00:00,1.3482,121
121,20:10,1200,1210,20:00:00,20:10:00,1.3513,122
122,20:20,1210,1220,20:10:00,20:20:00,1.34,123
123,20:30,1220,1230,20:20:00,20:30:00,1.3489,124
124,20:40,1230,1240,20:30:00,20:40:00,1.3952,125
125,20:50,1240,1250,20:40:00,20:50:00,1.2226,126
126,21:00,1250,1260,20:50:00,21:00:00,0.9332,127
127,21:10,1260,1270,21:00:00,21:10:00,0.9068,128
128,21:20,1270,1280,21:10:00,21:20:00,0.9371,129
129,21:30,1280,1290,21:20:00,21:30:00,0.9371,130
130,21:40,1290,1300,21:30:00,21:40:00,0.9871,131
131,21:50,1300,1310,21:40:00,21:50:00,0.7764,132
132,22:00,1310,1320,21:50:00,22:00:00,0.4209,133
133,22:10,1320,1330,22:00:00,22:10:00,0.3859,134
134,22:20,1330,1340,22:10:00,22:20:00,0.4368,135
135,22:30,1340,1350,22:20:00,22:30:00,0.4198,136
136,22:40,1350,1360,22:30:00,22:40:00,0.4186,137
137,22:50,1360,1370,22:40:00,22:50:00,0.4241,138
138,23:00,1370,1380,22:50:00,23:00:00,0.4237,139
139,23:10,1380,1390,23:00:00,23:10:00,0.4248,140
140,23:20,1390,1400,23:10:00,23:20:00,0.424,141
141,23:30,1400,1410,23:20:00,23:30:00,0.422,142
142,23:40,1410,1420,23:30:00,23:40:00,0.424,143
143,23:50,1420,1430,23:40:00,23:50:00,0.4271,144
144,0:00+1,1430,1440,23:50:00,24:00:00,0.4276,145
