policy,date,issue_hour,horizon_intervals,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,lp_equality_residual_kwh,lp_inequality_violation,lp_bound_violation,runtime_seconds,passed
all_A,2025-09-23,18,36,18705.27941040237,18705.27941040237,0.0,1.1368683772161603e-13,1.7053025658242404e-13,0.0,0.001914500000566477,True
all_A,2025-12-21,0,144,60123.745416962156,60123.74541696215,7.275957614183426e-12,9.094947017729282e-13,0.0,0.0,0.004361582999990787,True
all_A,2025-12-21,6,108,46414.69978939316,46414.69978939314,2.1827872842550278e-11,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.004656000000977656,True
all_A,2025-12-21,12,72,34933.25170162936,34933.25170162935,7.275957614183426e-12,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,0.0032884169995668344,True
all_A,2025-12-21,18,36,14704.214745864765,14704.214745864769,-3.637978807091713e-12,9.094947017729282e-13,1.1368683772161603e-13,0.0,0.0017847919989435468,True
all_B,2025-03-20,0,144,40914.85473733774,40914.85473733774,0.0,4.547473508864641e-13,0.0,0.0,0.004844916002184618,True
all_B,2025-03-20,6,108,31374.753424566363,31374.753424566356,7.275957614183426e-12,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.00417537500106846,True
all_B,2025-03-20,12,72,28313.421672941004,28313.421672940996,7.275957614183426e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.002911332998337457,True
all_B,2025-03-20,18,36,14757.105310410521,14757.105310410521,0.0,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.001794166997569846,True
all_B,2025-06-21,0,144,19781.988295043968,19781.988295043968,0.0,4.547473508864641e-13,0.0,0.0,0.004112750000786036,True
all_B,2025-06-21,6,108,14994.963912095645,14994.963912095647,-1.8189894035458565e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.004167666000284953,True
all_B,2025-06-21,12,72,14904.278430859404,14904.278430859404,0.0,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.002993959002196789,True
all_B,2025-06-21,18,36,11770.359552556827,11770.359552556829,-1.8189894035458565e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.001905958000861574,True
all_B,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.0,0.0,0.0045439169989549555,True
all_B,2025-09-23,6,108,29824.789688777004,29824.789688777004,0.0,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.004241624999849591,True
all_B,2025-09-23,12,72,27760.674789730096,27760.67478973009,7.275957614183426e-12,0.0,1.1368683772161603e-13,2.2737367544323206e-13,0.0031433329968422186,True
all_B,2025-09-23,18,36,16586.14373683184,16586.143736831844,-3.637978807091713e-12,0.0,1.1368683772161603e-13,2.2737367544323206e-13,0.001744290999340592,True
all_B,2025-12-21,0,144,60123.729799487686,60123.729799487686,0.0,9.094947017729282e-13,0.0,0.0,0.0045222910011943895,True
all_B,2025-12-21,6,108,46808.43719301261,46808.437193012585,2.1827872842550278e-11,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.004208457998174708,True
all_B,2025-12-21,12,72,34114.727183151714,34114.72718315171,7.275957614183426e-12,9.094947017729282e-13,5.684341886080802e-14,2.2737367544323206e-13,0.003051416999369394,True
all_B,2025-12-21,18,36,14677.422137583128,14677.422137583131,-3.637978807091713e-12,9.094947017729282e-13,5.684341886080802e-14,2.2737367544323206e-13,0.0017915410026034806,True
