check,max_error,tolerance
D56.selected_q,0.0,1e-06
D56.incumbent_trace,2.1827872842550278e-11,1e-05
D56.initial_trace,2.1827872842550278e-11,1e-05
D56.incumbent_trace,7.275957614183426e-12,1e-05
D56.initial_trace,4.3655745685100555e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.252776074688882e-12,1e-06
D56.point_initializer,1.3642420526593924e-12,1e-06
D56.risk_delta,1.3429257705865894e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.6290081223123707e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,4.218847493575595e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,8.731149137020111e-11,1e-05
D56.emergency_fee,4.083631210960448e-10,1e-05
D56.end_energy,3.0877345125190914e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,5.093170329928398e-11,1e-05
D56.initial_trace,7.275957614183426e-12,1e-05
D56.incumbent_trace,7.275957614183426e-11,1e-05
D56.initial_trace,8.731149137020111e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.4569682106375694e-12,1e-06
D56.point_initializer,3.069544618483633e-12,1e-06
D56.risk_delta,1.5063505998114124e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,3.751665644813329e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,2.3314683517128287e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.7462298274040222e-10,1e-05
D56.emergency_fee,1.1546035239007324e-09,1e-05
D56.end_energy,3.128661774098873e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,8.003553375601768e-11,1e-05
D56.initial_trace,9.458744898438454e-11,1e-05
D56.incumbent_trace,7.275957614183426e-11,1e-05
D56.initial_trace,1.7462298274040222e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.6843418860808015e-12,1e-06
D56.point_initializer,1.9326762412674725e-12,1e-06
D56.risk_delta,3.4994229736184934e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,3.524291969370097e-12,1e-06
D56.milp_state,1.0942358130705543e-12,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,0.0,1e-06
D56.ordinary,0.0,1e-05
D56.score,5.820766091346741e-11,1e-05
D56.emergency_fee,4.3849013309227303e-10,1e-05
D56.end_energy,1.8735590856522322e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,5.820766091346741e-11,1e-05
D56.initial_trace,2.546585164964199e-11,1e-05
D56.incumbent_trace,5.093170329928398e-11,1e-05
D56.initial_trace,3.637978807091713e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.5706550483591855e-12,1e-06
D56.point_initializer,1.3642420526593924e-12,1e-06
D56.risk_delta,1.5063505998114124e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.5027978861326119e-12,1e-06
D56.milp_state,1.1937117960769683e-12,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,0.0,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.9103830456733704e-11,1e-05
D56.emergency_fee,3.8630787457805127e-10,1e-05
D56.end_energy,1.3596945791505277e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,7.275957614183426e-12,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.incumbent_trace,2.9103830456733704e-11,1e-05
D56.initial_trace,7.275957614183426e-12,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.7980287238024175e-12,1e-06
D56.point_initializer,1.1368683772161603e-12,1e-06
D56.risk_delta,9.769962616701378e-13,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.8189894035458565e-12,1e-06
D56.milp_state,7.958078640513122e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,9.71445146547012e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,3.637978807091713e-11,1e-05
D56.emergency_fee,5.70395286558778e-10,1e-05
D56.end_energy,1.964508555829525e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,7.275957614183426e-12,1e-05
D56.initial_trace,3.637978807091713e-11,1e-05
D56.incumbent_trace,0.0,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.229594535194337e-12,1e-06
D56.point_initializer,1.3642420526593924e-12,1e-06
D56.risk_delta,1.5063505998114124e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.7053025658242404e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,2.453592884421596e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.1641532182693481e-10,1e-05
D56.emergency_fee,6.486970960395411e-10,1e-05
D56.end_energy,2.5920599000528455e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,2.9103830456733704e-11,1e-05
D56.initial_trace,1.0913936421275139e-10,1e-05
D56.incumbent_trace,7.275957614183426e-11,1e-05
D56.initial_trace,1.1641532182693481e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.252776074688882e-12,1e-06
D56.point_initializer,1.4779288903810084e-12,1e-06
D56.risk_delta,1.5063505998114124e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.9326762412674725e-12,1e-06
D56.milp_state,8.526512829121202e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.199040866595169e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,5.093170329928398e-11,1e-05
D56.emergency_fee,5.061338015366346e-10,1e-05
D56.end_energy,2.0736479200422764e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,5.093170329928398e-11,1e-05
D56.initial_trace,7.275957614183426e-12,1e-05
D56.incumbent_trace,1.4551915228366852e-11,1e-05
D56.initial_trace,2.9103830456733704e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.139089236967266e-12,1e-06
D56.point_initializer,1.3642420526593924e-12,1e-06
D56.risk_delta,2.547295707699959e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.5011104298755527e-12,1e-06
D56.milp_state,7.673861546209082e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,5.88418203051333e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.4551915228366852e-11,1e-05
D56.emergency_fee,4.911271389573812e-10,1e-05
D56.end_energy,2.064552973024547e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.4551915228366852e-11,1e-05
D56.initial_trace,0.0,1e-05
D56.incumbent_trace,0.0,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.139089236967266e-12,1e-06
D56.point_initializer,1.7053025658242404e-12,1e-06
D56.risk_delta,1.3571366253017914e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.9326762412674725e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,2.1538326677728037e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,8.731149137020111e-11,1e-05
D56.emergency_fee,6.706528665745282e-10,1e-05
D56.end_energy,2.15550244320184e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.4551915228366852e-11,1e-05
D56.initial_trace,7.275957614183426e-11,1e-05
D56.incumbent_trace,8.731149137020111e-11,1e-05
D56.initial_trace,2.9103830456733704e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.115907697472721e-12,1e-06
D56.point_initializer,1.3073986337985843e-12,1e-06
D56.risk_delta,2.5579538487363607e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.9610979506978765e-12,1e-06
D56.milp_state,1.0231815394945443e-12,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,2.220446049250313e-16,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.546585164964199e-11,1e-05
D56.emergency_fee,3.6197889130562544e-10,1e-05
D56.end_energy,1.1550582712516189e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,3.637978807091713e-12,1e-05
D56.initial_trace,0.0,1e-05
D56.incumbent_trace,2.546585164964199e-11,1e-05
D56.initial_trace,2.1827872842550278e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.9685589803848416e-12,1e-06
D56.point_initializer,1.1368683772161603e-12,1e-06
D56.risk_delta,2.5579538487363607e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.9274360713316128e-12,1e-06
D56.milp_state,1.4779288903810084e-12,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.1102230246251565e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.4551915228366852e-11,1e-05
D56.emergency_fee,4.852154233958572e-10,1e-05
D56.end_energy,1.0913936421275139e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.0913936421275139e-11,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.incumbent_trace,7.275957614183426e-12,1e-05
D56.initial_trace,0.0,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.0254023992456496e-12,1e-06
D56.point_initializer,1.1368683772161603e-12,1e-06
D56.risk_delta,2.5579538487363607e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.6716406864579767e-12,1e-06
D56.milp_state,8.526512829121202e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,7.771561172376096e-16,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.9103830456733704e-11,1e-05
D56.emergency_fee,5.985043571854476e-10,1e-05
D56.end_energy,2.091837814077735e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,7.275957614183426e-12,1e-05
D56.initial_trace,2.1827872842550278e-11,1e-05
D56.incumbent_trace,2.1827872842550278e-11,1e-05
D56.initial_trace,2.9103830456733704e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.707523425575346e-12,1e-06
D56.point_initializer,3.183231456205249e-12,1e-06
D56.risk_delta,1.7479351299698465e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.3305801732931286e-12,1e-06
D56.milp_state,8.08242361927114e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.4876988529977098e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,3.637978807091713e-11,1e-05
D56.emergency_fee,4.704361344920471e-10,1e-05
D56.end_energy,1.9554136088117957e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,7.275957614183426e-12,1e-05
D56.initial_trace,3.637978807091713e-11,1e-05
D56.incumbent_trace,1.4551915228366852e-11,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.343281372915953e-12,1e-06
D56.point_initializer,1.8189894035458565e-12,1e-06
D56.risk_delta,1.3713474800169934e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.8758328224066645e-12,1e-06
D56.milp_state,8.526512829121202e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,3.1086244689504383e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.0186340659856796e-10,1e-05
D56.emergency_fee,8.158167474903166e-10,1e-05
D56.end_energy,2.610249794088304e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.0186340659856796e-10,1e-05
D56.initial_trace,4.3655745685100555e-11,1e-05
D56.incumbent_trace,1.0186340659856796e-10,1e-05
D56.initial_trace,1.0186340659856796e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.934897101018578e-12,1e-06
D56.point_initializer,2.2737367544323206e-12,1e-06
D56.risk_delta,3.7765346405649325e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,5.229594535194337e-12,1e-06
D56.milp_state,8.419931418757187e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,0.0,1e-06
D56.ordinary,0.0,1e-05
D56.score,3.637978807091713e-11,1e-05
D56.emergency_fee,5.356923793442547e-10,1e-05
D56.end_energy,1.90084392670542e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.4551915228366852e-11,1e-05
D56.initial_trace,0.0,1e-05
D56.incumbent_trace,3.637978807091713e-11,1e-05
D56.initial_trace,2.1827872842550278e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.139089236967266e-12,1e-06
D56.point_initializer,2.1600499167107046e-12,1e-06
D56.risk_delta,3.7765346405649325e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,4.433786671143025e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.8984813721090177e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,6.548361852765083e-11,1e-05
D56.emergency_fee,6.80842049405328e-10,1e-05
D56.end_energy,2.219167072325945e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,6.548361852765083e-11,1e-05
D56.initial_trace,6.548361852765083e-11,1e-05
D56.incumbent_trace,2.9103830456733704e-11,1e-05
D56.initial_trace,0.0,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.9117155615240335e-12,1e-06
D56.point_initializer,1.4210854715202004e-12,1e-06
D56.risk_delta,2.5579538487363607e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.7569058147491887e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,3.930189507173054e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,8.003553375601768e-11,1e-05
D56.emergency_fee,5.027231964049861e-10,1e-05
D56.end_energy,9.094947017729282e-11,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,3.2741809263825417e-11,1e-05
D56.initial_trace,0.0,1e-05
D56.incumbent_trace,1.0913936421275139e-11,1e-05
D56.initial_trace,8.003553375601768e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.7411853049416095e-12,1e-06
D56.point_initializer,1.8189894035458565e-12,1e-06
D56.risk_delta,2.5579538487363607e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.3874235921539366e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,8.881784197001252e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.127773430198431e-10,1e-05
D56.emergency_fee,5.529727786779404e-10,1e-05
D56.end_energy,1.6825651982799172e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,5.820766091346741e-11,1e-05
D56.initial_trace,3.637978807091713e-11,1e-05
D56.incumbent_trace,7.275957614183426e-11,1e-05
D56.initial_trace,1.127773430198431e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.480149750132114e-12,1e-06
D56.point_initializer,1.2505552149377763e-12,1e-06
D56.risk_delta,1.2150280781497713e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.0463630789890885e-12,1e-06
D56.milp_state,8.526512829121202e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.1324274851176597e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.0913936421275139e-10,1e-05
D56.emergency_fee,1.0163603292312473e-09,1e-05
D56.end_energy,2.546585164964199e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,4.3655745685100555e-11,1e-05
D56.initial_trace,2.9103830456733704e-11,1e-05
D56.incumbent_trace,5.820766091346741e-11,1e-05
D56.initial_trace,1.0913936421275139e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.366462912410498e-12,1e-06
D56.point_initializer,1.3642420526593924e-12,1e-06
D56.risk_delta,1.4495071809506044e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.8421709430404007e-12,1e-06
D56.milp_state,8.384404281969182e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.697997600929081e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.0186340659856796e-10,1e-05
D56.emergency_fee,8.95056473382283e-10,1e-05
D56.end_energy,2.6648194761946797e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,6.548361852765083e-11,1e-05
D56.initial_trace,6.548361852765083e-11,1e-05
D56.incumbent_trace,5.820766091346741e-11,1e-05
D56.initial_trace,1.0913936421275139e-10,1e-05
D56.candidate_initial,1.8189894035458565e-12,1e-06
D56.scenarios,5.115907697472721e-12,1e-06
D56.point_initializer,2.1600499167107046e-12,1e-06
D56.risk_delta,1.6555645743210334e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.3518964553659316e-12,1e-06
D56.milp_state,7.958078640513122e-13,1e-06
D56.milp_continuity,1.8189894035458565e-12,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.2545520178264269e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,8.731149137020111e-11,1e-05
D56.emergency_fee,5.932179192313924e-10,1e-05
D56.end_energy,2.255546860396862e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,5.093170329928398e-11,1e-05
D56.initial_trace,8.731149137020111e-11,1e-05
D56.incumbent_trace,7.275957614183426e-11,1e-05
D56.initial_trace,5.820766091346741e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.4569682106375694e-12,1e-06
D56.point_initializer,2.9558577807620168e-12,1e-06
D56.risk_delta,1.4495071809506044e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.2737367544323206e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,2.220446049250313e-16,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.255546860396862e-10,1e-05
D56.emergency_fee,1.103217073250562e-09,1e-05
D56.end_energy,3.5288394428789616e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.3096723705530167e-10,1e-05
D56.initial_trace,1.3096723705530167e-10,1e-05
D56.incumbent_trace,1.4551915228366852e-10,1e-05
D56.initial_trace,2.255546860396862e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.59383658785373e-12,1e-06
D56.point_initializer,1.0231815394945443e-12,1e-06
D56.risk_delta,1.6555645743210334e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.3874235921539366e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.9984014443252818e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,5.820766091346741e-11,1e-05
D56.emergency_fee,6.864411261631176e-10,1e-05
D56.end_energy,1.9099388737231493e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,4.3655745685100555e-11,1e-05
D56.initial_trace,2.1827872842550278e-11,1e-05
D56.incumbent_trace,1.4551915228366852e-11,1e-05
D56.initial_trace,5.820766091346741e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,7.105427357601002e-12,1e-06
D56.point_initializer,2.0463630789890885e-12,1e-06
D56.risk_delta,1.779909553079051e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,4.547473508864641e-12,1e-06
D56.milp_state,1.3642420526593924e-12,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,0.0,1e-06
D56.ordinary,0.0,1e-05
D56.score,1.7462298274040222e-10,1e-05
D56.emergency_fee,8.440110832452774e-10,1e-05
D56.end_energy,1.20508047984913e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,8.36735125631094e-11,1e-05
D56.initial_trace,5.093170329928398e-11,1e-05
D56.incumbent_trace,6.548361852765083e-11,1e-05
D56.initial_trace,1.7462298274040222e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.4001247917767614e-12,1e-06
D56.point_initializer,1.8189894035458565e-12,1e-06
D56.risk_delta,1.5631940186722204e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,2.2737367544323206e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,7.770464423402418e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,7.275957614183426e-11,1e-05
D56.emergency_fee,5.222489107836736e-10,1e-05
D56.end_energy,1.2141754268668592e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,3.637978807091713e-11,1e-05
D56.initial_trace,1.0913936421275139e-11,1e-05
D56.incumbent_trace,2.546585164964199e-11,1e-05
D56.initial_trace,7.275957614183426e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.6843418860808015e-12,1e-06
D56.point_initializer,1.5916157281026244e-12,1e-06
D56.risk_delta,2.9949376312288223e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,4.092726157978177e-12,1e-06
D56.milp_state,7.958078640513122e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,4.218847493575595e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.9103830456733704e-11,1e-05
D56.emergency_fee,5.48581624570943e-10,1e-05
D56.end_energy,1.9281287677586079e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,2.1827872842550278e-11,1e-05
D56.initial_trace,0.0,1e-05
D56.incumbent_trace,2.9103830456733704e-11,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.7980287238024175e-12,1e-06
D56.point_initializer,1.7053025658242404e-12,1e-06
