policy,hour,emergency_kwh,emergency_cost_yuan,emergency_intervals
q2_seasonal,15,1427.0165223333363,5429.603069722677,10
q2_seasonal,16,2650.3869198333327,11840.178824527413,16
q2_seasonal,17,2476.327166666668,12866.060154125005,18
q2_seasonal,18,5919.154783333327,39117.5768709833,50
q2_seasonal,19,61960.39698314402,417652.6849781741,273
q2_seasonal,20,273425.541882089,1850659.6045341485,788
q2_seasonal,21,22889.16677527777,100681.86799915288,497
q2_seasonal,22,6593.3015063333305,13781.537679852912,63
q2_seasonal,23,7244.356707446243,15384.125727386034,70
q2_no_storage,0,32159.79901981192,68586.56715878981,1070
q2_no_storage,1,32968.695801554255,71012.4345800507,1049
q2_no_storage,2,31631.834469602403,68584.2653561811,1065
q2_no_storage,3,28673.31117368743,62587.42989390964,1019
q2_no_storage,4,33027.06059231534,72578.69957739516,1041
q2_no_storage,5,78606.24749062053,216634.51457868156,1490
q2_no_storage,6,90551.13179690164,395498.7020374505,1544
q2_no_storage,7,36104.51332429525,150444.7108074473,841
q2_no_storage,8,24706.38280462802,133645.46865580883,489
q2_no_storage,9,25425.08235800263,124523.7739408414,427
q2_no_storage,10,18099.245410908115,79773.68664282479,271
q2_no_storage,11,11543.900649984538,27495.03858223835,189
q2_no_storage,12,8528.60203093614,24513.106131269407,154
q2_no_storage,13,16852.16277484944,74727.85940767708,284
q2_no_storage,14,24019.024321667548,114526.33886094399,417
q2_no_storage,15,23821.43416654111,88499.31004422228,475
q2_no_storage,16,57174.71804465019,256347.7245716055,1086
q2_no_storage,17,109303.92623521283,561278.0744214522,1599
q2_no_storage,18,75441.12584026283,478265.8397920475,1466
q2_no_storage,19,31479.163587406867,212233.82522245732,1034
q2_no_storage,20,31814.241882342507,200274.86386829775,1026
q2_no_storage,21,34211.06746381961,142742.66605319938,1073
q2_no_storage,22,39243.074696993885,82244.14960795488,1120
q2_no_storage,23,60106.00728870068,127728.7481401835,1398
q3_no_update,0,0.0,0.0,0
q3_no_update,1,0.0,0.0,0
q3_no_update,2,165.52464145129196,359.99532424049426,5
q3_no_update,3,143.74081660181653,314.35524671218656,4
q3_no_update,4,1844.1681875699678,4059.4055135509852,9
q3_no_update,5,3378.8274148069886,10825.391575957226,32
q3_no_update,6,20792.43350693929,90161.66447325406,164
q3_no_update,7,17716.553512089515,75247.22512194874,163
q3_no_update,8,27396.95798652538,147421.17188312678,162
q3_no_update,9,28140.729416823968,138254.20680575687,192
q3_no_update,10,14173.937572148618,67947.75844039096,113
q3_no_update,11,0.0,0.0,0
q3_no_update,12,0.0,0.0,0
q3_no_update,13,0.0,0.0,0
q3_no_update,14,0.0,0.0,0
q3_no_update,15,193.51814445688618,779.3943268001091,1
q3_no_update,16,1048.2268556382096,4672.633291965307,6
q3_no_update,17,1297.473228473731,6622.494579931722,6
q3_no_update,18,3938.827141708276,26180.72830092039,37
q3_no_update,19,64255.83152204979,433118.14987263706,236
q3_no_update,20,354501.3359589516,2399637.8173624226,921
q3_no_update,21,32431.698304420897,148940.3238063599,648
q3_no_update,22,1170.844879626874,2447.1206516018947,16
q3_no_update,23,1645.4165244540332,3493.554215080674,20
q3_corrected,0,0.0,0.0,0
q3_corrected,1,0.0,0.0,0
q3_corrected,2,0.0,0.0,0
q3_corrected,3,0.0,0.0,0
q3_corrected,4,1519.7529831925438,3346.5407784824224,3
q3_corrected,5,4556.364456326253,15155.301666372501,35
q3_corrected,6,2281.210046445467,10033.100206780364,75
q3_corrected,7,1473.695353975981,6538.227178884246,39
q3_corrected,8,5799.722586047253,30889.266272553046,51
q3_corrected,9,11003.292719552966,53913.337273042285,105
q3_corrected,10,8244.075172464338,39676.15833499578,58
q3_corrected,11,0.0,0.0,0
q3_corrected,12,0.0,0.0,0
q3_corrected,13,0.0,0.0,0
q3_corrected,14,0.0,0.0,0
q3_corrected,15,0.0,0.0,0
q3_corrected,16,0.0,0.0,0
q3_corrected,17,0.0,0.0,0
q3_corrected,18,546.3329271532309,3678.459598522704,19
q3_corrected,19,4362.5373982981,29428.482373720894,132
q3_corrected,20,55211.57656618627,367987.76878784626,424
q3_corrected,21,21796.19225070766,99212.89457073178,509
q3_corrected,22,0.0,0.0,0
q3_corrected,23,0.0,0.0,0
q42,0,5222.879865684163,11595.80944796676,106
q42,1,3318.1887188125866,7478.571261811416,43
q42,2,3403.9363896222408,6983.8446244002835,47
q42,3,3469.668706290407,6906.605042197416,55
q42,4,2424.476741494496,4958.546390357851,41
q42,5,2820.9056274425257,7517.7524127078395,33
q42,6,35781.773700522404,122181.45548048108,252
q42,7,32425.49322186646,119415.68224779463,255
q42,8,55258.858397011594,308668.9580223239,303
q42,9,53843.465307592865,298793.47141049,368
q42,10,17881.59178653872,104043.97778849679,163
q42,11,0.0,0.0,0
q42,12,0.0,0.0,0
q42,13,0.0,0.0,0
q42,14,0.0,0.0,0
q42,15,0.0,0.0,0
q42,16,861.4644653891515,4143.744829868658,5
q42,17,1389.1040041330918,7504.814934656731,11
q42,18,13080.954601442587,92617.19748579574,84
q42,19,99558.86810415264,682862.0979930924,299
q42,20,340351.4720729257,2313522.2403455544,946
q42,21,39273.296239409676,167523.66420917795,783
q42,22,11787.874927774481,25788.979993526482,229
q42,23,25900.967363093154,55190.6127569833,402
q43_corrected,0,0.0,0.0,0
q43_corrected,1,0.0,0.0,0
q43_corrected,2,2159.0497613647917,4686.784699534453,11
q43_corrected,3,1712.4613695094629,3487.7383958955265,19
q43_corrected,4,2887.8820250298622,6120.748217584032,23
q43_corrected,5,1353.354985048195,3985.4513250444543,23
q43_corrected,6,1909.8375544099085,7872.420860361964,68
q43_corrected,7,1937.4445276749022,7782.857244419263,47
q43_corrected,8,5174.861394892375,28053.666662937652,48
q43_corrected,9,11739.922750220525,68624.85653006099,97
q43_corrected,10,7006.827574349554,44451.823360556635,60
q43_corrected,11,0.0,0.0,0
q43_corrected,12,0.0,0.0,0
q43_corrected,13,0.0,0.0,0
q43_corrected,14,0.0,0.0,0
q43_corrected,15,0.0,0.0,0
q43_corrected,16,0.0,0.0,0
q43_corrected,17,0.0,0.0,0
q43_corrected,18,711.2055352318563,5494.007266452578,28
q43_corrected,19,4115.132608912509,31966.882117358928,114
q43_corrected,20,54724.18235622481,365039.3970748852,440
q43_corrected,21,22517.995737798654,100868.61394108892,536
q43_corrected,22,293.5679307266572,640.6904965884852,6
q43_corrected,23,0.0,0.0,0
