policy,baseline,block_days,component,saving_yuan,ci95_low_yuan,ci95_high_yuan,joint_nonworse_resample_fraction,seed,replicates,scope
T_day_trim,P_floor,7,planned_cost_yuan,185504.1855289678,170504.03337878216,203314.950807614,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_rebalance,P_floor,7,total_cost_yuan,23838.12758934668,-29980.624108043557,80608.4439502081,0.084,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_rebalance,P_floor,14,planned_cost_yuan,64490.55610255945,46608.124382532784,81607.63647951355,0.1075,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_rebalance,P_floor,14,emergency_cost_yuan,-40652.428513212755,-99916.50591927595,24610.531463179992,0.1075,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_rebalance,P_floor,14,total_cost_yuan,23838.12758934668,-31175.038629772094,82296.65350612703,0.1075,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_soft,P_floor,7,planned_cost_yuan,45836.91213258383,37921.95903623313,53535.24882986782,0.0595,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_soft,P_floor,7,emergency_cost_yuan,-26100.06107910837,-60309.877248281395,7136.888925535558,0.0595,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_soft,P_floor,7,total_cost_yuan,19736.851053475417,-14160.329008550023,51466.4013564678,0.0595,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_soft,P_floor,14,planned_cost_yuan,45836.91213258383,36713.52896872374,55868.690899081026,0.076,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_soft,P_floor,14,emergency_cost_yuan,-26100.06107910837,-60875.93341864828,10387.069957060106,0.076,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_soft,P_floor,14,total_cost_yuan,19736.851053475417,-12787.84241005184,53939.73264053341,0.076,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_strong,P_floor,7,planned_cost_yuan,47329.20936416088,22611.263059870773,69836.4939889031,0.303,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_strong,P_floor,7,emergency_cost_yuan,-21882.925163092783,-104717.00225040702,77865.69462932735,0.303,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_strong,P_floor,7,total_cost_yuan,25446.284201068047,-51780.61708767398,112714.20593418177,0.303,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_strong,P_floor,14,planned_cost_yuan,47329.20936416088,17321.061110216055,75970.64549292815,0.311,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_strong,P_floor,14,emergency_cost_yuan,-21882.925163092783,-109609.49812092318,81550.68496776435,0.311,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_strong,P_floor,14,total_cost_yuan,25446.284201068047,-55034.093489877196,112513.68297655441,0.311,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_morning_hedge,P_floor,7,planned_cost_yuan,28159.190039264584,14252.358706107163,40450.19885214008,0.417,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_morning_hedge,P_floor,7,emergency_cost_yuan,-2736.3298983141285,-50608.37827484318,52072.29972145628,0.417,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_morning_hedge,P_floor,7,total_cost_yuan,25422.860140950426,-19530.071945989588,74998.2848631223,0.417,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_morning_hedge,P_floor,14,planned_cost_yuan,28159.190039264584,11196.845714231067,42530.32214226499,0.425,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_morning_hedge,P_floor,14,emergency_cost_yuan,-2736.3298983141285,-52645.933974931606,64210.7469164614,0.425,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_morning_hedge,P_floor,14,total_cost_yuan,25422.860140950426,-19520.255600229702,81560.53481857614,0.425,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_guard,P_floor,7,planned_cost_yuan,1530.5867731934559,265.6132256147903,3269.771657062757,0.9995,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_guard,P_floor,7,emergency_cost_yuan,0.0,0.0,0.0,0.9995,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_guard,P_floor,7,total_cost_yuan,1530.5867731934559,265.6132256147903,3269.771657062757,0.9995,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_guard,P_floor,14,planned_cost_yuan,1530.5867731934559,191.152529761217,3710.5696010778265,0.999,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_guard,P_floor,14,emergency_cost_yuan,0.0,0.0,0.0,0.999,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_guard,P_floor,14,total_cost_yuan,1530.5867731934559,191.152529761217,3710.5696010778265,0.999,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_mean,P_floor,7,planned_cost_yuan,13152.637822425326,6528.370348385666,20665.666567813892,0.005,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_mean,P_floor,7,emergency_cost_yuan,-21585.482197356396,-49285.716941157065,-2786.2834228301485,0.005,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_mean,P_floor,7,total_cost_yuan,-8432.844374931063,-33236.67660275155,8631.361909040977,0.005,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_mean,P_floor,14,planned_cost_yuan,13152.637822425326,4641.352471762122,23175.47699696162,0.0085,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_mean,P_floor,14,emergency_cost_yuan,-21585.482197356396,-51030.405651226756,-2224.8148600804816,0.0085,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_mean,P_floor,14,total_cost_yuan,-8432.844374931063,-31036.147822567116,9200.118243651206,0.0085,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_cost,P_floor,7,planned_cost_yuan,59896.265548026066,18854.278861929743,98408.20874783702,0.054,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_cost,P_floor,7,emergency_cost_yuan,-70920.10709829319,-155686.6461533425,19932.046060082735,0.054,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_cost,P_floor,7,total_cost_yuan,-11023.841550267109,-87493.94683694295,67409.2779301498,0.054,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_cost,P_floor,14,planned_cost_yuan,59896.265548026066,4192.686261996836,109029.03786324774,0.0655,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_cost,P_floor,14,emergency_cost_yuan,-70920.10709829319,-154126.5344993031,25251.99826698618,0.0655,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_cost,P_floor,14,total_cost_yuan,-11023.841550267109,-84655.48668355348,63388.73353489979,0.0655,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_w28,P_floor,7,planned_cost_yuan,3525.3598435374715,938.7352004185944,7290.066157678297,0.135,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_w28,P_floor,7,emergency_cost_yuan,-5972.287292604422,-16038.00690433578,0.0,0.135,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_w28,P_floor,7,total_cost_yuan,-2446.9274490669795,-9894.499573349449,3160.4969281181934,0.135,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_w28,P_floor,14,planned_cost_yuan,3525.3598435374715,790.5050506783043,7581.192292242309,0.1245,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_w28,P_floor,14,emergency_cost_yuan,-5972.287292604422,-15299.814455785963,0.0,0.1245,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
R_w28,P_floor,14,total_cost_yuan,-2446.9274490669795,-9407.537899249632,2606.460398076494,0.1245,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
