template_cell,original_label,literal_start_minute,literal_end_minute,internal_slot_if_literal_match,export_status
A36,5:50-6:00,350,360,36.0,not_exported_pending_confirmation
A37,6:00-6:10,360,370,37.0,not_exported_pending_confirmation
A38,6:10-6:20,370,380,38.0,not_exported_pending_confirmation
A39,6:20-6:30,380,390,39.0,not_exported_pending_confirmation
A40,6:30-6:40,390,400,40.0,not_exported_pending_confirmation
A41,6:40-6:50,400,410,41.0,not_exported_pending_confirmation
A42,6:50-7:00,410,420,42.0,not_exported_pending_confirmation
A43,7:00-7:10,420,430,43.0,not_exported_pending_confirmation
A44,7:10-7:20,430,440,44.0,not_exported_pending_confirmation
A45,7:20-7:30,440,450,45.0,not_exported_pending_confirmation
A46,7:30-7:40,450,460,46.0,not_exported_pending_confirmation
A47,7:40-7:50,460,470,47.0,not_exported_pending_confirmation
A48,7:50-8:00,470,480,48.0,not_exported_pending_confirmation
A49,8:00-8:10,480,490,49.0,not_exported_pending_confirmation
A50,8:10-8:20,490,500,50.0,not_exported_pending_confirmation
A51,8:20-8:30,500,510,51.0,not_exported_pending_confirmation
A52,8:30-8:40,510,520,52.0,not_exported_pending_confirmation
A53,8:40-8:50,520,530,53.0,not_exported_pending_confirmation
A54,8:50-9:00,530,540,54.0,not_exported_pending_confirmation
A55,9:00-9:10,540,550,55.0,not_exported_pending_confirmation
A56,9:10-9:20,550,560,56.0,not_exported_pending_confirmation
A57,9:20-9:30,560,570,57.0,not_exported_pending_confirmation
A58,9:30-9:40,570,580,58.0,not_exported_pending_confirmation
A59,9:40-9:50,580,590,59.0,not_exported_pending_confirmation
A60,9:50-10:00,590,600,60.0,not_exported_pending_confirmation
A61,10:00-10:10,600,610,61.0,not_exported_pending_confirmation
A62,10:10-10:20,610,620,62.0,not_exported_pending_confirmation
A63,10:20-10:30,620,630,63.0,not_exported_pending_confirmation
A64,10:30-10:40,630,640,64.0,not_exported_pending_confirmation
A65,10:40-10:50,640,650,65.0,not_exported_pending_confirmation
A66,10:50-11:00,650,660,66.0,not_exported_pending_confirmation
A67,11:00-11:10,660,670,67.0,not_exported_pending_confirmation
A68,11:10-11:20,670,680,68.0,not_exported_pending_confirmation
A69,11:20-11:30,680,690,69.0,not_exported_pending_confirmation
A70,11:30-11:40,690,700,70.0,not_exported_pending_confirmation
A71,11:40-11:50,700,710,71.0,not_exported_pending_confirmation
A72,11:50-12:00,710,720,72.0,not_exported_pending_confirmation
A73,12:00-12:10,720,730,73.0,not_exported_pending_confirmation
A74,12:10-12:20,730,740,74.0,not_exported_pending_confirmation
A75,12:20-12:30,740,750,75.0,not_exported_pending_confirmation
A76,12:30-12:40,750,760,76.0,not_exported_pending_confirmation
A77,12:40-12:50,760,770,77.0,not_exported_pending_confirmation
A78,12:50-13:00,770,780,78.0,not_exported_pending_confirmation
A79,13:00-13:10,780,790,79.0,not_exported_pending_confirmation
A80,13:10-13:20,790,800,80.0,not_exported_pending_confirmation
A81,13:20-13:30,800,810,81.0,not_exported_pending_confirmation
A82,13:30-13:40,810,820,82.0,not_exported_pending_confirmation
A83,13:40-13:50,820,830,83.0,not_exported_pending_confirmation
A84,13:50-14:00,830,840,84.0,not_exported_pending_confirmation
A85,14:00-14:10,840,850,85.0,not_exported_pending_confirmation
A86,14:10-14:20,850,860,86.0,not_exported_pending_confirmation
A87,14:20-14:30,860,870,87.0,not_exported_pending_confirmation
A88,14:30-14:40,870,880,88.0,not_exported_pending_confirmation
A89,14:40-14:50,880,890,89.0,not_exported_pending_confirmation
A90,14:50-15:00,890,900,90.0,not_exported_pending_confirmation
A91,15:00-15:10,900,910,91.0,not_exported_pending_confirmation
A92,15:10-15:20,910,920,92.0,not_exported_pending_confirmation
A93,15:20-15:30,920,930,93.0,not_exported_pending_confirmation
A94,15:30-15:40,930,940,94.0,not_exported_pending_confirmation
A95,15:40-15:50,940,950,95.0,not_exported_pending_confirmation
A96,15:50-16:00,950,960,96.0,not_exported_pending_confirmation
A97,16:00-16:10,960,970,97.0,not_exported_pending_confirmation
A98,16:10-16:20,970,980,98.0,not_exported_pending_confirmation
A99,16:20-16:30,980,990,99.0,not_exported_pending_confirmation
A100,16:30-16:40,990,1000,100.0,not_exported_pending_confirmation
A101,16:40-16:50,1000,1010,101.0,not_exported_pending_confirmation
A102,16:50-17:00,1010,1020,102.0,not_exported_pending_confirmation
A103,17:00-17:10,1020,1030,103.0,not_exported_pending_confirmation
A104,17:10-17:20,1030,1040,104.0,not_exported_pending_confirmation
A105,17:20-17:30,1040,1050,105.0,not_exported_pending_confirmation
A106,17:30-17:40,1050,1060,106.0,not_exported_pending_confirmation
A107,17:40-17:50,1060,1070,107.0,not_exported_pending_confirmation
A108,17:50-18:00,1070,1080,108.0,not_exported_pending_confirmation
A109,18:00-18:10,1080,1090,109.0,not_exported_pending_confirmation
A110,18:10-18:20,1090,1100,110.0,not_exported_pending_confirmation
A111,18:20-18:30,1100,1110,111.0,not_exported_pending_confirmation
A112,18:30-18:40,1110,1120,112.0,not_exported_pending_confirmation
A113,18:40-18:50,1120,1130,113.0,not_exported_pending_confirmation
A114,18:50-19:00,1130,1140,114.0,not_exported_pending_confirmation
A115,19:00-19:10,1140,1150,115.0,not_exported_pending_confirmation
A116,19:10-19:20,1150,1160,116.0,not_exported_pending_confirmation
A117,19:20-19:30,1160,1170,117.0,not_exported_pending_confirmation
A118,19:30-19:40,1170,1180,118.0,not_exported_pending_confirmation
A119,19:40-19:50,1180,1190,119.0,not_exported_pending_confirmation
A120,19:50-20:00,1190,1200,120.0,not_exported_pending_confirmation
A121,20:00-20:10,1200,1210,121.0,not_exported_pending_confirmation
A122,20:10-20:20,1210,1220,122.0,not_exported_pending_confirmation
A123,20:20-20:30,1220,1230,123.0,not_exported_pending_confirmation
A124,20:30-20:40,1230,1240,124.0,not_exported_pending_confirmation
A125,20:40-20:50,1240,1250,125.0,not_exported_pending_confirmation
A126,20:50-21:00,1250,1260,126.0,not_exported_pending_confirmation
A127,21:00-21:10,1260,1270,127.0,not_exported_pending_confirmation
A128,21:10-21:20,1270,1280,128.0,not_exported_pending_confirmation
A129,21:20-21:30,1280,1290,129.0,not_exported_pending_confirmation
A130,21:30-21:40,1290,1300,130.0,not_exported_pending_confirmation
A131,21:40-21:50,1300,1310,131.0,not_exported_pending_confirmation
A132,21:50-22:00,1310,1320,132.0,not_exported_pending_confirmation
A133,22:00-22:10,1320,1330,133.0,not_exported_pending_confirmation
A134,22:10-22:20,1330,1340,134.0,not_exported_pending_confirmation
A135,22:20-22:30,1340,1350,135.0,not_exported_pending_confirmation
A136,22:30-22:40,1350,1360,136.0,not_exported_pending_confirmation
A137,22:40-22:50,1360,1370,137.0,not_exported_pending_confirmation
A138,22:50-23:00,1370,1380,138.0,not_exported_pending_confirmation
A139,23:00-23:10,1380,1390,139.0,not_exported_pending_confirmation
A140,23:10-23:20,1390,1400,140.0,not_exported_pending_confirmation
A141,23:20-23:30,1400,1410,141.0,not_exported_pending_confirmation
A142,23:30-23:40,1410,1420,142.0,not_exported_pending_confirmation
A143,23:40-23:50,1420,1430,143.0,not_exported_pending_confirmation
A144,23:50-0:00+1,1430,1440,144.0,not_exported_pending_confirmation
A145,0:00+1-0:10+1,1440,1450,,not_exported_pending_confirmation
