grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,policy,branch,stage,source_ledger,initial_energy_kwh,final_energy_kwh,days,intervals,normal_cost_yuan,unused_grid_cost_yuan,inventory_adjusted_cost_yuan,emergency_margin_yuan,passes_emergency_reference,emergency_days,emergency_intervals,wall_seconds,optimizer_count,optimizer_success_count,optimizer_non_success_count,optimizer_exception_count,initializer_fallback_count,retained_start_selected_count,keep_current_selected_count,optimizer_nfev,optimizer_total_wall_seconds,milp_total_runtime_seconds
20999350.338290498,20999350.338290498,147407.72985395137,13075237.028039372,0.0,0.0,13075237.028039372,838655.4538288128,13913892.481868185,6034574.932373809,4891721.579142131,2064715.219946105,733479.5440586898,1331235.6758874154,Q2_D112,q2,old_reference,results/q2_direct_v4/runs/D112/ledger.csv,7268.4231640740745,3139.6632536900206,334,48096,13075237.028039372,426220.36292100453,13916739.581805289,161344.5461711872,True,90,931,40.454410916994675,668.0,106.0,562.0,,,,,154442.0,16.69796184223378,8.349218998861033
19839930.398287483,19839930.398287483,751884.1216948977,11987831.567381367,0.0,0.0,11987831.567381367,4345851.825469283,16333683.392850649,6468111.533041743,5243260.664473787,1427774.156447757,330363.1500750936,1097411.0063726634,Q2_B0,q2,old_reference,results/q2_direct_v4/references/B0/ledger.csv,7268.4231640740745,2723.6201529907166,334,48096,11987831.567381367,193233.07897957333,16336817.386749024,-3345851.8254692834,False,324,4446,17.049212958008866,,,,,,,,,,
20243492.085644614,20243492.085644614,519849.5915405929,12263657.576506453,0.0,0.0,12263657.576506453,3114549.774286757,15378207.350793209,6632272.907899279,5372891.878119217,1564771.1524384758,420651.70110225386,1144119.4513362218,Q2_B1,q2,old_reference,results/q2_direct_v4/references/B1/ledger.csv,7268.4231640740745,6434.175696518038,334,48096,12263657.576506453,235087.7956176543,15378782.629076267,-2114549.774286757,False,306,2747,17.326168457992026,,,,,,,,,,
21424792.554141,21424792.554141,109264.54993955459,13349990.093968334,0.0,0.0,13349990.093968334,644292.1650026435,13994282.258970976,6144426.290149972,4981329.318886366,2431770.6378502855,1046885.0139261587,1384885.6239241268,Q2_v3_best,q2,old_reference,results/q2_direct_v4/references/X_strong_morning85/ledger.csv,7268.4231640740745,2441.7299808642265,334,48096,13349990.093968334,614122.1353526602,13997610.637989521,355707.8349973565,True,91,595,21.08725991701067,,,,,,,,,,
21296168.644220155,21296168.644220155,112453.92558213112,13305891.734961458,0.0,0.0,13305891.734961458,638539.0091512442,13944430.7441127,5970366.233726378,4840683.884268338,2339750.725377579,975206.6923043723,1364544.0330732071,Q2_D56_risk625,q2,old_reference,results/q2_direct_v4/runs/D56_risk625/ledger.csv,7268.4231640740745,2060.3843307717225,334,48096,13305891.734961458,581848.7563087011,13948022.090511272,361460.9908487558,True,83,722,33.019766209006775,668.0,233.0,435.0,,,,,159215.0,10.847674002914573,8.120330214005662
20349757.68871227,20349757.68871227,574236.0456147372,12281584.59764276,0.0,0.0,12281584.59764276,3560483.3907926576,15842067.98843542,6610853.002468398,5357380.537284952,1731331.774176896,558689.5467732634,1172642.2274036328,old_q3_no_update,q3,old_reference,results/q3/no_update/ledger.csv,7268.4231640740745,4391.0839579067015,334,48096,,308705.0044032136,15844052.13681186,-2560483.3907926576,False,311,2735,,,,,,,,,,,
20368562.610086087,20673273.192937095,143574.43731570675,12287947.526996914,890258.4652826076,-57407.665623047214,13120798.326656474,813559.6448423193,13934357.971498795,6711784.78466142,5436658.693727093,1602532.0443518097,465035.3445417937,1137496.699810016,old_q3_soc,q3,old_reference,results/q3_feedback_control/state_feedback_only_A/ledger.csv,7268.4231640740745,7142.847440359578,334,48096,,265258.0809878118,13934444.565692415,186440.3551576807,True,271,1667,,,,,,,,,,,
20368332.718596563,20444919.11429685,125345.24763011331,12287868.647888165,960461.7442643498,-194731.4398867727,13053598.952265741,719281.1089573144,13772880.061223056,6823005.392647268,5526720.165412251,1334789.6397252795,256694.72859096,1078094.9111343194,old_q3_raw,q3,old_reference,results/robustness/fixed_raw/ledger.csv,7268.4231640740745,7173.092755226488,334,48096,,126335.5542027742,13772945.798928063,280718.8910426856,True,265,1517,,,,,,,,,,,
20227251.265411865,20509955.944893517,116794.75246035005,12188689.82958247,1039399.1309384764,-161214.92259501026,13066874.037925936,659859.5370419323,13726733.574967869,6891601.652001459,5582335.517810997,1378295.0681967358,298182.4746457593,1080112.5935509764,old_q3_w28,q3,old_reference,results/robustness/fixed_w28/ledger.csv,7268.4231640740745,7114.890175392208,334,48096,,157185.00978068647,13726839.447862372,340140.46295806766,True,253,1450,,,,,,,,,,,
19856743.36772613,19856743.36772613,748055.240241199,12683183.670697108,0.0,0.0,12683183.670697108,4347698.026677684,17030881.69737479,6537359.116821906,5299051.370564659,1427301.3667434147,319697.0148664798,1107604.3518769348,old_q42_ols,q42,old_reference,results/q4/q42_ols/ledger.csv,7268.4231640740745,3056.7721208343946,334,48096,12683183.670697108,193584.5909983297,17033785.957172062,-3347698.026677684,False,323,4425,,,,,,,,,,,
19839929.830896445,19839929.830896445,751925.1309706878,12676256.961670684,0.0,0.0,12676256.961670684,4397485.720002722,17073742.681673408,6468208.782829599,5243339.43680195,1427796.120872818,330261.5588625039,1097534.5620103138,old_q42_fixed,q42,old_reference,results/q4/q42_fixed/ledger.csv,7268.4231640740745,2723.6201529907166,334,48096,12676256.961670684,198564.8490729413,17076876.675571784,-3397485.720002722,False,324,4448,,,,,,,,,,,
20396460.13355549,20470660.38280554,126591.52789794064,13008758.376303319,994817.9808653016,-207725.3382724164,13795851.018896205,738211.6235068432,14534062.642403048,6959104.28098707,5636391.914412712,1335350.049162454,252546.19236210073,1082803.8568003534,old_q43_raw_ols,q43,old_reference,results/robustness/variable_raw/ledger.csv,7268.4231640740745,7804.593371646801,334,48096,,131414.1716413034,14533692.911491735,261788.37649315677,True,264,1562,,,,,,,,,,,
20260410.430922575,20539125.670163266,118243.72611139406,12910681.287740031,1073843.3388183855,-171321.01831596933,13813203.608242448,679075.9381927691,14492279.546435216,7046720.249808984,5707360.79893008,1378820.4504290903,294877.14195857884,1083943.3084705118,old_q43_w28_ols,q43,old_reference,results/robustness/variable_w28/ledger.csv,7268.4231640740745,7804.649180960779,334,48096,,162747.63257770916,14491909.777039057,320924.06180723093,True,252,1520,,,,,,,,,,,
20368332.718596563,20444919.11429685,125345.24763011331,12994574.081360947,993440.847832208,-206003.57605239988,13782011.353140755,745868.2574984424,14527879.610639196,6823005.392647268,5526720.165412251,1334789.6397252795,256694.72859096,1078094.9111343194,old_q43_raw_fixed,q43,old_reference,results/q4/q43_all_A_fixed/ledger.csv,7268.4231640740745,7173.092755226488,334,48096,,133994.49470993772,14527945.348344203,254131.74250155757,True,265,1517,,,,,,,,,,,
