hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,unused_grid_kwh,policy
21,1254832.219939482,100681.86799915288,1355514.087938635,22889.16677527777,4453.465315172992,B1
22,909583.9060504796,13781.537679852912,923365.4437303325,6593.3015063333305,20890.235663411248,B1
23,790222.4533114302,15384.125727386034,805606.5790388163,7244.356707446243,42655.70945443526,B1
0,529004.1268157124,0.0,529004.1268157124,0.0,65096.56027644463,P
1,526345.3091273718,0.0,526345.3091273718,0.0,61903.339571266886,P
2,517717.9261722906,0.0,517717.9261722906,0.0,59222.631109480884,P
3,487771.91851674486,0.0,487771.91851674486,0.0,53935.309051269716,P
4,452832.4920379615,0.0,452832.4920379615,0.0,56741.79802788753,P
5,448126.3558285021,4704.490097315594,452830.84592581773,1418.4554434850131,64657.88159159803,P
6,272967.4597426617,20206.465148895393,293173.9248915571,4676.379648472552,0.0,P
7,360840.6260599364,8039.841219977512,368880.46727991395,1961.1017959470878,22704.734852203652,P
8,4265.85989583211,6921.505462643949,11187.365358476058,1285.9802103786064,0.0,P
9,24488.68768997393,57901.34118894539,82390.02887891931,11845.225984219162,0.0,P
10,87488.61805840481,38839.3693212047,126327.98737960952,8149.444641103369,11617.119932108151,P
11,438133.25106679474,0.0,438133.25106679474,0.0,122966.87612802262,P
12,355580.9894524869,0.0,355580.9894524869,0.0,322527.94311984256,P
13,49454.55618262391,0.0,49454.55618262391,0.0,21305.067486088406,P
14,105850.94813566645,0.0,105850.94813566645,0.0,18908.059374249955,P
15,647950.7443619588,0.0,647950.7443619588,0.0,210889.8060657894,P
16,1050185.9364940985,0.0,1050185.9364940985,0.0,95659.05441580628,P
17,1552421.6216477058,0.0,1552421.6216477058,0.0,78812.27187872538,P
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,38401.45755922492,P
19,81236.36882444087,96147.85265598838,177384.22148042926,14262.376888688492,0.0,P
20,641705.1567311849,375775.63147946884,1017480.7882106538,55453.05071142727,0.0,P
21,1341106.6799393103,23560.57528095104,1364667.2552202614,5180.816157973542,14386.093123706903,P
22,1165269.7693704532,0.0,1165269.7693704532,0.0,64945.59143277599,P
23,1211782.1962815947,0.0,1211782.1962815947,0.0,322069.7338054481,P
0,892214.2726696826,0.0,892214.2726696826,0.0,31705.404365994484,P_terminal
1,533404.2299538426,0.0,533404.2299538426,0.0,5767.212467447619,P_terminal
2,532915.9857862176,0.0,532915.9857862176,0.0,19198.82072348507,P_terminal
3,532245.738992035,0.0,532245.738992035,0.0,27795.658869285442,P_terminal
4,503059.9799288028,0.0,503059.9799288028,0.0,37640.232456130274,P_terminal
5,527038.9442564173,4704.490097315586,531743.4343537329,1418.4554434850102,212424.26503853776,P_terminal
6,272967.4597426617,20133.220873948565,293100.6806166102,4659.05661593394,0.0,P_terminal
7,360840.6260599364,8089.059847373631,368929.68590731005,1973.5915238078746,22704.734852203652,P_terminal
8,4265.85989583211,6790.275202909094,11056.135098741204,1260.109230153478,0.0,P_terminal
9,24488.68768997393,57188.349053049125,81677.03674302305,11702.799668375379,0.0,P_terminal
10,87488.61805840481,38507.60227388568,125996.22033229048,8080.896575381335,11617.119932108151,P_terminal
11,438133.25106679474,0.0,438133.25106679474,0.0,122968.59034321047,P_terminal
12,356452.22048565204,0.0,356452.22048565204,0.0,323258.1351390942,P_terminal
13,49454.55618262391,0.0,49454.55618262391,0.0,21305.067486088406,P_terminal
14,105850.94813566645,0.0,105850.94813566645,0.0,18910.443202986025,P_terminal
15,647950.7443619588,0.0,647950.7443619588,0.0,210991.43960929554,P_terminal
16,1050185.9364940985,0.0,1050185.9364940985,0.0,95844.12392146369,P_terminal
17,1552421.6216477058,0.0,1552421.6216477058,0.0,78921.34057092856,P_terminal
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,38401.45755922492,P_terminal
19,81236.36882444087,96424.73486750135,177661.1036919422,14303.44168721274,0.0,P_terminal
20,641705.1567311849,375346.8576830419,1017052.0144142269,55390.22176086956,0.0,P_terminal
21,1341106.6799393103,23560.57528095104,1364667.2552202614,5180.816157973543,14386.093123706903,P_terminal
22,962805.9874404711,0.0,962805.9874404711,0.0,53469.38264250592,P_terminal
23,681764.578861544,0.0,681764.578861544,0.0,13322.567489655241,P_terminal
0,527096.5216369373,0.0,527096.5216369373,0.0,53606.87806030614,S_tau
1,522012.84323059145,0.0,522012.84323059145,0.0,49671.435310061315,S_tau
2,513467.0630955964,0.0,513467.0630955964,0.0,48636.493191108144,S_tau
3,483966.4123364291,0.0,483966.4123364291,0.0,45307.708687167775,S_tau
4,447570.53188931127,0.0,447570.53188931127,0.0,47377.95281493048,S_tau
5,443625.99691258086,4929.309733940801,448555.3066465216,1467.8717830003902,68086.74709374121,S_tau
6,253926.5535931114,25556.944703024692,279483.4982961361,5915.796436137559,0.0,S_tau
7,348031.0640021725,16881.491115709516,364912.55511788203,4179.750974995826,20787.456745808362,S_tau
8,4200.632871796196,13471.135460014211,17671.768331810406,2508.7498956115533,0.0,S_tau
9,23358.803564733505,94607.04829355761,117965.85185829112,19356.866712900177,0.0,S_tau
10,83524.51460355858,46901.07330680674,130425.58791036533,9851.884118917265,10160.60553037302,S_tau
11,409217.332294999,819.1710992750006,410036.503394274,340.6748833333336,102168.43934240323,S_tau
12,340510.18706951884,0.0,340510.18706951884,0.0,273034.02065547585,S_tau
13,46901.93314677736,0.0,46901.93314677736,0.0,19395.637943940754,S_tau
14,99567.37665791353,0.0,99567.37665791353,0.0,15558.717237288736,S_tau
15,631055.5223184816,0.0,631055.5223184816,0.0,186658.91688429692,S_tau
16,1037103.9100347734,3348.783649784574,1040452.6936845579,739.4550104168529,82866.66614590585,S_tau
17,1533139.4760567355,2477.6387236078813,1535617.1147803434,489.96507898318384,66182.0956362778,S_tau
18,1195551.8326129115,10900.787164768952,1206452.6197776804,1626.2559570857863,34828.90070036522,S_tau
19,78561.4896334587,155100.08141370805,233661.57104716674,23010.822121665664,0.0,S_tau
20,634690.7761441029,521066.97803898744,1155757.7541830903,76801.43153058148,0.0,S_tau
21,1330965.9880946495,32837.64509193979,1363803.6331865892,7171.110321278388,13120.598377380129,S_tau
22,1151548.1642856817,0.0,1151548.1642856817,0.0,58587.786145717524,S_tau
23,1203446.8573445156,0.0,1203446.8573445156,0.0,268195.9164004359,S_tau
0,1131462.3626657608,0.0,1131462.3626657608,0.0,62538.01064070405,S_terminal
1,750524.3637896285,0.0,750524.3637896285,0.0,17744.36635654877,S_terminal
2,621658.2199832695,0.0,621658.2199832695,0.0,12047.89454537691,S_terminal
3,538389.5212377614,1078.9052628823472,539468.4265006437,494.4117151770253,9588.231545962224,S_terminal
4,546260.0939573108,862.3307674489942,547122.4247247598,392.4353654429679,16082.950299197038,S_terminal
5,636224.1047612184,1811.8089483577023,638035.9137095761,515.9262550060331,222101.64878131374,S_terminal
6,272967.4597426617,19584.252856324885,292551.7125989866,4533.939789972076,0.0,S_terminal
7,360840.6260599364,8164.103822895935,369004.7298828324,1992.1392191915386,22704.734852203652,S_terminal
8,4265.85989583211,6792.185653918447,11058.045549750557,1261.5697825450245,0.0,S_terminal
9,24488.68768997393,56405.38190419031,80894.06959416423,11543.753034279098,0.0,S_terminal
10,87488.61805840481,38233.47833052943,125722.09638893425,8019.256538350604,11617.119932108151,S_terminal
11,438133.25106679474,0.0,438133.25106679474,0.0,122968.59034321047,S_terminal
12,357490.1869157224,0.0,357490.1869157224,0.0,325887.01054388867,S_terminal
13,49454.55618262391,0.0,49454.55618262391,0.0,21305.067486088406,S_terminal
14,105850.94813566645,0.0,105850.94813566645,0.0,18910.443202986025,S_terminal
15,647950.7443619588,0.0,647950.7443619588,0.0,210991.43960929554,S_terminal
16,1050185.9364940985,0.0,1050185.9364940985,0.0,95844.12392146369,S_terminal
17,1552421.6216477058,0.0,1552421.6216477058,0.0,78921.34057092856,S_terminal
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,38401.45755922492,S_terminal
19,81236.36882444087,96890.74016086369,178127.10898530454,14372.566554580882,0.0,S_terminal
20,641705.1567311849,374977.15852323844,1016682.3152544234,55335.504205951554,0.0,S_terminal
21,1223956.1799393103,25901.07819092421,1249857.2581302344,6292.958191698024,0.0,S_terminal
22,506438.9465531691,10336.582107011178,516775.5286601803,4935.160530744962,56.99881345503468,S_terminal
23,517102.578861544,9258.237209549941,526360.816071094,4358.06106383093,0.0,S_terminal
0,1133312.4873125963,0.0,1133312.4873125963,0.0,58662.23519677567,S_joint
1,756400.635370611,0.0,756400.635370611,0.0,16854.098684858043,S_joint
2,617350.3393983039,0.0,617350.3393983039,0.0,12165.634592217524,S_joint
3,535889.2551260906,0.0,535889.2551260906,0.0,10540.947696356085,S_joint
4,543478.6240810602,0.0,543478.6240810602,0.0,15795.700371096782,S_joint
5,627153.3250852097,1332.1010020650808,628485.4260872748,292.80162700628216,195134.780765796,S_joint
6,258749.39321916157,18797.879407458135,277547.2726266197,4380.659440210068,0.0,S_joint
7,352638.2436257124,13413.34136845412,366051.5849941665,3275.126493659939,20930.461266687646,S_joint
8,4200.632871796196,13606.356158193597,17806.989029989792,2523.033164903037,0.0,S_joint
9,23358.803564733505,85891.62202699477,109250.42559172827,17570.233433672114,0.0,S_joint
10,84988.56876455434,45323.46061595436,130312.0293805087,9511.534031829802,10607.984390225309,S_joint
11,417005.128263411,819.1710992750006,417824.299362686,340.6748833333336,107176.32931768066,S_joint
12,346915.98532292433,0.0,346915.98532292433,0.0,289606.4045287646,S_joint
13,47083.783533319736,0.0,47083.783533319736,0.0,19565.642814844738,S_joint
14,101199.46120397665,0.0,101199.46120397665,0.0,16668.971422707953,S_joint
15,637430.105159106,0.0,637430.105159106,0.0,195166.91225924218,S_joint
16,1043650.994074231,3348.783649784574,1046999.7777240155,739.4550104168529,88893.53114392412,S_joint
17,1539733.8105867982,2477.6387236078813,1542211.449310406,489.96507898318384,71193.73204584439,S_joint
18,1206871.231880276,10688.921981257652,1217560.1538615336,1594.7892730650974,38833.393279340286,S_joint
19,79687.05697882312,144362.83650024803,224049.89347907115,21417.462550680793,0.0,S_joint
20,639722.1533260398,447663.248517962,1087385.4018440018,66029.91436771651,0.0,S_joint
21,1218091.5013788186,31315.868832067626,1249407.3702108862,7475.545651585218,0.0,S_joint
22,510179.42524325504,11159.788359330143,521339.2136025852,5320.999057307633,126.33419424023123,S_joint
23,514849.78094130737,10631.026475232466,525480.8074165399,5002.353038396259,0.0,S_joint
0,1127295.9676657608,0.0,1127295.9676657608,0.0,54551.49966881825,S_w14
1,762935.9451885457,0.0,762935.9451885457,0.0,17666.66023422912,S_w14
2,614860.7253669725,0.0,614860.7253669725,0.0,16190.103742180583,S_w14
3,533615.3827640053,0.0,533615.3827640053,0.0,11024.574408316836,S_w14
4,540920.9702928122,0.0,540920.9702928122,0.0,14479.335734365146,S_w14
5,624381.1983227569,2592.936281593849,626974.1346043508,572.906231551635,177743.8619283389,S_w14
6,256341.95913217575,31889.91950528566,288231.8786374614,7365.935548366344,50.07330007124376,S_w14
7,351038.9969641407,14200.867697458649,365239.86466159933,3480.0871292690676,17599.745278892347,S_w14
8,3814.4377728193945,17333.872648147342,21148.310420966736,3213.6823210057587,0.0,S_w14
9,22042.791769860887,84099.89618550728,106142.68795536816,17183.470835783188,0.0,S_w14
10,79973.27266029923,46550.239185417304,126523.51184571654,9799.772402635344,10504.479751611241,S_w14
11,424680.8251095927,819.1710992750006,425499.9962088677,340.6748833333336,116236.37304144187,S_w14
12,335725.97126714425,0.0,335725.97126714425,0.0,270140.5101825091,S_w14
13,46546.858065049935,0.0,46546.858065049935,0.0,17958.279498901273,S_w14
14,102318.93058121434,0.0,102318.93058121434,0.0,17373.06112099043,S_w14
15,626519.5634761129,0.0,626519.5634761129,0.0,182259.4625753874,S_w14
16,1039700.2134521,3348.783649784574,1043048.9971018846,739.4550104168529,85080.41908177124,S_w14
17,1532437.687397522,2477.6387236078813,1534915.32612113,489.96507898318384,64848.929226257074,S_w14
18,1194980.3777337149,11186.495370813143,1206166.873104528,1668.689969568215,33393.6194193529,S_w14
19,80136.4881813631,122889.90484116718,203026.39302253028,18231.042494871122,0.0,S_w14
20,633606.7625977214,471873.9292474153,1105480.6918451367,69536.65537606986,0.0,S_w14
21,1212470.833015076,30669.011018941957,1243139.8440340178,7184.803642621937,0.0,S_w14
22,511586.6999967894,9511.701998286197,521098.4019950756,4537.363022881903,468.70674695330024,S_w14
23,512174.3199019746,10297.067928511733,522471.38783048635,4844.674933827974,0.0,S_w14
0,1126532.717387722,0.0,1126532.717387722,0.0,59482.97397941651,S_w56
1,749898.464737949,0.0,749898.464737949,0.0,16764.36321977748,S_w56
2,618161.1311025043,0.0,618161.1311025043,0.0,16387.851891075967,S_w56
3,537307.1599334866,0.0,537307.1599334866,0.0,14081.263478652414,S_w56
4,544303.6756208488,0.0,544303.6756208488,0.0,16196.650061631624,S_w56
5,626852.9558754395,1167.5466275423423,628020.5025029818,256.63185570773544,199383.80489225697,S_w56
6,266047.9982007262,21937.35750717627,287985.3557079024,5095.687167270654,0.0,S_w56
7,354407.47588965856,17058.559533374904,371466.03542303346,4261.790156708707,22086.275735596788,S_w56
8,4265.85989583211,13925.950293736129,18191.810189568238,2578.8785348245124,0.0,S_w56
9,24295.42090413787,68778.09764748708,93073.51855162496,14077.020411102694,0.0,S_w56
10,83837.43217297396,43462.926408527426,127300.35858150138,9098.629520000317,11584.031744982465,S_w56
11,408011.7501324947,819.1710992750006,408830.9212317697,340.6748833333336,108891.54644927183,S_w56
12,346566.3483785052,0.0,346566.3483785052,0.0,294448.0483487167,S_w56
13,49012.77745443165,0.0,49012.77745443165,0.0,21059.747086764954,S_w56
14,105552.1769329349,0.0,105552.1769329349,0.0,19182.765184783777,S_w56
15,637736.4536633301,0.0,637736.4536633301,0.0,199956.1488082322,S_w56
16,1041429.6761184413,3348.783649784574,1044778.4597682259,739.4550104168529,87315.47632846689,S_w56
17,1538071.3763385573,2477.6387236078813,1540549.0150621654,489.96507898318384,71331.37823940115,S_w56
18,1204449.3444571178,9948.063062399342,1214397.4075195172,1484.755273531708,36590.720593583996,S_w56
19,82653.60082343801,132371.7110029551,215025.3118263931,19638.507884743598,0.0,S_w56
20,636441.8987263205,461565.97087367973,1098007.8696,68055.22045280389,0.0,S_w56
21,1217476.2459260193,31634.639343189574,1249110.8852692088,7647.71869538089,0.0,S_w56
22,521279.1983759701,11264.90020618789,532544.098582158,5380.7925860225505,987.8060142833174,S_w56
23,514818.92642244213,11597.047749226189,526415.9741716683,5456.455652871663,0.0,S_w56
0,1131983.6326470645,0.0,1131983.6326470645,0.0,56427.78959004072,S_no_inventory
1,764859.4777566353,0.0,764859.4777566353,0.0,16949.939593411433,S_no_inventory
2,616422.0367013785,0.0,616422.0367013785,0.0,10241.483177801245,S_no_inventory
3,533850.125467731,1078.9052628823472,534929.0307306134,494.4117151770253,9612.295902963639,S_no_inventory
4,541616.3121800332,960.3322993584384,542576.6444793916,437.03219452576394,15002.233265501744,S_no_inventory
5,626210.0711523353,2931.2722445779627,629141.3433969133,902.8106978946413,188320.75401411828,S_no_inventory
6,254215.23930910358,30642.41158157737,284857.65089068096,7072.635667781264,0.0,S_no_inventory
7,348488.7372827028,16614.028897340933,365102.76618004375,4096.0401551176365,20816.53344022049,S_no_inventory
8,4200.632871796196,13606.356158193597,17806.989029989792,2523.033164903037,0.0,S_no_inventory
9,23358.803564733505,89982.71447534692,113341.51804008042,18412.35873121866,0.0,S_no_inventory
10,83545.08069123187,46609.68900044279,130154.76969167465,9793.175542895677,10183.210750359918,S_no_inventory
11,407934.8621777891,819.1710992750006,408754.0332770641,340.6748833333336,101722.91195195298,S_no_inventory
12,342484.1782571315,0.0,342484.1782571315,0.0,276989.39005179534,S_no_inventory
13,46901.93314677736,0.0,46901.93314677736,0.0,19395.637943940754,S_no_inventory
14,99862.47361259286,0.0,99862.47361259286,0.0,15542.769936698853,S_no_inventory
15,630765.4439900295,0.0,630765.4439900295,0.0,187214.9825988934,S_no_inventory
16,1036716.23362751,3348.783649784574,1040065.0172772945,739.4550104168529,83418.11687013031,S_no_inventory
17,1532392.8276294423,2477.6387236078813,1534870.4663530502,489.96507898318384,66691.00514405435,S_no_inventory
18,1194973.7356085596,10900.787164768952,1205874.5227733285,1626.2559570857863,35167.58606105851,S_no_inventory
19,78353.47045888934,155950.45667271674,234303.92713160606,23136.909130769254,0.0,S_no_inventory
20,634809.5129407082,544434.6954453634,1179244.2083860717,80301.03144181732,0.0,S_no_inventory
21,1213246.765863855,38203.36174816494,1251450.12761202,9061.883597115244,0.0,S_no_inventory
22,499293.20905728225,15174.781236002327,514467.9902932846,7243.709631617075,0.0,S_no_inventory
23,512680.582711616,14902.880104899994,527583.4628165159,7012.319709685389,0.0,S_no_inventory
0,1131823.2249937311,0.0,1131823.2249937311,0.0,62542.017249534736,P_floor
1,752181.2718985442,0.0,752181.2718985442,0.0,17864.03495238711,P_floor
2,621711.879126779,0.0,621711.879126779,0.0,12047.89454537691,P_floor
3,538389.5212377614,1078.9052628823472,539468.4265006437,494.4117151770253,9518.384897533066,P_floor
4,546260.0939573108,862.3307674489942,547122.4247247598,392.4353654429679,15760.696447431694,P_floor
5,636410.552227874,1811.8089483577023,638222.3611762318,515.9262550060331,222385.13886877088,P_floor
6,272967.4597426617,19584.252856324892,292551.7125989866,4533.939789972078,0.0,P_floor
7,360840.6260599364,8164.103822895935,369004.7298828324,1992.1392191915386,22704.734852203652,P_floor
8,4265.85989583211,6792.185653918447,11058.045549750557,1261.5697825450245,0.0,P_floor
9,24488.68768997393,56405.38190419031,80894.06959416423,11543.753034279098,0.0,P_floor
10,87488.61805840481,38233.47833052943,125722.09638893425,8019.256538350604,11617.119932108151,P_floor
11,438133.25106679474,0.0,438133.25106679474,0.0,122968.59034321047,P_floor
12,357490.1869157224,0.0,357490.1869157224,0.0,325887.01054388867,P_floor
13,49454.55618262391,0.0,49454.55618262391,0.0,21305.067486088406,P_floor
14,105850.94813566645,0.0,105850.94813566645,0.0,18910.443202986025,P_floor
15,647950.7443619588,0.0,647950.7443619588,0.0,210991.43960929554,P_floor
16,1050185.9364940985,0.0,1050185.9364940985,0.0,95844.12392146369,P_floor
17,1552421.6216477058,0.0,1552421.6216477058,0.0,78921.34057092856,P_floor
18,1215136.9675261679,9748.207538260436,1224885.1750644282,1449.256767580779,38401.45755922492,P_floor
19,81236.36882444087,96890.74016086369,178127.10898530454,14372.566554580882,0.0,P_floor
20,641705.1567311849,374977.15852323844,1016682.3152544234,55335.504205951554,0.0,P_floor
21,1223956.1799393103,25901.07819092421,1249857.2581302344,6292.958191698024,0.0,P_floor
22,504112.65410713776,11460.342239454701,515572.9963465925,5477.7796644215705,0.0,P_floor
23,517102.578861544,9363.678616091394,526466.2574776354,4407.85591538372,0.0,P_floor
0,533551.3494952269,0.0,533551.3494952269,0.0,66609.28853958841,P_B1
1,526909.0579838104,0.0,526909.0579838104,0.0,63412.63297139918,P_B1
2,518632.97821355524,0.0,518632.97821355524,0.0,56627.83945563784,P_B1
3,489201.39465648617,0.0,489201.39465648617,0.0,49259.04056222221,P_B1
4,450811.1791273808,436.6838923229979,451247.8630197038,198.71849479999906,47418.38145098765,P_B1
5,446639.07039781514,7495.653329982512,454134.7237277977,2413.6059902999987,50830.67046567818,P_B1
6,296525.00396198314,12133.840921859994,308658.8448838431,2741.0217199999984,0.0,P_B1
7,385900.85527239565,3784.7113873322937,389685.5666597279,808.281225033336,21250.847619053482,P_B1
8,5213.507754179338,28777.53844318384,33991.046197363175,5379.094600533322,0.0,P_B1
9,24085.660990111643,62111.715643507305,86197.37663361894,12708.140389174685,0.0,P_B1
10,101195.39704182367,37848.62114061627,139044.01818243993,7875.536509699997,23062.538369629616,P_B1
11,483216.2873494594,0.0,483216.2873494594,0.0,196640.1210146521,P_B1
12,376022.7758928915,0.0,376022.7758928915,0.0,423290.1659966455,P_B1
13,60629.585125707636,0.0,60629.585125707636,0.0,33136.47345256052,P_B1
14,117838.21499309626,0.0,117838.21499309626,0.0,29183.71821637857,P_B1
15,681157.6503382507,0.0,681157.6503382507,0.0,256466.1673142402,P_B1
16,1053244.180187768,0.0,1053244.180187768,0.0,93678.13105374789,P_B1
17,1545199.3545980584,0.0,1545199.3545980584,0.0,74175.43541736621,P_B1
18,1208678.4007153674,4454.708758723321,1213133.1094740906,661.6231633333314,39221.06766209877,P_B1
19,83203.2715075504,93971.21582713723,177174.48733468764,13941.15725078147,0.0,P_B1
20,643830.6895493884,290369.0595522448,934199.7491016332,42885.54240713043,0.0,P_B1
21,1344205.2429771733,22384.44161378084,1366589.684590954,4922.808605699997,13438.0635533333,P_B1
22,1167200.9167897645,0.0,1167200.9167897645,0.0,66399.02203341549,P_B1
23,1206968.17441054,0.0,1206968.17441054,0.0,321429.98496885743,P_B1
0,1129593.2375641037,0.0,1129593.2375641037,0.0,58442.67459037023,P_B1_floor
1,757903.2963135429,0.0,757903.2963135429,0.0,16677.94218226333,P_B1_floor
2,622432.413917009,1119.3477420567176,623551.7616590657,514.9031775000005,13780.958170617281,P_B1_floor
3,538558.046764676,1702.4984746483335,540260.5452393243,779.7317233333334,11193.62817160496,P_B1_floor
4,543965.1566428571,1479.3453917122488,545444.5020345694,674.2092470999994,11516.47708621399,P_B1_floor
5,635118.2953374989,1718.0396710240154,636836.3350085228,587.0526286333333,185058.27785555707,P_B1_floor
6,296525.00396198314,12133.840921859994,308658.8448838431,2741.0217199999984,0.0,P_B1_floor
7,385900.85527239565,3511.168927983328,389412.024200379,753.9819833333324,21250.847619053482,P_B1_floor
8,5213.507754179338,27488.93506937661,32702.442823555946,5145.6981651999895,0.0,P_B1_floor
9,24085.660990111643,60442.131254493004,84527.79224460464,12365.715384608007,0.0,P_B1_floor
10,101195.39704182367,37520.16945612049,138715.56649794418,7809.309735933332,23062.538369629616,P_B1_floor
11,483216.2873494594,0.0,483216.2873494594,0.0,196755.8169588908,P_B1_floor
12,377823.6668880772,0.0,377823.6668880772,0.0,426059.99589434103,P_B1_floor
13,60629.585125707636,0.0,60629.585125707636,0.0,33218.33351531772,P_B1_floor
14,117838.21499309626,0.0,117838.21499309626,0.0,29183.71821637857,P_B1_floor
15,681157.6503382507,0.0,681157.6503382507,0.0,256494.01495839658,P_B1_floor
16,1053244.180187768,0.0,1053244.180187768,0.0,93906.35749551743,P_B1_floor
17,1545199.3545980584,0.0,1545199.3545980584,0.0,74186.77322493822,P_B1_floor
18,1208678.4007153674,4454.708758723321,1213133.1094740906,661.6231633333314,39221.06766209877,P_B1_floor
19,83203.2715075504,93971.21582713723,177174.48733468764,13941.15725078147,0.0,P_B1_floor
20,643830.6895493884,289812.944520755,933643.6340701433,42803.087809830424,0.0,P_B1_floor
21,1227054.7429771733,24896.569193514748,1251951.312170688,6116.5019199,0.0,P_B1_floor
22,504307.05497139937,11929.376512713174,516236.4314841125,5715.0636464666695,0.0,P_B1_floor
23,516917.7871630983,11450.809091114672,528368.596254213,5392.716631266669,0.0,P_B1_floor
