policy,date,issue_hour,alternative,horizon_intervals,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,lp_equality_residual,lp_inequality_violation,lp_bound_violation,lp_variables,lp_equalities,lp_inequalities,solver_status,solver_message,runtime_seconds,passed
pv_raw,2025-09-23,0,selected,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,1.908945609289794e-14,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004210250001051463,True
pv_raw,2025-12-21,0,selected,144,60123.745416962156,60123.74541696215,7.275957614183426e-12,9.094947017729282e-13,1.2036320096164932e-14,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004094374999112915,True
gate_paid,2025-04-01,6,hold,108,32055.642862598386,32040.951577606505,14.69128499188082,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004723250000097323,True
gate_paid,2025-04-01,6,update,108,29834.021484905617,29834.021484905625,-7.275957614183426e-12,4.547473508864641e-13,3.410605131648481e-13,0.0,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005173583995201625,True
gate_paid,2025-04-01,12,hold,72,26009.52201128678,26009.522011286783,-3.637978807091713e-12,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0034194580002804287,True
gate_paid,2025-04-01,12,update,72,24955.46614746349,24955.4661474635,-1.0913936421275139e-11,4.547473508864641e-13,6.821210263296962e-13,0.0,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.003523999999742955,True
gate_paid,2025-04-01,18,hold,36,19480.10418751218,19480.104187512192,-1.0913936421275139e-11,2.2737367544323206e-13,2.8421709430404007e-13,2.2737367544323206e-13,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0017892920004669577,True
gate_paid,2025-04-01,18,update,36,15879.371138777595,15879.371138777598,-3.637978807091713e-12,1.1368683772161603e-13,2.2737367544323206e-13,2.0463630789890883e-13,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.00187266700231703,True
gate_paid,2025-06-21,6,hold,108,15155.81247940925,15155.81247940923,2.000888343900442e-11,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004139374999795109,True
gate_paid,2025-06-21,6,update,108,14708.176194224185,14708.176194224183,1.8189894035458565e-12,9.094947017729282e-13,2.2737367544323206e-13,2.0463630789890883e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004803209005331155,True
gate_paid,2025-06-21,12,hold,72,15421.646964621645,15421.64696462168,-3.456079866737127e-11,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0031069169999682344,True
gate_paid,2025-06-21,12,update,72,14710.617713515294,14710.617713515294,0.0,9.094947017729282e-13,2.2737367544323206e-13,2.0463630789890883e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0034370840003248304,True
gate_paid,2025-06-21,18,hold,36,11650.950067851054,11650.950067851056,-1.8189894035458565e-12,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0019178329966962337,True
gate_paid,2025-06-21,18,update,36,11650.214333567303,11650.214333567303,0.0,9.094947017729282e-13,6.252776074688882e-13,0.0,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0018930000005639158,True
gate_paid,2025-09-23,6,hold,108,29946.930565602244,29946.930565602244,0.0,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004315875004976988,True
gate_paid,2025-09-23,6,update,108,29461.730939309855,29461.730939309855,0.0,4.547473508864641e-13,2.5263741715914674e-13,0.0,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005037625000113621,True
gate_paid,2025-09-23,12,hold,72,27547.698598247316,27547.698598247312,3.637978807091713e-12,2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0030326670021167956,True
gate_paid,2025-09-23,12,update,72,27185.68662417088,27185.68662417088,0.0,1.1368683772161603e-13,1.7053025658242404e-13,0.0,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0034127090038964525,True
gate_paid,2025-09-23,18,hold,36,25647.58196870942,25647.58196870942,0.0,2.2737367544323206e-13,1.1368683772161603e-13,2.2737367544323206e-13,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0019482080024317838,True
gate_paid,2025-09-23,18,update,36,18703.947862458182,18703.947862458182,0.0,1.1368683772161603e-13,1.7053025658242404e-13,0.0,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0019889579998562112,True
gate_paid,2025-12-21,6,hold,108,47084.365306863125,47084.36530686312,7.275957614183426e-12,9.094947017729282e-13,2.2737367544323206e-13,2.2737367544323206e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004271458004950546,True
gate_paid,2025-12-21,6,update,108,46378.52107066124,46378.52107066123,1.4551915228366852e-11,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005026874998293351,True
gate_paid,2025-12-21,12,hold,72,39238.028974639565,39011.183412892045,226.84556174751924,9.094947017729282e-13,2.2737367544323206e-13,2.2737367544323206e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0031763750012032688,True
gate_paid,2025-12-21,12,update,72,34897.072982897436,34897.072982897436,0.0,9.094947017729282e-13,2.2737367544323206e-13,1.1368683772161603e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.003559500000847038,True
gate_paid,2025-12-21,18,hold,36,15956.79296046303,15956.79296046303,0.0,9.094947017729282e-13,1.1368683772161603e-13,2.2737367544323206e-13,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0016855419962666929,True
gate_paid,2025-12-21,18,update,36,14668.03602713285,14668.03602713285,0.0,9.094947017729282e-13,3.410605131648481e-13,2.5263741715914674e-13,326,73,218,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0018497080018278211,True
