candidate,reference,purpose,total_saving_yuan,saving_percent,contract_saving_yuan,emergency_saving_yuan,winning_days,losing_days,tied_days,losing_months,winning_months,inventory_adjusted_saving_yuan,block7_lower_yuan,block7_upper_yuan,block7_crosses_zero,block14_lower_yuan,block14_upper_yuan,block14_crosses_zero
q3_soc_greedy,q3_no_update_greedy,state feedback and paid revisions,288826.05722072814,2.0640700663116345,-75723.51989590527,364549.5771166333,238,94,2,2025-11,10,288681.9030975651,145286.95389444567,490432.5591409821,False,136157.5494593616,499314.7916824099,False
q3_raw_greedy,q3_soc_greedy,incremental raw PV updates,144879.07122914953,1.0571866387803344,168305.24406910958,-23426.172839960083,230,104,0,2025-06,10,144876.47330768695,83492.9166621093,198089.0197822711,False,72016.82266536621,209172.10700163763,False
q3_w28_greedy,q3_raw_greedy,Q3 PV correction,-8925.363064042604,-0.06582451209891918,-26413.380988899873,17488.017924857308,113,162,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-8977.641866120497,-30618.30385382639,14406.523232733452,True,-33733.54491186163,16723.187647938343,True
q42_ols_greedy,q42_fixed_greedy,Q42 planning-price input,-6786.905099572825,-0.04623302989259463,-9840.250594562,3053.3454949892075,169,165,0,"2025-02,2025-05,2025-07,2025-10,2025-12",6,-6694.397197102048,-33516.980499346435,19156.44583743607,True,-40612.242805824506,23330.981986716593,True
q43_raw_ols_greedy,q43_raw_fixed_greedy,Q43 planning-price input raw PV,11394.840804568597,0.07950502951424678,10251.218614338675,1143.6221902299226,179,155,0,"2025-05,2025-07,2025-09,2025-10",7,11373.088514348741,-2575.276378444026,25599.638363436516,True,-4108.432033175591,27353.67346123965,True
q43_w28_ols_greedy,q43_raw_ols_greedy,Q43 PV correction OLS price,-2315.42558424498,-0.01616823422381232,-22448.791766103437,20133.36618185847,121,154,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-2347.7502092461473,-26858.00716346799,24706.680429824864,True,-28545.038405377967,24577.804949575053,True
q43_w28_fixed_greedy,q43_raw_fixed_greedy,Q43 PV correction fixed price,-10312.34590412256,-0.0719521562021003,-26939.73726395693,16627.391359834346,113,162,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-10364.624706200453,-31883.928926762062,12549.653993613405,True,-35370.97222050425,15195.994020617762,True
q3_soc_reserve,q3_no_update_reserve,state feedback and paid revisions,208115.59831173328,1.4918429609482664,-49627.37905701224,257742.97736874557,223,109,2,,11,207933.3673888762,98557.4067294068,374472.5527255939,False,95838.4498730411,381403.2364441665,False
q3_raw_reserve,q3_soc_reserve,incremental raw PV updates,167121.92953547102,1.2161292237122088,112167.65397643692,54954.27555903407,227,107,0,2025-06,10,167124.52361340006,110898.53610171817,218754.81424988757,False,103491.09682711292,221924.2697328231,False
q3_w28_reserve,q3_raw_reserve,Q3 PV correction,535.6214095885734,0.003945646488692599,-33226.52748918677,33762.1488987753,121,154,59,"2025-04,2025-10,2025-11,2025-12",5,519.4840508258486,-25199.398441480564,28640.662759226518,True,-26490.99673337889,29134.661698278163,True
q42_ols_reserve,q42_fixed_reserve,Q42 planning-price input,3079.265520624789,0.021059705429977565,3994.92410137715,-915.658580752448,190,144,0,"2025-02,2025-03,2025-05,2025-06,2025-10,2025-12",5,2948.5133629898087,-31696.162075413864,32765.136703026557,True,-32148.319930173355,34023.98108429298,True
q43_raw_ols_reserve,q43_raw_fixed_reserve,Q43 planning-price input raw PV,28892.88095663544,0.20144898420539234,19301.205346344163,9591.675610291335,200,134,0,"2025-02,2025-05,2025-09,2025-10",7,28928.89582694572,14140.653978696386,44563.836571511834,False,11797.920856303812,46451.05101892645,False
q43_w28_ols_reserve,q43_raw_ols_reserve,Q43 PV correction OLS price,-4984.882700138514,-0.034826107894178095,-34035.044962143205,29050.16226200462,123,152,59,"2025-04,2025-07,2025-10,2025-11,2025-12",4,-5059.395527631922,-26407.268706560048,18235.90557946323,True,-28348.67539792208,18778.96730514247,True
q43_w28_fixed_reserve,q43_raw_fixed_reserve,Q43 PV correction fixed price,230.32497362047616,0.0016058880401237016,-33821.86587025982,34052.190843880344,124,151,59,"2025-04,2025-10,2025-11,2025-12",5,214.18761485775133,-25343.2916602479,29203.61476229892,True,-27564.749711667802,29325.461527932275,True
q2_reserve,frozen_v5_q2,selected reserve versus frozen two-search v5; combined controller/search/selection change,68439.48796875423,0.4918788042809788,91939.16680438246,-23499.678835628256,225,109,0,"2025-02,2025-05,2025-09,2025-10",7,68466.8679814945,3693.243131714054,160480.81953803243,False,2043.014404871514,161341.56833411023,False
q3_w28_reserve,frozen_v5_q3,selected reserve versus frozen two-search v5; combined controller/search/selection change,-12628.359020385487,-0.09311690092467932,27411.006452168564,-40039.36547255403,154,180,0,"2025-02,2025-03,2025-04,2025-07,2025-09,2025-11",5,-12630.547585076563,-41954.318887489484,19632.615015231957,True,-46426.45268615825,23520.42956650281,True
q42_ols_reserve,frozen_v5_q42,selected reserve versus frozen two-search v5; combined controller/search/selection change,60020.47711610562,0.4088995180532268,102646.66409783144,-42626.186981725856,221,113,0,"2025-02,2025-03,2025-05,2025-09,2025-10",6,59917.10497121092,2453.809889952961,140103.28071694617,False,-33.77251055361344,138943.39161446196,True
q43_raw_ols_reserve,frozen_v5_q43,selected reserve versus frozen two-search v5; combined controller/search/selection change,8221.270226170825,0.0574036554018608,70384.23170284314,-62162.961476672266,184,150,0,"2025-02,2025-03,2025-04,2025-05,2025-09",6,8308.908103186124,-12871.676997462528,31088.992602568454,True,-17867.475539450723,34569.924089456144,True
