grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,policy,branch,price_method,control,billing,days,intervals,initial_energy_kwh,final_energy_kwh,optimizer_count,optimizer_success_count,optimizer_non_success_count,optimizer_exception_count,invalid_return_fallback_count,initializer_fallback_count,retained_start_selected_count,keep_current_selected_count,optimizer_nfev,optimizer_total_wall_seconds,milp_total_runtime_seconds,wall_seconds,inventory_adjusted_cost_yuan,emergency_margin_yuan,passes_emergency_reference,base_policy,stage,source_ledger,reserve_above_floor_intervals,deliberate_retention_intervals,withheld_discharge_kwh,emergency_while_retaining_intervals,emergency_intervals
21058734.2880985,21058734.2880985,148468.1620384386,13817869.873494554,0.0,0.0,13817869.873494554,868692.7576166849,14686562.631111238,6213081.986240922,5036185.209592281,2091116.1785216285,747370.2291075848,1343745.9494140435,q42_ols_greedy,q42,ols,greedy,actual,334,48096,7268.4231640740745,3280.8667894810483,1336,318,1018,0,0,0,0,0,287344,35.220486412232276,8.363019461859949,53.04300754099677,14689312.36026714,131307.2423833151,True,q42_ols,matched_v6,results/storage_control_v6/runs/q42_ols_greedy/ledger.csv,0,0,4.4258596787472015e-11,0,964
20900175.423683945,20900175.423683945,183025.26981707325,13704872.50096694,0.0,0.0,13704872.50096694,913646.4836075658,14618518.984574506,6200719.380494601,5026433.4979639575,1969725.3160037063,642308.916355951,1327416.399647755,q42_ols_reserve,q42,ols,reserve,actual,334,48096,7268.4231640740745,2989.756760373903,1336,228,1108,0,0,0,0,0,280833,36.95921349506534,8.360337886406342,54.78633499999705,14621469.456656504,86353.51639243425,True,q42_ols,matched_v6,results/storage_control_v6/runs/q42_ols_reserve/ledger.csv,38989,1813,129918.01279119012,1813,2324
21001429.726237632,21001429.726237632,147464.807083186,13808029.622899994,0.0,0.0,13808029.622899994,871746.1031116742,14679775.726011667,6034117.704139661,4891344.877500922,2066932.2117154163,733846.3459551871,1333085.865760229,q42_fixed_greedy,q42,fixed,greedy,actual,334,48096,7268.4231640740745,3146.715222078143,1336,384,952,0,0,0,0,0,285492,34.7290125280997,8.409861379186623,52.51542920799693,14682617.963070039,128253.8968883258,True,q42_fixed,matched_v6,results/storage_control_v6/runs/q42_fixed_greedy/ledger.csv,0,0,4.487188398627495e-11,0,931
20865128.05709341,20865128.05709341,186092.42165384314,13708867.425068317,0.0,0.0,13708867.425068317,912730.8250268134,14621598.25009513,6080216.598577391,4928655.593825759,1960469.979028956,649956.961676756,1310513.0173522,q42_fixed_reserve,q42,fixed,reserve,actual,334,48096,7268.4231640740745,3179.36874399428,1336,265,1071,0,0,0,0,0,285203,37.520973140373826,8.223215909179999,55.20671479200246,14624417.970019493,87269.17497318657,True,q42_fixed,matched_v6,results/storage_control_v6/runs/q42_fixed_reserve/ledger.csv,42950,2158,151732.86602098454,2158,2520
21360944.175709948,20669617.47139108,60460.64523417388,14102672.278569218,193495.2658755629,-301483.1405321931,13994684.403912589,326147.12408975593,14320831.528002346,6280640.512724938,5091702.706552007,1601950.8154856577,395138.45768073376,1206812.3578049242,q43_raw_ols_greedy,q43,ols,greedy,actual,334,48096,7268.4231640740745,2397.4328920663083,5344,2950,2394,0,0,0,2,149,1008887,91.62593265569012,29.65209332422819,146.7742468330107,14324190.45329664,673852.8759102441,True,q43_raw_ols,matched_v6,results/storage_control_v6/runs/q43_raw_ols_greedy/ledger.csv,0,0,6.966952015297068e-11,0,574
21255007.447420664,20662419.926941328,85241.16494685665,13992818.51478647,199160.50953753758,-268049.60795387573,13923929.416370131,389707.6839497734,14313637.100319907,6332186.496803317,5133349.907851028,1609635.0079692327,401846.3722109648,1207788.635758268,q43_raw_ols_reserve,q43,ols,reserve,actual,334,48096,7268.4231640740745,2514.1504525835926,5344,2380,2964,0,0,0,0,137,1051511,102.31491385966365,29.70411982270889,157.64686204199097,14316915.539810615,610292.3160502266,True,q43_raw_ols,matched_v6,results/storage_control_v6/runs/q43_raw_ols_reserve/ledger.csv,28252,951,40380.354683934835,951,1362
21375091.250664227,20678638.031665903,57382.36836852666,14130824.540813833,200519.39745178976,-314210.7425869296,14017133.195678692,306013.75790789747,14323146.95358659,6281482.119781237,5092426.596654702,1607775.3819412282,401410.4327771287,1206364.9491641,q43_w28_ols_greedy,q43,ols,greedy,actual,334,48096,7268.4231640740745,2350.5569064067313,5344,2921,2423,0,0,0,2,152,1011649,92.43806555461197,29.293916767201154,148.53928829199867,14326538.203505887,693986.2420921025,True,q43_w28_ols,matched_v6,results/storage_control_v6/runs/q43_w28_ols_greedy/ledger.csv,0,0,6.581202249833495e-11,0,557
21250499.33046812,20674992.853476055,79437.19825387796,14012926.46623082,221259.9454479746,-276221.95034652215,13957964.461332273,360657.5216877688,14318621.983020043,6328564.869577086,5130513.639990462,1617189.3271766459,407035.2798772156,1210154.0472994302,q43_w28_ols_reserve,q43,ols,reserve,actual,334,48096,7268.4231640740745,2406.094682937095,5344,2390,2954,0,0,0,4,132,1046421,102.44341921935847,29.57077667550766,158.97651391600084,14321974.935338244,639342.4783122311,True,q43_w28_ols,matched_v6,results/storage_control_v6/runs/q43_w28_ols_reserve/ledger.csv,28327,914,38553.23306501382,914,1293
21337553.39217434,20665946.90774838,58813.05201154292,14097528.062497787,193387.34059898776,-285979.7805698472,14004935.622526929,327290.7462799859,14332226.368806913,6108630.950476129,4952346.571194318,1629286.0855114423,426917.723036224,1202368.3624752185,q43_raw_fixed_greedy,q43,fixed,greedy,actual,334,48096,7268.4231640740745,2428.977265570165,5344,2773,2571,0,0,0,1,178,1027416,92.83020944541204,29.472307177900802,147.6033076659951,14335563.54181099,672709.2537200141,True,q43_raw_fixed,matched_v6,results/storage_control_v6/runs/q43_raw_fixed_greedy/ledger.csv,0,0,6.315514777810449e-11,0,546
21222587.59840916,20646172.30525946,87973.81855566226,13999976.850094825,204276.1689943474,-261022.39737269637,13943230.621716475,399299.35956006474,14342529.981276538,6161864.115547461,4995435.783733444,1628528.297034436,426585.7802968373,1201942.5167375987,q43_raw_fixed_reserve,q43,fixed,reserve,actual,334,48096,7268.4231640740745,2461.923008517798,5344,2375,2969,0,0,0,0,146,1042478,101.51390785025433,29.234585665457416,156.32097970799077,14345844.435637556,600700.6404399353,True,q43_raw_fixed,matched_v6,results/storage_control_v6/runs/q43_raw_fixed_reserve/ledger.csv,30916,1247,55996.20227153705,1247,1556
21359753.221538186,20681310.738045502,55997.8683457896,14132679.949104458,198673.67627255138,-299478.2655861236,14031875.359790884,310663.3549201515,14342538.714711037,6108185.350004643,4952053.866333701,1641987.6277536838,434078.9749130112,1207908.6528406728,q43_w28_fixed_greedy,q43,fixed,greedy,actual,334,48096,7268.4231640740745,2353.164464140459,5344,2847,2497,0,0,0,0,180,1015961,92.03957349402481,29.564605904422933,148.2775832920015,14345928.16651719,689336.6450798485,True,q43_w28_fixed,matched_v6,results/storage_control_v6/runs/q43_w28_fixed_greedy/ledger.csv,0,0,6.357991910732608e-11,0,519
21226310.67295575,20668264.224099353,80431.80148648082,14022549.936841777,221181.77566482915,-266679.22491987015,13977052.487586737,365247.1687161844,14342299.656302921,6161500.715566222,4995162.491373891,1643168.3064268357,437397.9887187309,1205770.317708105,q43_w28_fixed_reserve,q43,fixed,reserve,actual,334,48096,7268.4231640740745,2438.5212026834647,5344,2409,2935,0,0,0,1,155,1034103,101.12081694960943,29.201402956125094,157.261034457988,14345630.248022702,634752.8312838157,True,q43_w28_fixed,matched_v6,results/storage_control_v6/runs/q43_w28_fixed_reserve/ledger.csv,30545,1110,46422.06177456209,1110,1427
